PMID,Title,Journal,Year
39313922,The Constricted Heart: A 31-Year-Old Man with a Case of Constrictive Tuberculous Pericarditis.,The American journal of case reports,2024
35393765,Diagnosis of tuberculosis in dialysis and kidney transplant patients.,Hemodialysis international. International Symposium on Home Hemodialysis,2022
35073862,Estimating tuberculosis drug resistance amplification rates in high-burden settings.,BMC infectious diseases,2022
34766014,Disseminated Tuberculosis With Myocarditis and Intracardiac Thrombus in a Previously Young Healthy Woman.,JACC. Case reports,2021
31269316,Iranian guideline for rituximab therapy in pemphigus patients.,Dermatologic therapy,2019
30704698,Efficacy and tolerability of desensitization in the treatment of delayed drug hypersensitivities to anti-tuberculosis medications.,Respiratory medicine,2019
29794790,Left lung hypoplasia with a right tuberculous pleural effusion after childbirth: A case report.,Medicine,2018
29595509,Comparison of different treatments for isoniazid-resistant tuberculosis: an individual patient data meta-analysis.,The Lancet. Respiratory medicine,2018
29173450,Outcomes of pulmonary tuberculosis in patients with discordant phenotypic isoniazid resistance testing.,Respiratory medicine,2017
24471296,[Side effects and contraindications for biological therapy in inflammatory bowel disease].,Acta medica Croatica : casopis Hravatske akademije medicinskih znanosti,2013
21735858,[A case of pulmonary tuberculosis with diminished lung function whose paradoxical reaction led to death].,Kekkaku : [Tuberculosis],2011
20193494,Isoniazid-induced rhabdomyolysis in a patient with chronic heart failure: a case report.,Chinese medical journal,2010
16039241,Successful management of two heart transplant recipients with mycobacterial pulmonary infections.,The Annals of thoracic surgery,2005
15902619,[Rare cause of right heart failure: two cases].,Deutsche medizinische Wochenschrift (1946),2005
11468187,"The potential of iron chelators of the pyridoxal isonicotinoyl hydrazone class as effective antiproliferative agents, IV: The mechanisms involved in inhibiting cell-cycle progression.",Blood,2001
9704397,Fatal primary multidrug-resistant tuberculosis in a heart transplant recipient.,Transplant international : official journal of the European Society for Organ Transplantation,1998
9358666,Antitubercular treatment does not prevent constriction in chronic pericardial effusion of undetermined etiology: a randomized trial.,Indian heart journal,1997
7495999,Isoniazid preventive therapy for pulmonary tuberculosis sequelae: which patients up to which age?,Tubercle and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,1995
7681511,Interaction between hydralazine and nitrovasodilators in vascular smooth muscle.,Journal of cardiovascular pharmacology,1993
1706498,Pacemaker infection with Mycobacterium avium complex.,Pacing and clinical electrophysiology : PACE,1991
