PMID,Title,Journal,Year
40855526,"Plasma exosomal miR-122-5p_R-1, miR-23b-3p_R + 1, and miR-15a-5p_R-1 are associated with multidrug-resistant tuberculosis.",BMC infectious diseases,2025
40735451,Isolated splenic tuberculosis in a patient with rheumatoid arthritis.,IDCases,2025
39434174,Intestinal obstruction following antituberculosis therapy in a patient with pancreatic carcinoma and pulmonary tuberculosis: a case report.,Journal of medical case reports,2024
33815485,Functional Characterization of the Effects of N-acetyltransferase 2 Alleles on N-acetylation of Eight Drugs and Worldwide Distribution of Substrate-Specific Diversity.,Frontiers in genetics,2021
33814073,77-Year-Old Man With Nausea and Abdominal Pain.,Mayo Clinic proceedings,2021
31092097,N-acetyltransferase: the practical consequences of polymorphic activity in man.,Xenobiotica; the fate of foreign compounds in biological systems,2020
30593188,Isolated pancreatic tuberculosis with elevated CA 19-9 levels masquerading as a malignancy: A rare case report and literature review.,Medicine,2018
22234776,A case of isolated pancreatic tuberculosis mimicking pancreatic carcinoma.,The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology,2011
15800697,Hepatic tuberculomas. A case report.,Romanian journal of gastroenterology,2005
2281082,Tuberculosis of the pancreas.,Pancreas,1990
5194715,"Lupus vulgaris, isoniazid, and cancer. The frequency of cancer deaths in 245 isoniazid-treated lupus vulgaris patients with an average observation period of 12 years.",Scandinavian journal of respiratory diseases,1968
