PMID,Title,Journal,Year
40918248,Orthopnea as a trigger for a diagnostic cascade of multiple infectious diseases.,IDCases,2025
40672724,Frequency of tuberculosis in psoriasis patients using anti-TNF therapy during 16 years of follow-up.,Postepy dermatologii i alergologii,2025
40636239,Tuberculous Meningitis and Hemophagocytic Lymphohistiocytosis in a Patient on Adalimumab: Diagnostic Challenges in the Setting of Suspected Non-Tuberculous Mycobacteria Co-Infection.,European journal of case reports in internal medicine,2025
40518210,Isoniazid-induced hepatotoxicity in patients with latent tuberculosis - experience from a tuberculosis center.,The Indian journal of tuberculosis,2025
40497178,Psoriatic Skin Lesions Induced by the Bacillus Calmette-Guerin (BCG) Vaccination in a Child With Latent Tuberculosis Infection: A Case Report.,Cureus,2025
40135316,Disseminated Tuberculosis Driving Secondary Haemophagocytic Lymphohistiocytosis Following Adalimumab and Treatment for Latent Tuberculosis.,"British journal of hospital medicine (London, England : 2005)",2025
38246618,Active Tuberculosis in a Patient Receiving Adalimumab for Psoriatic Arthritis and Chemoprophylaxis for Latent Tuberculosis Infection.,Journal of Nippon Medical School = Nippon Ika Daigaku zasshi,2023
35385362,Lack of reactivation of tuberculosis in patients with psoriasis treated with secukinumab in a real-world setting of latent tuberculosis infection.,The Journal of dermatological treatment,2022
35196847,Efficacy and safety of ustekinumab in the treatment of moderate to severe plaque psoriasis in Singapore.,Singapore medical journal,2023
35127089,Treatment with secukinumab for plaque psoriasis in patients with infectious comorbidities and latent tuberculosis: A multi-case report analysis.,Clinical case reports,2022
34211910,Latent Tuberculosis in Psoriasis Patients Planned for Systemic Therapy - A Prospective Observational Study.,Indian dermatology online journal,2021
34096859,Erythema Multiforme-like Dermatitis Due to Isoniazid Hypersensitivity in a Patient With Psoriasis.,Cutis,2021
33911816,Disseminated Tuberculosis in a Psoriasis Patient under Adalimumab Treatment despite the Chemoprophylaxis of Latent Tuberculosis: A Case Report.,Annals of dermatology,2021
33237033,Safety of secukinumab in psoriasis patients with latent tuberculosis infection.,European journal of dermatology : EJD,2020
32867745,Chest roentgenography is complementary to interferon-gamma release assay in latent tuberculosis infection screening of rheumatic patients.,BMC pulmonary medicine,2020
31763718,Mycobacterium tuberculosis infection in psoriatic patients treated with biologics: Real-world data from 18 Japanese facilities.,The Journal of dermatology,2020
31720351,Two cases of disseminated tuberculosis after negative screening before adalimumab treatment for immune-mediated inflammatory diseases.,JAAD case reports,2019
31498683,"A review of antibiotics and psoriasis: induction, exacerbation, and amelioration.",Expert review of clinical pharmacology,2019
31325342,Severe psoriasis entering remission after treatment for latent tuberculosis with isoniazid: Report of two cases.,The Journal of dermatology,2019
30085327,Tuberculosis Screening in Patients with Psoriasis Receiving Biologic Therapy: A Retrospective Cohort Study.,Acta dermato-venereologica,2018
