PMID,Title,Journal,Year
39731099,Reduced gut microbiota diversity in ulcerative colitis patients with latent tuberculosis infection during vedolizumab therapy: insights on prophylactic anti-tuberculosis effects.,BMC microbiology,2024
36918754,Neurotuberculosis in a Patient with Ulcerative Colitis Using Long-Term Adalimumab: A Rare Case.,The American journal of case reports,2023
35244861,A case of paradoxical response during anti-tuberculosis treatment in a patient with ulcerative colitis.,Clinical journal of gastroenterology,2022
37461971,P053 Interstitial Nephritis from IBD: Complicated Conclusions.,The American journal of gastroenterology,2021
33812254,"Therapeutic effect of an anti-tuberculosis agent, isoniazid, and its nano-isoform in ulcerative colitis.",International immunopharmacology,2021
29718223,Outcomes of Treatment for Latent Tuberculosis Infection in Patients With Inflammatory Bowel Disease Receiving Biologic Therapy.,Inflammatory bowel diseases,2018
29485786,QuantiFERON-TB Gold In-Tube Test in the Diagnosis of Latent Tuberculosis Infection in Arthritis Patients Treated with Tumor Necrosis Factor Antagonists.,Acta clinica Croatica,2017
27215554,Adalimumab-Receiving Ulcerative Colitis Patient Suffered Latent Tuberculosis Reactivation Despite Correct Chemoprophylaxis and was Successfully Treated while on Anti-Tumour Necrosis Factor Therapy.,Journal of Crohn's & colitis,2016
25831138,Latent tuberculosis screening tests and active tuberculosis infection rates in Turkish inflammatory bowel disease patients under anti-tumor necrosis factor therapy.,Annals of gastroenterology,2015
24742986,Acute murine colitis reduces colonic 5-aminosalicylic acid metabolism by regulation of N-acetyltransferase-2.,American journal of physiology. Gastrointestinal and liver physiology,2014
24373757,Drug-induced lupus erythematosus presenting with cardiac tamponade: a case report and literature review.,The Canadian journal of cardiology,2014
22978645,Retesting for latent tuberculosis in patients with inflammatory bowel disease treated with TNF-alpha inhibitors.,Alimentary pharmacology & therapeutics,2012
19734708,[A case of steroid-dependent ulcerative colitis complicated by skin infection of Mycobacterium szulgai].,Nihon Shokakibyo Gakkai zasshi = The Japanese journal of gastro-enterology,2009
1981997,Cutaneous tuberculosis: atypical skin lesions in immunodepressed patients.,"Giornale italiano di dermatologia e venereologia : organo ufficiale, Societa italiana di dermatologia e sifilografia",1990
2567614,Antimycobacterial chemotherapy in inflammatory bowel disease.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,1989
2859977,Genetically determined variability in acetylation and oxidation. Therapeutic implications.,Drugs,1985
31039,[Lichen planus today].,Zeitschrift fur Hautkrankheiten,1978
18318,[Therapy of ulcerative colitis].,La Clinica terapeutica,1977
4973283,[A year's results at a bacteriological tuberculosis laboratory. The importance of atypical mycobacteria].,Schweizerische medizinische Wochenschrift,1968
14104331,[SURGICAL TREATMENT OF ULCERATIVE HEMORRHAGIC RECTOCOLITIS].,Journal de chirurgie,1963
