PMID,Title,Journal,Year
40144026,The Unwelcome Guest: Strongyloides stercoralis Hyperinfection in a Patient With Steroid-Dependent Asthma-COPD Overlap Syndrome (ACOS)-A Case Report and Review of Literature.,Case reports in pulmonology,2025
38944716,Clinico-epidemiological Characteristics of the Physician Affected with Covid-19.,Mymensingh medical journal : MMJ,2024
38640424,Discovery of common molecular signatures and drug repurposing for COVID-19/Asthma comorbidity: ACE2 and multi-partite networks.,"Cell cycle (Georgetown, Tex.)",2024
38031096,Dissemination of Registered COVID-19 Clinical Trials (DIRECCT): a cross-sectional study.,BMC medicine,2023
37979051,"Niclosamide, but not ivermectin, inhibits anoctamin 1 and 6 and attenuates inflammation of the respiratory tract.",Pflugers Archiv : European journal of physiology,2024
37965273,Domestic Parasitic Infections in Patients with Asthma and Eosinophilia in Germany - Three Cases with Learnings in the Era of Anti- IL5 Treatments.,Journal of asthma and allergy,2023
37735273,Strongyloidiasis in humans and dogs in Southern Italy: an observational study.,Parasitology research,2023
37640510,Repurposed drug studies on the primary prevention of SARS-CoV-2 infection during the pandemic: systematic review and meta-analysis.,BMJ open respiratory research,2023
35077076,Strongyloides Stercoralis Infection in Hispanic Veterans Living in Puerto Rico: A Tropical Issue or a Global One?,Puerto Rico health sciences journal,2021
34782946,Crusted scabies in children in France: a series of 20 cases.,European journal of pediatrics,2022
34416813,Optimizing clinical approaches to COVID-19 patients in primary care.,Casopis lekaru ceskych,2021
33552419,Parasitic necrotizing pneumonia in an immunocompetent patient in United States.,Journal of community hospital internal medicine perspectives,2021
33422116,"Screening of Strongyloides stercoralis infection in high-risk patients in Khuzestan Province, Southwestern Iran.",Parasites & vectors,2021
33397429,The efficacy and safety of Ivermectin in patients with mild and moderate COVID-19: A structured summary of a study protocol for a randomized controlled trial.,Trials,2021
33347427,Strongyloides Hyperinfection Syndrome: A Curious Case of Asthma Worsened by Systemic Corticosteroids.,The American journal of case reports,2020
33318254,Chronic strongyloidiasis: a case of B symptoms and recurrent asthma exacerbations.,BMJ case reports,2020
31030665,Strongyloides stercoralis infection after the use of emergency corticosteroids: a case report on hyperinfection syndrome.,Journal of medical case reports,2019
30615406,"Infectious Disease: Bedbugs, Lice, and Mites.",FP essentials,2019
29866667,Successful use of subcutaneous ivermectin for the treatment of Strongyloides stercoralis hyperinfection in the setting of small bowel obstruction and paralytic ileus in the immunocompromised population.,BMJ case reports,2018
29348277,Chronic strongyloidiasis with recurrent asthma exacerbations and steroid-associated 'hives'.,BMJ case reports,2018
