PMID,Title,Journal,Year
37085966,P2X4 receptor modulates gut inflammation and favours microbial homeostasis in colitis.,Clinical and translational medicine,2023
35069994,Gastrointestinal and hepatic side effects of potential treatment for COVID-19 and vaccination in patients with chronic liver diseases.,World journal of hepatology,2021
34674071,Anti-inflammatory Effects of Ivermectin in the Treatment of Acetic Acid-Induced Colitis in Rats: Involvement of GABA(B) Receptors.,Digestive diseases and sciences,2022
32772699,Strongyloides stercoralis colitis in a patient positive for human T-cell leukaemia virus with rheumatoid arthritis during an anti-rheumatic therapy: a case report.,Modern rheumatology case reports,2021
31048281,[Strongyloides hyperinfection in patient from Patagonia with HTLV-1 co-infection].,Medicina,2019
30938621,Disseminated Strongyloides stercoralis infection in a dog following long-term treatment with budesonide.,Journal of the American Veterinary Medical Association,2019
28721104,Case report of a computerized tomography sign in Strongyloides stercoralis infection.,International medical case reports journal,2017
22444100,A vicious cycle.,The American journal of medicine,2012
19144377,Strongyloides colitis is a lethal mimic of ulcerative colitis: the key morphologic differential diagnosis.,Human pathology,2009
15500562,Therapeutic implications of the MDR-1 gene.,Journal of veterinary pharmacology and therapeutics,2004
6480477,Granulomatous colitis associated with small strongyle larvae in a horse.,Journal of the American Veterinary Medical Association,1984
