PMID,Title,Journal,Year
40707225,A Case Report of Disseminated Strongyloidiasis Following Chemoradiotherapy for Lung Cancer in a Patient Living in a Non-endemic Area in Japan.,"Internal medicine (Tokyo, Japan)",2025
40497800,Intranasal Delivery of Ivermectin Nanosystems as an Antitumor Agent: Focusing on Glioma Suppression.,ACS biomaterials science & engineering,2025
40174264,Targeting EGFR/PI3K/AKT/mTOR and Bax/Bcl-2/caspase3 pathways with ivermectin mediates its anticancer effects against urethane-induced non-small cell lung cancer in BALB/c mice.,Tissue & cell,2025
39626921,Ivermectin Enhances Paclitaxel Efficacy by Overcoming Resistance Through Modulation of ABCB1 in Non-small Cell Lung Cancer.,Anticancer research,2024
39204406,Inhaled Ivermectin-Loaded Lipid Polymer Hybrid Nanoparticles: Development and Characterization.,Pharmaceutics,2024
38906021,Novel selective inhibitors of macropinocytosis-dependent growth in pancreatic ductal carcinoma.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024
38690892,"Favorable Antiviral Effect of Metformin on SARS-CoV-2 Viral Load in a Randomized, Placebo-Controlled Clinical Trial of COVID-19.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2024
38453362,(68)Ga-FAPI-04 PET/CT in Non-Small Cell Lung Cancer: Accurate Evaluation of Lymph Node Metastasis and Correlation with Fibroblast Activation Protein Expression.,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",2024
37741955,Ivermectin induces nonprotective autophagy by downregulating PAK1 and apoptosis in lung adenocarcinoma cells.,Cancer chemotherapy and pharmacology,2024
37302406,"Outpatient treatment of COVID-19 and incidence of post-COVID-19 condition over 10 months (COVID-OUT): a multicentre, randomised, quadruple-blind, parallel-group, phase 3 trial.",The Lancet. Infectious diseases,2023
37175973,"TTT (Tel2-Tti1-Tti2) Complex, the Co-Chaperone of PIKKs and a Potential Target for Cancer Chemotherapy.",International journal of molecular sciences,2023
36552040,Ivermectin Affects Neutrophil-Induced Inflammation through Inhibition of Hydroxylysine but Stimulation of Cathepsin G and Phenylalanine Secretion.,Biomedicines,2022
36132145,Drug repurposing of ivermectin abrogates neutrophil extracellular traps and prevents melanoma metastasis.,Frontiers in oncology,2022
35670605,Factors Associated With Severe Illness in Patients Aged <21 Years Hospitalized for COVID-19.,Hospital pediatrics,2022
35390032,Identification of host transcriptome-guided repurposable drugs for SARS-CoV-1 infections and their validation with SARS-CoV-2 infections by using the integrated bioinformatics approaches.,PloS one,2022
34218593,Albendazole and Mebendazole as Anti-Parasitic and Anti-Cancer Agents: an Update.,The Korean journal of parasitology,2021
33578014,"Effectiveness of a multidrug therapy consisting of Ivermectin, Azithromycin, Montelukast, and Acetylsalicylic acid to prevent hospitalization and death among ambulatory COVID-19 cases in Tlaxcala, Mexico.",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2021
32915876,A new advanced in silico drug discovery method for novel coronavirus (SARS-CoV-2) with tensor decomposition-based unsupervised feature extraction.,PloS one,2020
32237037,Ivermectin suppresses tumour growth and metastasis through degradation of PAK1 in oesophageal squamous cell carcinoma.,Journal of cellular and molecular medicine,2020
32201246,Inhibition of TMEM16A Ca(2+)-activated Cl(-) channels by avermectins is essential for their anticancer effects.,Pharmacological research,2020
