PMID,Title,Journal,Year
40796643,LRRK2-mutant microglia and neuromelanin synergize to drive dopaminergic neurodegeneration in an iPSC-based Parkinson's disease model.,Communications biology,2025
38901726,Emamectin benzoate-induced toxicity affects intestinal epithelial integrity involving apoptosis.,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2024
38632622,Ivermectin increases striatal cholinergic activity to facilitate dopamine terminal function.,Cell & bioscience,2024
35723340,Transcription of the Envelope Protein by 1-L Protein-RNA Recognition Code Leads to Genes/Proteins That Are Relevant to the SARS-CoV-2 Life Cycle and Pathogenesis.,Current issues in molecular biology,2022
34092198,Piperine promotes autophagy flux by P2RX4 activation in SNCA/alpha-synuclein-induced Parkinson disease model.,Autophagy,2022
33125243,Synthetic Monopartite Peptide That Enables the Nuclear Import of Genes Delivered by the Neurotensin-Polyplex Vector.,Molecular pharmaceutics,2020
32668263,The macrocyclic lactones ivermectin and moxidectin show differential effects on rotational behavior in the 6-hydroxydopamine mouse model of Parkinson's disease.,Behavioural brain research,2020
27402173,Role of purinergic P2X4 receptors in regulating striatal dopamine homeostasis and dependent behaviors.,Journal of neurochemistry,2016
26272936,P-Glycoprotein Transport of Neurotoxic Pesticides.,The Journal of pharmacology and experimental therapeutics,2015
15500562,Therapeutic implications of the MDR-1 gene.,Journal of veterinary pharmacology and therapeutics,2004
