PMID,Title,Journal,Year
40854169,Machine Learning Model Integrating Computed Tomography Image-Derived Radiomics and Circulating miRNAs to Predict Residual Teratoma in Metastatic Nonseminoma Testicular Cancer.,JCO clinical cancer informatics,2025
38794139,Computational Modeling to Identify Drugs Targeting Metastatic Castration-Resistant Prostate Cancer Characterized by Heightened Glycolysis.,"Pharmaceuticals (Basel, Switzerland)",2024
37171616,Eprinomectin: a derivative of ivermectin suppresses growth and metastatic phenotypes of prostate cancer cells by targeting the beta-catenin signaling pathway.,Journal of cancer research and clinical oncology,2023
36050295,Integrated analysis reveals FOXA1 and Ku70/Ku80 as targets of ivermectin in prostate cancer.,Cell death & disease,2022
34218593,Albendazole and Mebendazole as Anti-Parasitic and Anti-Cancer Agents: an Update.,The Korean journal of parasitology,2021
33709547,Androgen receptor (AR) antagonism triggers acute succinate-mediated adaptive responses to reactivate AR signaling.,EMBO molecular medicine,2021
32474842,Antitumor effects of ivermectin at clinically feasible concentrations support its clinical development as a repositioned cancer drug.,Cancer chemotherapy and pharmacology,2020
32454055,"Eprinomectin, a novel semi-synthetic macrocylic lactone is cytotoxic to PC3 metastatic prostate cancer cells via inducing apoptosis.",Toxicology and applied pharmacology,2020
31845908,Ivermectin inhibits HSP27 and potentiates efficacy of oncogene targeting in tumor models.,The Journal of clinical investigation,2020
30677831,Scabies presenting as cutaneous nodules or malar erythema: reports of patients with scabies surrepticius masquerading as prurigo nodularis or systemic lupus erythematosus.,Dermatology online journal,2018
22491145,"The direct PAK1 inhibitor, TAT-PAK18, blocks preferentially the growth of human ovarian cancer cell lines in which PAK1 is abnormally activated by autophosphorylation at Thr 423.",Drug discoveries & therapeutics,2010
22495656,Ivermectin inactivates the kinase PAK1 and blocks the PAK1-dependent growth of human ovarian cancer and NF2 tumor cell lines.,Drug discoveries & therapeutics,2009
