PMID,Title,Journal,Year
40733499,"COVID-19 and a Tale of Three Drugs: To Repurpose, or Not to Repurpose-That Was the Question.",Viruses,2025
40671933,"Post spike syndrome (PSS): Simple solution leading to resolving results, five cases report.",IDCases,2025
40647079,"Reforming Food, Drug, and Nutraceutical Regulations to Improve Public Health and Reduce Healthcare Costs.","Foods (Basel, Switzerland)",2025
40535766,Antimalarial compounds exhibit variant- and cell-type-specific activity against SARS-CoV-2 isolated in Panama.,Frontiers in pharmacology,2025
40452530,A fatal post-COVID-19 sino-orbital mucormycosis in an adult patient with diabetes mellitus: a case report and review of the literature.,Journal of infection in developing countries,2025
40388009,"Trust, Transparency, and Translation: How Clinical Pharmacologists Can Strengthen Public Confidence in Pandemic Responses-Commentary on Schmith et al.",Clinical pharmacology and therapeutics,2025
40327060,Ivermectin repurposing for COVID-19: pharmacological and bibliometric analysis.,Naunyn-Schmiedeberg's archives of pharmacology,2025
40316874,Enhancing Intracellular Uptake of Ivermectin through Liposomal Encapsulation.,AAPS PharmSciTech,2025
40224401,Repeated Oral Administration of Ivermectin Belatedly Induces Toxicity and Disrupts the Locomotion and Neuropsychiatric Behavior in Rats.,ACS omega,2025
40214320,Increase in Scabies Cases and Permethrin Nonresponse in Turkiye.,Indian journal of public health,2025
40146987,Exploring Public Sentiment on the Repurposing of Ivermectin for COVID-19 Treatment: Cross-Sectional Study Using Twitter Data.,JMIR formative research,2025
40100484,Drug repositioning as a promising approach for the eradication of emerging and re-emerging viral agents.,Molecular diversity,2025
40071259,Real-world experience with therapies for SARS-CoV-2: Lessons from the Italian COVID-19 studies.,Le infezioni in medicina,2025
40053730,Characterizing Public Sentiments and Drug Interactions in the COVID-19 Pandemic Using Social Media: Natural Language Processing and Network Analysis.,Journal of medical Internet research,2025
40018602,"Clinical manifestations and treatment outcomes among hospitalised COVID-19 patients in tertiary hospitals in Tanzania, 2021-2022: a retrospective cohort study.",BMJ public health,2024
39970365,Demographic Variation In US Outpatient Hydroxychloroquine And Ivermectin Use During The COVID-19 Pandemic.,Health affairs (Project Hope),2025
39930936,Systematic Reevaluation of Repurposed Drugs Against the Main Protease of SARS-CoV-2 via Combined Experiments.,Journal of medical virology,2025
39892677,Inhalable spray-dried dry powders combining ivermectin and niclosamide to inhibit SARS-CoV-2 infection in vitro.,International journal of pharmaceutics,2025
39863946,Role of ivermectin and colchicine in the treatment of COVID-19: a randomized controlled clinical trial.,Journal of infection in developing countries,2024
39772146,Characterization and Fluctuations of an Ivermectin Binding Site at the Lipid Raft Interface of the N-Terminal Domain (NTD) of the Spike Protein of SARS-CoV-2 Variants.,Viruses,2024
