PMID,Title,Journal,Year
40611935,Impact of Resistance Associated Substitutions and Predictors of Treatment Failure Following Direct-acting Antiviral Therapy in a Viral Hepatitis C Elimination Cohort.,Journal of clinical and experimental hepatology,2025
40414600,A global comparison of hepatitis B & C drug pricing.,Annals of hepatology,2025
39497846,Experience and challenges delivering hepatitis C virus treatment for people who inject drugs in Kenya.,Frontiers in medicine,2024
37286314,Treatment effectiveness and side effects of patients with hepatitis C in the prisons of Southern Taiwan: a real-life retrospective analysis.,BMJ open,2023
37254310,In silico molecular study of hepatitis B virus X protein as a therapeutic target.,Journal of biomolecular structure & dynamics,2024
36535062,Real World Efficacy and Safety of Sofosbuvir + Velpatasvir + Voxilaprevir in Romanian Patients with Genotype 1b HCV Infection Non-reponders to DAAs Therapy.,Journal of gastrointestinal and liver diseases : JGLD,2022
36263536,"Distribution of chronic hepatitis C genotype and evaluation of clinical factors affecting direct-acting antiviral treatment responses in the Western Black Sea Region, Turkey.",European review for medical and pharmacological sciences,2022
36045503,A Phase 2 open label study of ledipasvir/sofosbuvir for 12 weeks in subjects with hepatitis B virus infection.,Journal of medical virology,2023
35434589,Characteristics of hepatitis C virus resistance in an international cohort after a decade of direct-acting antivirals.,JHEP reports : innovation in hepatology,2022
35431505,Real-world effectiveness of direct-acting antivirals in people living with human immunodeficiency virus and hepatitis C virus genotype 6 infections.,World journal of gastroenterology,2022
35248212,Safety and efficacy of sofosbuvir-velpatasvir-voxilaprevir for re-treatment of chronic hepatitis C virus infection in patients with previous direct-acting antiviral treatment failure in Rwanda (SHARED-3): a single-arm trial.,The lancet. Gastroenterology & hepatology,2022
34864948,Ledipasvir/Sofosbuvir for Patients Coinfected With Chronic Hepatitis C and Hepatitis B in Taiwan: Follow-up at 108 Weeks Posttreatment.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2022
34712928,Outcomes of Real-World Integrated HCV Microelimination for People Who Inject Drugs: An expansion of the Punjab Model.,EClinicalMedicine,2021
34232923,Effective Treatment of Chronic Hepatitis C Virus Infection With Ledipasvir/Sofosbuvir in 2 Teenagers With HIV Coinfection: A Brief Report.,The Pediatric infectious disease journal,2021
34092970,Breakthroughs and challenges in the management of pediatric viral hepatitis.,World journal of gastroenterology,2021
33983567,Reactivation of hepatitis C virus with severe hepatitis flare during steroid administration for interstitial pneumonia.,Clinical journal of gastroenterology,2021
33523503,Hepatitis B virus reactivation in cancer patients receiving direct-acting antivirals for hepatitis C virus infection.,Journal of viral hepatitis,2021
33208686,Real-world efficacy and safety of direct-acting antiviral drugs in patients with chronic hepatitis C and inherited blood disorders.,European journal of gastroenterology & hepatology,2021
33207029,Assessment of treatment options for patients with hepatitis C virus recombinant form 2k/1b.,Hepatology research : the official journal of the Japan Society of Hepatology,2021
33151016,Real-world effectiveness of direct-acting antiviral agents for chronic hepatitis C patients with genotype-2 infection after completed treatment.,The Kaohsiung journal of medical sciences,2021
