PMID,Title,Journal,Year
39350869,Effectiveness of Ledipasvir-Sofosbuvir 12 Weeks After Hepatitis C Virus Genotype 1 Infection and the Factors Associated With Sustained Virologic Response: A Retrospective Study.,Cureus,2024
36263536,"Distribution of chronic hepatitis C genotype and evaluation of clinical factors affecting direct-acting antiviral treatment responses in the Western Black Sea Region, Turkey.",European review for medical and pharmacological sciences,2022
35571427,Sofosbuvir and ledipasvir decreased nephrotic syndrome caused by IgA nephropathy with a membranoproliferative pattern of injury in hepatitis C virus-induced cirrhosis: a case report.,Annals of translational medicine,2022
35248212,Safety and efficacy of sofosbuvir-velpatasvir-voxilaprevir for re-treatment of chronic hepatitis C virus infection in patients with previous direct-acting antiviral treatment failure in Rwanda (SHARED-3): a single-arm trial.,The lancet. Gastroenterology & hepatology,2022
35110949,Outreach onsite treatment with a simplified pangenotypic direct-acting anti-viral regimen for hepatitis C virus micro-elimination in a prison.,World journal of gastroenterology,2022
34759209,"Sofosbuvir-based antiviral therapy provided highly treatment efficacy, safety, and good tolerability for Taiwanese chronic hepatitis C patients with decompensated cirrhosis.",Journal of the Chinese Medical Association : JCMA,2022
34531135,Direct-acting antiviral regimens in Egyptian patients with chronic hepatitis C virus infection: A real-world single-center experience.,Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology,2021
33577593,"Direct antiviral agents for hepatitis C and drug interaction risk: A retrospective cohort study with real and simulated data on medication interaction, prevalence of comorbidities and comedications.",PloS one,2021
31622492,Effectiveness of the Treatment of Chronic Hepatitis C Virus Infection Genotype 2 by the Combination Sofosbuvir/Ledipasvir in a Black African Kidney Transplant.,West African journal of medicine,2019
31589184,Hepatitis C therapy with direct antiviral agents in patients with advanced chronic kidney disease: real-world experience of the German Hepatitis C-Registry (Deutsches Hepatitis C-Register).,European journal of gastroenterology & hepatology,2019
31170218,"Treatment with direct-acting antivirals improves peripheral insulin sensitivity in non-diabetic, lean chronic hepatitis C patients.",PloS one,2019
30552056,Treatment of chronic hepatitis C virus infection in Rwanda with ledipasvir-sofosbuvir (SHARED): a single-arm trial.,The lancet. Gastroenterology & hepatology,2019
30117490,Treatment efficacy of ledipasvir/sofosbuvir for 8 weeks in non-cirrhotic chronic hepatitis C genotype 4 patients.,Saudi journal of gastroenterology : official journal of the Saudi Gastroenterology Association,2019
30065068,Hepatitis C Virus Infection in ESKD Patients.,Clinical journal of the American Society of Nephrology : CJASN,2018
29394727,[A Case Report of Inguinal Malignant Lymphoma after Surgery for Hepatocellular Carcinoma].,Gan to kagaku ryoho. Cancer & chemotherapy,2017
29316039,Treatment of HCV infection in Poland at the beginning of the interferon-free era-the EpiTer-2 study.,Journal of viral hepatitis,2018
28837746,"Hepatitis C virus-related symptoms, but not quality of life, were improved by treatment with direct-acting antivirals.",Hepatology research : the official journal of the Japan Society of Hepatology,2018
28381744,Ventricular Tachycardia as a Complication of Ledipasvir and Sofosbuvir Treatment for HCV Infection.,"Internal medicine (Tokyo, Japan)",2017
28321163,Optimizing hepatitis C virus treatment through pharmacist interventions: Identification and management of drug-drug interactions.,World journal of gastroenterology,2017
28249574,Reactivation of occult HBV infection in an HIV/HCV Co-infected patient successfully treated with sofosbuvir/ledipasvir: a case report and review of the literature.,BMC infectious diseases,2017
