pmid,title,journal,year,drug,disease
40191068,Possible Association Between Dopamine Antagonists and Increased Conversion to Exudative Age-Related Macular Degeneration.,Journal of vitreoretinal diseases,2025,Levodopa,Age-related Macular Degeneration
39501348,Levodopa is associated with reduced development of new-onset geographic atrophy in patients with age-related macular degeneration.,"Eye and vision (London, England)",2024,Levodopa,Age-related Macular Degeneration
39012703,DRD2 activation inhibits choroidal neovascularization in patients with Parkinson's disease and age-related macular degeneration.,The Journal of clinical investigation,2024,Levodopa,Age-related Macular Degeneration
38189711,"Altered Outer Retinal Structure, Electrophysiology and Visual Perception in Parkinson's Disease.",Journal of Parkinson's disease,2024,Levodopa,Age-related Macular Degeneration
37452694,Repurposing medications for treatment of age-related macular degeneration: Insights from novel approaches to data mining.,"Experimental biology and medicine (Maywood, N.J.)",2023,Levodopa,Age-related Macular Degeneration
37440017,Repurposing Drugs for Treatment of Age-Related Macular Degeneration.,Advances in experimental medicine and biology,2023,Levodopa,Age-related Macular Degeneration
37440012,Decoding Race and Age-Related Macular Degeneration: GPR 143 Activity Is the Key.,Advances in experimental medicine and biology,2023,Levodopa,Age-related Macular Degeneration
37146684,Levodopa Is Associated with Reduced Development of Neovascular Age-Related Macular Degeneration.,Ophthalmology. Retina,2023,Levodopa,Age-related Macular Degeneration
36806480,Structural and functional changes in the retina in Parkinson's disease.,"Journal of neurology, neurosurgery, and psychiatry",2023,Levodopa,Age-related Macular Degeneration
36736867,Mechanism of circular RNA-mediated regulation of L-DOPA to improve wet age-related macular degeneration.,Gene,2023,Levodopa,Age-related Macular Degeneration
36731638,Effects of systemic drugs on the development and progression of age-related macular degeneration.,Survey of ophthalmology,2023,Levodopa,Age-related Macular Degeneration
36221799,The safety and tolerability of levodopa eye drops for the treatment of ocular disorders: A randomized first-in-human study.,Clinical and translational science,2022,Levodopa,Age-related Macular Degeneration
36152160,Analyses and Localization of Serotonin and L-DOPA in Ocular Tissues by Imaging Mass Spectrometry.,"Methods in molecular biology (Clifton, N.J.)",2023,Levodopa,Age-related Macular Degeneration
33504013,"Neovascular Macular Degeneration: A Review of Etiology, Risk Factors, and Recent Advances in Research and Therapy.",International journal of molecular sciences,2021,Levodopa,Age-related Macular Degeneration
32628915,Levodopa Positively Affects Neovascular Age-Related Macular Degeneration.,The American journal of medicine,2021,Levodopa,Age-related Macular Degeneration
31670434,Developing a simple method to enhance the generation of cone and rod photoreceptors in pluripotent stem cell-derived retinal organoids.,"Stem cells (Dayton, Ohio)",2020,Levodopa,Age-related Macular Degeneration
29846169,Treatments for dry age-related macular degeneration and Stargardt disease: a systematic review.,"Health technology assessment (Winchester, England)",2018,Levodopa,Age-related Macular Degeneration
26524704,Mining Retrospective Data for Virtual Prospective Drug Repurposing: L-DOPA and Age-related Macular Degeneration.,The American journal of medicine,2016,Levodopa,Age-related Macular Degeneration
