pmid,title,journal,year,drug,disease
30838990,Levodopa-induced myocardial infarction in a patient with Parkinson's disease and severe coronary artery disease.,The journal of the Royal College of Physicians of Edinburgh,2019,Levodopa,Arteriosclerosis Cardiovascular disease
23840332,Cardiovascular changes in atherosclerotic ApoE-deficient mice exposed to Co60 (gamma) radiation.,PloS one,2013,Levodopa,Arteriosclerosis Cardiovascular disease
21507731,Balance control improves following replacement of paroxetine with venlafaxine and levodopa in a case of microvascular dementia.,The American journal of geriatric pharmacotherapy,2011,Levodopa,Arteriosclerosis Cardiovascular disease
21480824,"Motor complications, levodopa metabolism and progression of Parkinson's disease.",Expert opinion on drug metabolism & toxicology,2011,Levodopa,Arteriosclerosis Cardiovascular disease
20083224,"Radical sequestration by protein-bound 3,4-dihydroxyphenylalanine.",The international journal of biochemistry & cell biology,2010,Levodopa,Arteriosclerosis Cardiovascular disease
17996905,Parkinsonism in a patient with antiphospholipid syndrome--case report and literature review.,Journal of the neurological sciences,2008,Levodopa,Arteriosclerosis Cardiovascular disease
16324516,[Utility of 123-I ioflupane SPECT in the assessment of patients with Parkinsonian syndrome and cerebral vasculopathy].,Revista espanola de medicina nuclear,2005,Levodopa,Arteriosclerosis Cardiovascular disease
15713855,Vascular parkinsonism--an important cause of parkinsonism in older people.,Age and ageing,2005,Levodopa,Arteriosclerosis Cardiovascular disease
15713851,Vascular parkinsonism--an important update.,Age and ageing,2005,Levodopa,Arteriosclerosis Cardiovascular disease
15365141,Homocysteine and levodopa: should Parkinson disease patients receive preventative therapy?,Neurology,2004,Levodopa,Arteriosclerosis Cardiovascular disease
14666785,"[Vascular parkinsonian syndrome in 21 case studies, two of which were anatomic].",Dakar medical,2000,Levodopa,Arteriosclerosis Cardiovascular disease
13677897,[Diagnosis and therapy for patients with vascular parkinsonism].,Nihon Naika Gakkai zasshi. The Journal of the Japanese Society of Internal Medicine,2003,Levodopa,Arteriosclerosis Cardiovascular disease
12533089,Elevated plasma homocysteine levels in patients treated with levodopa: association with vascular disease.,Archives of neurology,2003,Levodopa,Arteriosclerosis Cardiovascular disease
9773057,[Vascular Parkinson syndromes: a controversial concept].,Revue neurologique,1998,Levodopa,Arteriosclerosis Cardiovascular disease
7565825,Binswanger's disease presenting as levodopa-responsive parkinsonism: clinicopathologic study of three cases.,Movement disorders : official journal of the Movement Disorder Society,1995,Levodopa,Arteriosclerosis Cardiovascular disease
7738597,Levodopa-induced local cerebral blood flow changes in Parkinson's disease and related disorders.,Journal of the neurological sciences,1995,Levodopa,Arteriosclerosis Cardiovascular disease
8023073,[Vascular hemi-parkinson disease].,Revue neurologique,1993,Levodopa,Arteriosclerosis Cardiovascular disease
1481645,Vascular pseudoparkinsonism.,Acta neurologica Scandinavica,1992,Levodopa,Arteriosclerosis Cardiovascular disease
1434048,[Recent therapeutic advances in geriatric neurology].,Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics,1992,Levodopa,Arteriosclerosis Cardiovascular disease
1655353,The influence of adrenoreactive preparations on clinical and haemodynamic parameters in patients with ischaemic heart disease.,Cor et vasa,1991,Levodopa,Arteriosclerosis Cardiovascular disease
2752647,[Progressive supranuclear palsy accompanied with progressive subcortical vascular encephalopathy of Binswanger type--a case report].,Rinsho shinkeigaku = Clinical neurology,1989,Levodopa,Arteriosclerosis Cardiovascular disease
3213330,[Correlation of clinico-physiologic indices and the serotonin content of the blood of patients with parkinsonism].,"Zhurnal nevropatologii i psikhiatrii imeni S.S. Korsakova (Moscow, Russia : 1952)",1988,Levodopa,Arteriosclerosis Cardiovascular disease
6562035,[Vascular parkinsonism and current methods for its drug treatment].,Fel'dsher i akusherka,1984,Levodopa,Arteriosclerosis Cardiovascular disease
