pmid,title,journal,year,drug,disease
40921993,Prevalence of COVID-19 in patients with parkinson's disease and the impact of parkinson's disease on COVID-19 prognosis.,Acta neurologica Belgica,2025,Levodopa,COVID-19
40329907,Impact of COVID-19 on long-term outcomes in Parkinson's disease.,European journal of neurology,2025,Levodopa,COVID-19
39429502,Internal carotid artery dissection in a patient with Parkinson's disease after COVID-19 infection.,eNeurologicalSci,2024,Levodopa,COVID-19
38718952,Dopamine and its precursor levodopa inactivate SARS-CoV-2 main protease by forming a quinoprotein.,Free radical biology & medicine,2024,Levodopa,COVID-19
38605033,Predictors of stress resilience in Parkinson's disease and associations with symptom progression.,NPJ Parkinson's disease,2024,Levodopa,COVID-19
37780813,Improving Documentation of Impulse Control Disorders at a Movement Disorder Program During the COVID-19 Pandemic.,Neurology. Clinical practice,2023,Levodopa,COVID-19
37726180,A large survey on COVID-19 vaccination in patients with Parkinson's disease and healthy population.,Vaccine,2023,Levodopa,COVID-19
37629744,Pharmacological and Non-Pharmacological Treatments for Depression in Parkinson's Disease: An Updated Review.,"Medicina (Kaunas, Lithuania)",2023,Levodopa,COVID-19
37583957,Case report: Atypical Parkinsonism following SARS-CoV-2 infection.,Frontiers in neurology,2023,Levodopa,COVID-19
37214229,New‑onset non‑motor symptoms in patients with Parkinson's disease and post‑COVID‑19 syndrome: A prospective cross‑sectional study.,Medicine international,2023,Levodopa,COVID-19
36799523,Incidence and characteristics of post-COVID-19 parkinsonism and dyskinesia related to COVID-19 vaccines.,Neurologia i neurochirurgia polska,2023,Levodopa,COVID-19
36774397,Heath management app use in Parkinson's disease and quality of life during the COVID-19 pandemic.,Communications medicine,2023,Levodopa,COVID-19
36714458,Steroid administration for post-COVID-19 Parkinsonism: A case report.,Neurology and clinical neuroscience,2023,Levodopa,COVID-19
36611805,Significance of Catecholamine Biosynthetic/Metabolic Pathway in SARS-CoV-2 Infection and COVID-19 Severity.,Cells,2022,Levodopa,COVID-19
36344398,Deep Brain Stimulation-Withdrawal Syndrome in Parkinson's Disease: Risk Factors and Pathophysiological Hypotheses of a Life-Threatening Emergency.,Neuromodulation : journal of the International Neuromodulation Society,2023,Levodopa,COVID-19
36208902,Parkinson's disease and Covid-19: Is there an impact of ethnicity and the need for palliative care.,International review of neurobiology,2022,Levodopa,COVID-19
36160075,"Comparison of the Effects of COVID-19 Pandemic on Male and Female Gender in Patients Diagnosed with Idiopathic Parkinson's Disease: A Case of Sakarya Province, Turkey.",Noro psikiyatri arsivi,2022,Levodopa,COVID-19
35971509,New-onset Parkinsonism as a Covid-19 infection sequela: A systematic review and meta-analysis.,Annals of medicine and surgery (2012),2022,Levodopa,COVID-19
35952682,Pathway Analysis of Patients with Severe Acute Respiratory Syndrome.,Drug research,2022,Levodopa,COVID-19
35912711,Ion channel inhibition with amiodarone or verapamil in symptomatic hospitalized nonintensive-care COVID-19 patients: The ReCOVery-SIRIO randomized trial.,Cardiology journal,2022,Levodopa,COVID-19
35844284,Bilateral Focused Ultrasound Pallidotomy for Parkinson-Related Facial Dyskinesia-A Case Report.,Movement disorders clinical practice,2022,Levodopa,COVID-19
35831620,Diagnostic and therapeutic agents that target alpha-synuclein in Parkinson's disease.,Journal of neurology,2022,Levodopa,COVID-19
35696620,Clozapine Use in a Movement Disorder Clinic.,Clinical neuropharmacology,2022,Levodopa,COVID-19
35666352,"SARS-CoV-2 vaccination, Parkinson's disease, and other movement disorders: case series and short literature review.",Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2022,Levodopa,COVID-19
35137350,COVID-19 infection presented as severe dyskinesia in a patient with Parkinson's disease: a case with daily video recording.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2022,Levodopa,COVID-19
35018281,Parkinsonism: An emerging post COVID sequelae.,IDCases,2022,Levodopa,COVID-19
34787891,IMPACT of PCSK9 inhibition on clinical outcome in patients during the inflammatory stage of the SARS-COV-2 infection: Rationale and protocol of the IMPACT-SIRIO 5 study.,Cardiology journal,2022,Levodopa,COVID-19
34786869,Impact of COVID-19 pandemic on acute heart failure admissions and mortality: a multicentre study (COV-HF-SIRIO 6 study).,ESC heart failure,2022,Levodopa,COVID-19
34629181,"Parkinsonism in viral, paraneoplastic, and autoimmune diseases.",Journal of the neurological sciences,2022,Levodopa,COVID-19
34547532,Pharmacological therapy for Tourette syndrome: What medicine can do and cannot do.,Biomedical journal,2022,Levodopa,COVID-19
34541022,Characteristics and Outcomes of Parkinson's Disease Individuals Hospitalized with COVID-19 in a New York City Hospital System.,Movement disorders clinical practice,2021,Levodopa,COVID-19
34368991,Severe Dyskinesia After Administration of SARS-CoV2 mRNA Vaccine in Parkinson's Disease.,Movement disorders : official journal of the Movement Disorder Society,2021,Levodopa,COVID-19
34316657,Operation of the percutaneous endoscopic gastrostomy-jejunostomy tube without endoscopy in patients with Parkinson's disease on levodopa-carbidopa intestinal gel infusion therapy.,Clinical parkinsonism & related disorders,2020,Levodopa,COVID-19
34198109,Care of Parkinson's disease (PD) patients in times of covid-19 pandemic.,Diabetes & metabolic syndrome,2021,Levodopa,COVID-19
34037362,[Amantadine in the treatment of Parkinson's disease. New opportunities in the context of COVID-19].,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,2021,Levodopa,COVID-19
33845342,Analysis of nationwide multimodal complex treatment and drug pump therapy in Parkinson's disease in times of COVID-19 pandemic in Germany.,Parkinsonism & related disorders,2021,Levodopa,COVID-19
33807308,Initial Experience of the Levodopa-Entacapone-Carbidopa Intestinal Gel in Clinical Practice.,Journal of personalized medicine,2021,Levodopa,COVID-19
33780375,Impact of the COVID-19 Pandemic on the Quality of Life of Patients with Parkinson's Disease and Their Caregivers: A Single-Center Survey in Tochigi Prefecture.,Journal of Parkinson's disease,2021,Levodopa,COVID-19
33749619,COVID-19 and Parkinson's Disease: What Do We Know So Far?,Journal of Parkinson's disease,2021,Levodopa,COVID-19
33653852,Treatment of unexplained coma and hypokinetic-rigid syndrome in a patient with COVID-19.,BMJ case reports,2021,Levodopa,COVID-19
33615192,Docking Prediction of Levodopa in the Receptor Binding Domain of Spike Protein of SARS-CoV-2.,ACS pharmacology & translational science,2021,Levodopa,COVID-19
32881656,Targeting COVID-19 in Parkinson's Patients: Drugs Repurposed.,Current medicinal chemistry,2021,Levodopa,COVID-19
32347572,Outcome of Parkinson's Disease Patients Affected by COVID-19.,Movement disorders : official journal of the Movement Disorder Society,2020,Levodopa,COVID-19
32323862,What can Parkinson's disease teach us about COVID-19?,Neurologia i neurochirurgia polska,2020,Levodopa,COVID-19
