pmid,title,journal,year,drug,disease
38890684,Evidence for a relationship between genetic polymorphisms of the L-DOPA transporter LAT2/4F2hc and risk of hypertension in the context of chronic kidney disease.,BMC medical genomics,2024,Levodopa,Chronic Kidney Disease
37008995,Restless Legs Syndrome in Chronic Kidney Disease- a Systematic Review.,"Tremor and other hyperkinetic movements (New York, N.Y.)",2023,Levodopa,Chronic Kidney Disease
33474655,Novel Interactions Involving the Mas Receptor Show Potential of the Renin-Angiotensin system in the Regulation of Microglia Activation: Altered Expression in Parkinsonism and Dyskinesia.,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,2021,Levodopa,Chronic Kidney Disease
29517509,Interventions for chronic kidney disease-associated restless legs syndrome.,International journal of evidence-based healthcare,2018,Levodopa,Chronic Kidney Disease
29091814,Effects of chronic fructose overload on renal dopaminergic system: alteration of urinary L-dopa/dopamine index correlates to hypertension and precedes kidney structural damage.,The Journal of nutritional biochemistry,2018,Levodopa,Chronic Kidney Disease
27819409,Interventions for chronic kidney disease-associated restless legs syndrome.,The Cochrane database of systematic reviews,2016,Levodopa,Chronic Kidney Disease
27702420,Clinical management of restless legs syndrome in end-stage renal disease patients.,CNS spectrums,2017,Levodopa,Chronic Kidney Disease
27107522,Sleep Disorders in ESRD Patients Undergoing Hemodialysis.,Acta medica Iranica,2016,Levodopa,Chronic Kidney Disease
22808933,ADMET considerations for restless leg syndrome drug treatments.,Expert opinion on drug metabolism & toxicology,2012,Levodopa,Chronic Kidney Disease
22175049,Activity of selected aromatic amino acids in biological systems.,Acta biochimica Polonica,2011,Levodopa,Chronic Kidney Disease
21911936,Dysfunction of fibroblasts of extrarenal origin underlies renal fibrosis and renal anemia in mice.,The Journal of clinical investigation,2011,Levodopa,Chronic Kidney Disease
20683503,Rotigotine transdermal patch for the treatment of Parkinson's disease and restless legs syndrome.,"Drugs of today (Barcelona, Spain : 1998)",2010,Levodopa,Chronic Kidney Disease
20642163,Treatment of restless legs syndrome in patients with chronic kidney disease: a focus on medications.,CANNT journal = Journal ACITN,2010,Levodopa,Chronic Kidney Disease
19724248,Neurological complications of chronic kidney disease.,Nature reviews. Neurology,2009,Levodopa,Chronic Kidney Disease
