pmid,title,journal,year,drug,disease
39093964,Modulating amacrine cell-derived dopamine signaling promotes optic nerve regeneration and preserves visual function.,Science advances,2024,Levodopa,Glaucoma
36861586,A Case of Parinaud Syndrome in a Patient with Parkinson's Disease: Causal Association or Co-incidental?,Neurology India,2023,Levodopa,Glaucoma
31219471,Aplicaciones terapeuticas por accion de los cannabinoides.,Gaceta medica de Mexico,2019,Levodopa,Glaucoma
22115352,Therapeutic potential of new hydrogen sulfide-releasing hybrids.,Expert review of clinical pharmacology,2011,Levodopa,Glaucoma
21402519,Multiple-system atrophy and medications: how to minimize the risk of falling.,The Consultant pharmacist : the journal of the American Society of Consultant Pharmacists,2011,Levodopa,Glaucoma
15895873,Recent developments in the therapeutic potential of cannabinoids.,Puerto Rico health sciences journal,2005,Levodopa,Glaucoma
12624268,Modification of ocular defects in mouse developmental glaucoma models by tyrosinase.,"Science (New York, N.Y.)",2003,Levodopa,Glaucoma
12624251,Biomedicine. A new angle on ocular development.,"Science (New York, N.Y.)",2003,Levodopa,Glaucoma
22922,[Ocular consequences of systemic therapy].,La Revue du praticien,1977,Levodopa,Glaucoma
885347,Continuous drug delivery methods reflect progress in therapy for chronic diseases.,Geriatrics,1977,Levodopa,Glaucoma
4609364,Individualization of levodopa therapy.,The Medical clinics of North America,1974,Levodopa,Glaucoma
