pmid,title,journal,year,drug,disease
33215762,Long-Term Safety and Clinical Effects of Nilotinib in Parkinson's Disease.,Movement disorders : official journal of the Movement Disorder Society,2021,Levodopa,Leukemia
22412813,Anti-melanogenic property of geoditin A in murine B16 melanoma cells.,Marine drugs,2012,Levodopa,Leukemia
19648757,Does imatinib mesylate therapy cause growth hormone deficiency?,"Medical principles and practice : international journal of the Kuwait University, Health Science Centre",2009,Levodopa,Leukemia
19367357,Cyclosporine-induced parkinsonism.,Journal of neurology,2009,Levodopa,Leukemia
15955952,A novel TITF-1 mutation causes benign hereditary chorea with response to levodopa.,Neurology,2005,Levodopa,Leukemia
11965836,Parkinsonism associated with interferon alpha therapy for chronic myelogenous leukemia.,Hawaii medical journal,2002,Levodopa,Leukemia
10228484,[Drug-induced autoimmune hemolytic anemia].,"Presse medicale (Paris, France : 1983)",1999,Levodopa,Leukemia
8602767,Cytosine arabinoside and amphotericin B-induced parkinsonism.,Annals of neurology,1996,Levodopa,Leukemia
8837861,Tyrosine and phenylalanine restriction sensitizes adriamycin-resistant P388 leukemia cells to adriamycin.,Nutrition and cancer,1996,Levodopa,Leukemia
1415076,Magnetic resonance imaging of the pituitary area in children treated for acute lymphoblastic leukemia with low-dose (18-Gy) cranial irradiation. Relationships to growth and growth hormone secretion.,American journal of diseases of children (1960),1992,Levodopa,Leukemia
2573072,Grafting fibroblasts genetically modified to produce L-dopa in a rat model of Parkinson disease.,Proceedings of the National Academy of Sciences of the United States of America,1989,Levodopa,Leukemia
3177326,Differential effects of 18- and 24-Gy cranial irradiation on growth rate and growth hormone release in children with prolonged survival after acute lymphocytic leukemia.,American journal of diseases of children (1960),1988,Levodopa,Leukemia
3103624,Mechanism of antitumoral activity of catechols in culture.,Biochemical pharmacology,1987,Levodopa,Leukemia
3504550,Parkinsonism induced by high-dose cytosine arabinoside.,Movement disorders : official journal of the Movement Disorder Society,1987,Levodopa,Leukemia
3510622,Sequential inhibitory effects of antitumor agents related to levodopa and dopamine upon DNA synthetic enzymes.,Biochemical pharmacology,1986,Levodopa,Leukemia
3935310,"Influence of supplemental ascorbate on the antitumor activity of 5-hydroxydopa, a purported cytotoxic metabolite.",Cancer letters,1985,Levodopa,Leukemia
3882092,Inhibition of ribonucleotide reductase by antitumor agents related to levodopa and dopamine.,Biochemical pharmacology,1985,Levodopa,Leukemia
3870437,The neuroleptic malignant syndrome: occurrence in a 15-year-old boy and recovery with bromocriptine therapy.,Pediatric neuroscience,1985-1986,Levodopa,Leukemia
6957711,[Statural growth in children with acute lymphoblastic leukemia].,Minerva pediatrica,1982,Levodopa,Leukemia
7273019,Levodopa and dopamine analogs: dihydroxy and trihydroxybenzylamines as novel quinol antitumor agents in experimental leukemia in vivo.,Cancer treatment reports,1981,Levodopa,Leukemia
6771000,"Selective toxicity of 5-S-cysteinyldopa, a melanin precursor, to tumor cells in vitro and in vivo.",Cancer research,1980,Levodopa,Leukemia
7390164,"Effect of treatment with phenformin, diphenylhydantoin or L-dopa on life span and tumour incidence in C3H/Sn mice.",Gerontology,1980,Levodopa,Leukemia
466656,Levodopa and dopamine analogs: melanin precursors as antitumor agents in experimental human and murine leukemia.,Cancer treatment reports,1979,Levodopa,Leukemia
909598,l-Dopa methyl ester as a new antitumour agent.,Nature,1977,Levodopa,Leukemia
885347,Continuous drug delivery methods reflect progress in therapy for chronic diseases.,Geriatrics,1977,Levodopa,Leukemia
1112301,"The effect of L-dopa, noradrenalin and adrenalin on P-388 mouse leukemia, B-16 mouse melanoma and E 0771 mammary carcinoma.",Experientia,1975,Levodopa,Leukemia
1107247,Biological transmethylation involving S-adenosylmethionine: development of assay methods and implications for neuropsychiatry.,International review of neurobiology,1975,Levodopa,Leukemia
