pmid,title,journal,year,drug,disease
24555207,NKX2-1-Related Disorders.,,1993,Levodopa,Lung Cancer
31718883,Degradation-regulated architecture of injectable smart hydrogels enhances humoral immune response and potentiates antitumor activity in human lung carcinoma.,Biomaterials,2020,Levodopa,Lung Cancer
27155809,Synthesis and antiproliferative activity of two diastereomeric lignan amides serving as dimeric caffeic acid-l-DOPA hybrids.,Bioorganic chemistry,2016,Levodopa,Lung Cancer
10934728,[A 67-year-old man with progressive disturbance of gait].,No to shinkei = Brain and nerve,2000,Levodopa,Lung Cancer
10928046,In vitro PET evaluations in lung cancer cell lines.,Anticancer research,2000,Levodopa,Lung Cancer
1962584,Ascorbate in the treatment of experimental transplanted melanoma.,The American journal of clinical nutrition,1991,Levodopa,Lung Cancer
1969341,"[Inhibition of the metastasis of Lewis lung carcinoma in mice by the administration of spasmolytin, midantan and L-DOPA].",Eksperimental'naia onkologiia,1990,Levodopa,Lung Cancer
3430837,[Visualization of a lung metastatic lesion from malignant melanoma by N-isopropyl-p-123I-iodoamphetamine: usefulness of L-dopa load scintigraphy].,Kaku igaku. The Japanese journal of nuclear medicine,1987,Levodopa,Lung Cancer
3698164,Interaction between specific dietary factors and experimental chemotherapy of metastatic melanoma.,Cancer chemotherapy and pharmacology,1986,Levodopa,Lung Cancer
6283290,Biogenic amine metabolites in human lung tumor cells: histochemical and mass-spectrographic demonstration.,Life sciences,1982,Levodopa,Lung Cancer
225000,Elevated prolactin levels in bronchogenic carcinoma.,Cancer,1979,Levodopa,Lung Cancer
26872,"Variable content of histaminase, L-dopa decarboxylase and calcitonin in small-cell carcinoma of the lung. Biologic and clinical implications.",The New England journal of medicine,1978,Levodopa,Lung Cancer
62744,Chemotherapy of skeletal metastases.,"International journal of radiation oncology, biology, physics",1976,Levodopa,Lung Cancer
4451197,Alterations of pituitary-gonadal function in the carcinoid syndrome.,The American journal of the medical sciences,1974,Levodopa,Lung Cancer
