pmid,title,journal,year,drug,disease
27550839,Resolution of inverse psoriasis after treatment with levodopa for Parkinson's disease.,Dermatologic therapy,2017,Levodopa,Psoriasis
3173366,A new syndrome of axial muscle rigidity associated with etretinate therapy.,Movement disorders : official journal of the Movement Disorder Society,1988,Levodopa,Psoriasis
3434476,Hormonal changes in psoriasis.,Acta Universitatis Carolinae. Medica,1986,Levodopa,Psoriasis
4043465,[Is the somatotropic hormone of etiopathogenic importance in psoriasis?].,Dermatologische Monatschrift,1985,Levodopa,Psoriasis
182438,A comparative evaluation of the antipsoriatic effect of L-dopa versus placebo in psoriasis.,"Current therapeutic research, clinical and experimental",1976,Levodopa,Psoriasis
827234,[A method of detecting multiple enzymatic activities of various skin and melantin tissue extracts].,Annales de dermatologie et de syphiligraphie,1976,Levodopa,Psoriasis
1217858,Levodopa and psoriasis.,Annals of clinical research,1975,Levodopa,Psoriasis
4615697,Letter: Levodopa in psoriasis.,The Australasian journal of dermatology,1974,Levodopa,Psoriasis
4793762,A pilot study of levodopa in psoriasis.,The Australasian journal of dermatology,1973,Levodopa,Psoriasis
4120696,Levodopa in treatment of psoriasis.,"Lancet (London, England)",1973,Levodopa,Psoriasis
4115065,Levodopa and Ro 4-4602 in psoriasis.,"Lancet (London, England)",1972,Levodopa,Psoriasis
