pmid,title,journal,year,drug,disease
40329907,Impact of COVID-19 on long-term outcomes in Parkinson's disease.,European journal of neurology,2025,Levodopa,SARS-CoV-2
39429502,Internal carotid artery dissection in a patient with Parkinson's disease after COVID-19 infection.,eNeurologicalSci,2024,Levodopa,SARS-CoV-2
38718952,Dopamine and its precursor levodopa inactivate SARS-CoV-2 main protease by forming a quinoprotein.,Free radical biology & medicine,2024,Levodopa,SARS-CoV-2
37583957,Case report: Atypical Parkinsonism following SARS-CoV-2 infection.,Frontiers in neurology,2023,Levodopa,SARS-CoV-2
36799523,Incidence and characteristics of post-COVID-19 parkinsonism and dyskinesia related to COVID-19 vaccines.,Neurologia i neurochirurgia polska,2023,Levodopa,SARS-CoV-2
36611805,Significance of Catecholamine Biosynthetic/Metabolic Pathway in SARS-CoV-2 Infection and COVID-19 Severity.,Cells,2022,Levodopa,SARS-CoV-2
35971509,New-onset Parkinsonism as a Covid-19 infection sequela: A systematic review and meta-analysis.,Annals of medicine and surgery (2012),2022,Levodopa,SARS-CoV-2
35952682,Pathway Analysis of Patients with Severe Acute Respiratory Syndrome.,Drug research,2022,Levodopa,SARS-CoV-2
35912711,Ion channel inhibition with amiodarone or verapamil in symptomatic hospitalized nonintensive-care COVID-19 patients: The ReCOVery-SIRIO randomized trial.,Cardiology journal,2022,Levodopa,SARS-CoV-2
35831620,Diagnostic and therapeutic agents that target alpha-synuclein in Parkinson's disease.,Journal of neurology,2022,Levodopa,SARS-CoV-2
35666352,"SARS-CoV-2 vaccination, Parkinson's disease, and other movement disorders: case series and short literature review.",Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2022,Levodopa,SARS-CoV-2
34787891,IMPACT of PCSK9 inhibition on clinical outcome in patients during the inflammatory stage of the SARS-COV-2 infection: Rationale and protocol of the IMPACT-SIRIO 5 study.,Cardiology journal,2022,Levodopa,SARS-CoV-2
34786869,Impact of COVID-19 pandemic on acute heart failure admissions and mortality: a multicentre study (COV-HF-SIRIO 6 study).,ESC heart failure,2022,Levodopa,SARS-CoV-2
34629181,"Parkinsonism in viral, paraneoplastic, and autoimmune diseases.",Journal of the neurological sciences,2022,Levodopa,SARS-CoV-2
34368991,Severe Dyskinesia After Administration of SARS-CoV2 mRNA Vaccine in Parkinson's Disease.,Movement disorders : official journal of the Movement Disorder Society,2021,Levodopa,SARS-CoV-2
34198109,Care of Parkinson's disease (PD) patients in times of covid-19 pandemic.,Diabetes & metabolic syndrome,2021,Levodopa,SARS-CoV-2
34037362,[Amantadine in the treatment of Parkinson's disease. New opportunities in the context of COVID-19].,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,2021,Levodopa,SARS-CoV-2
33780375,Impact of the COVID-19 Pandemic on the Quality of Life of Patients with Parkinson's Disease and Their Caregivers: A Single-Center Survey in Tochigi Prefecture.,Journal of Parkinson's disease,2021,Levodopa,SARS-CoV-2
33653852,Treatment of unexplained coma and hypokinetic-rigid syndrome in a patient with COVID-19.,BMJ case reports,2021,Levodopa,SARS-CoV-2
33615192,Docking Prediction of Levodopa in the Receptor Binding Domain of Spike Protein of SARS-CoV-2.,ACS pharmacology & translational science,2021,Levodopa,SARS-CoV-2
32881656,Targeting COVID-19 in Parkinson's Patients: Drugs Repurposed.,Current medicinal chemistry,2021,Levodopa,SARS-CoV-2
32347572,Outcome of Parkinson's Disease Patients Affected by COVID-19.,Movement disorders : official journal of the Movement Disorder Society,2020,Levodopa,SARS-CoV-2
32323862,What can Parkinson's disease teach us about COVID-19?,Neurologia i neurochirurgia polska,2020,Levodopa,SARS-CoV-2
