PMID,Title,Journal,Year
40427123,Anti-Obesity Medications and the Risk of Obesity-Related Cancers in Older Women: A Propensity Score Matching Analysis of 2007-2015 SEER-Medicare Data.,Cancers,2025
39881033,"Liraglutide and denatonium benzoate attenuate T2DM-induced metabolic, neurological, and testicular changes in rats: Targeting oxidative stress, inflammation, and BCRP transporter.",Journal of molecular histology,2025
39796706,Differential Effects of GLP-1 Receptor Agonists on Cancer Risk in Obesity: A Nationwide Analysis of 1.1 Million Patients.,Cancers,2024
39777709,Prognostic impact of glucagon-like peptide-1 receptor (GLP1R) expression on cancer survival and its implications for GLP-1R agonist therapy: an integrative analysis across multiple tumor types.,GeroScience,2025
39598298,Unlocking New Therapeutic Options for Vincristine-Induced Neuropathic Pain: The Impact of Preclinical Research.,"Life (Basel, Switzerland)",2024
39318780,Glucagon-like peptide-1 receptor agonists (GLP-1 RAs) may reduce the risk of developing cancer-related lymphedema following axillary lymph node dissection (ALND).,Frontiers in pharmacology,2024
38705935,Glucagon-like peptide-1 analogs activate AMP kinase leading to reversal of the Warburg metabolic switch in breast cancer cells.,"Medical oncology (Northwood, London, England)",2024
38223522,Liraglutide attenuates obese-associated breast cancer cell proliferation via inhibiting PI3K/Akt/mTOR signaling pathway.,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,2024
38127407,Exploring the potential impact of GLP-1 receptor agonists in cancer therapy.,Minerva endocrinology,2023
35124000,Glucagon-like peptide-1 receptor activation by liraglutide promotes breast cancer through NOX4/ROS/VEGF pathway.,Life sciences,2022
34534549,"Antitumoral activity of liraglutide, a new DNMT inhibitor in breast cancer cells in vitro and in vivo.",Chemico-biological interactions,2021
34468298,A Molecular Link Between Diabetes and Breast Cancer: Therapeutic Potential of Repurposing Incretin-based Therapies for Breast Cancer.,Current cancer drug targets,2021
33746653,Anti-Proliferative Activity of Glucagon-Like Peptide-1 Receptor Agonist on Obesity-Associated Breast Cancer: The Impact on Modulating Adipokines' Expression in Adipocytes and Cancer Cells.,Dose-response : a publication of International Hormesis Society,2021
33635502,Glucagon-Like Peptide 1 Receptor Agonist (GLP1RA) Exposure and Outcomes in Type 2 Diabetes: A Systematic Review of Population-Based Observational Studies.,"Diabetes therapy : research, treatment and education of diabetes and related disorders",2021
33477190,Growth Promotion and Increased ATP-Binding Cassette Transporters Expression by Liraglutide in Triple Negative Breast Cancer Cell Line MDA-MB-231.,Drug research,2021
33248445,Do GLP-1 Receptor Agonists Increase the Risk of Breast Cancer? A Systematic Review and Meta-analysis.,The Journal of clinical endocrinology and metabolism,2021
30538516,Is there an association between liraglutide use and female breast cancer in a real-world setting?,"Diabetes, metabolic syndrome and obesity : targets and therapy",2018
29393459,Liraglutide inhibits the proliferation and promotes the apoptosis of MCF-7 human breast cancer cells through downregulation of microRNA-27a expression.,Molecular medicine reports,2018
27633684,Peptide Therapeutics and the Pharmaceutical Industry: Barriers Encountered Translating from the Laboratory to Patients.,Current medicinal chemistry,2016
26833744,Exposure-response analyses of liraglutide 3.0 mg for weight management.,"Diabetes, obesity & metabolism",2016
