PMID,Title,Journal,Year
40829258,"Immunomodulatory effects of anti-diabetic therapies: Cytokine and chemokine modulation by metformin, sodium-glucose cotransporter 2 inhibitors, and glucagon-like peptide-1 receptor agonists (2013-2025).",European journal of medicinal chemistry,2025
40536520,Semaglutide versus other GLP-1 receptor agonists in patients with MASLD.,Hepatology communications,2025
40301134,"GLP-1R agonists: recent advances, current gaps, and future challenges.",Molecular diversity,2025
40278869,[Pharmacotherapy of obesity in Germany].,"Innere Medizin (Heidelberg, Germany)",2025
40267365,Weight Gain Was Associated With Worsening Glycemia and Cardiovascular and Kidney Outcomes in Patients With Type 2 Diabetes Independent of Diabetes Medication in the GRADE Randomized Controlled Trial.,Diabetes care,2025
40264573,Efficacy of Simplifying Complex Insulin Regimen on Glycometabolic Parameters and Target Organ Damage in Type 2 Diabetes: A Retrospective Cohort Study.,Journal of diabetes research,2025
40213686,"Clinical efficacy and safety of sodium-glucose cotransporter protein-2 (SGLT-2) inhibitor, glucagon-like peptide-1 (GLP-1) receptor agonist, and Finerenone in type 2 diabetes mellitus with non-dialysis chronic kidney disease: a network meta-analysis of randomized clinical trials.",Frontiers in pharmacology,2025
40016997,The pleiotropic effects of glucagon-like peptide-1 receptor agonists in patients with metabolic dysfunction-associated steatohepatitis: a review for gastroenterologists.,Expert opinion on investigational drugs,2025
39963952,Glucagon-like peptide 1 (GLP-1) receptor agonists for people with chronic kidney disease and diabetes.,The Cochrane database of systematic reviews,2025
39963713,Prognostic benefit of glucagon-like peptide-1 receptor agonists addition to sodium-glucose cotransporter 2 inhibitors in patients with atherosclerotic cardiovascular disease and heart failure: a cohort study.,European heart journal. Cardiovascular pharmacotherapy,2025
39689782,The Cardiovascular Outcomes Between Liraglutide and Dulaglutide Among Different Chronic Kidney Disease Stages in Patients With Type 2 Diabetes.,Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,2025
39583142,GLP-1 receptor agonists in patients with chronic kidney disease and either overweight or obesity.,Clinical kidney journal,2024
39075112,Kidney outcomes are altered by preconception weight modulation in rodent mothers with obesity.,Scientific reports,2024
38925801,"SGLT-2 inhibitors, GLP-1 receptor agonists, and DPP-4 inhibitors and risk of hyperkalemia among people with type 2 diabetes in clinical practice: population based cohort study.",BMJ (Clinical research ed.),2024
38424466,"The impact of GLP-1 receptor agonist liraglutide on blood pressure profile, hydration, natriuresis in diabetic patients with severely impaired kidney function.",Scientific reports,2024
38416773,Differential Effects of Type 2 Diabetes Treatment Regimens on Diabetes Distress and Depressive Symptoms in the Glycemia Reduction Approaches in Diabetes: A Comparative Effectiveness Study (GRADE).,Diabetes care,2024
38321079,Current and future state of pharmacological management of pediatric obesity.,International journal of obesity (2005),2025
38248365,Safety and Efficacy of GLP-1 Receptor Agonists in Type 2 Diabetes Mellitus with Advanced and End-Stage Kidney Disease: A Systematic Review and Meta-Analysis.,"Diseases (Basel, Switzerland)",2024
38069998,Glucagon-like peptide-1 receptor signaling modifies the extent of diabetic kidney disease through dampening the receptor for advanced glycation end products-induced inflammation.,Kidney international,2024
38066113,Cotadutide promotes glycogenolysis in people with overweight or obesity diagnosed with type 2 diabetes.,Nature metabolism,2023
