PMID,Title,Journal,Year
40863129,Impact of Short-Term Liraglutide Therapy on Non-Invasive Markers of Liver Fibrosis in Patients with MASLD.,Metabolites,2025
40829258,"Immunomodulatory effects of anti-diabetic therapies: Cytokine and chemokine modulation by metformin, sodium-glucose cotransporter 2 inhibitors, and glucagon-like peptide-1 receptor agonists (2013-2025).",European journal of medicinal chemistry,2025
40536520,Semaglutide versus other GLP-1 receptor agonists in patients with MASLD.,Hepatology communications,2025
40301134,"GLP-1R agonists: recent advances, current gaps, and future challenges.",Molecular diversity,2025
40278869,[Pharmacotherapy of obesity in Germany].,"Innere Medizin (Heidelberg, Germany)",2025
40016997,The pleiotropic effects of glucagon-like peptide-1 receptor agonists in patients with metabolic dysfunction-associated steatohepatitis: a review for gastroenterologists.,Expert opinion on investigational drugs,2025
39925851,Adverse events of hepatic anti-fibrotic agents in phase 3 and above clinical trials: a descriptive analysis of the WHO-VigiAccess database.,Frontiers in pharmacology,2025
39404734,Association of incretin-based therapies with hepatobiliary disorders among patients with type 2 diabetes: a case series from the FDA adverse event reporting system.,Endocrine connections,2024
39045670,Liraglutide Impacts Iron Homeostasis in a Murine Model of Hereditary Hemochromatosis.,Endocrinology,2024
38745956,GLP-1 receptor agonist improves metabolic disease in a pre-clinical model of lipodystrophy.,Frontiers in endocrinology,2024
38681750,Advancements in pharmacological treatment of NAFLD/MASLD: a focus on metabolic and liver-targeted interventions.,Gastroenterology report,2024
38511418,The role of glucagon-like peptide-1 receptor agonists in metabolic dysfunction-associated steatohepatitis.,"Diabetes, obesity & metabolism",2024
38066113,Cotadutide promotes glycogenolysis in people with overweight or obesity diagnosed with type 2 diabetes.,Nature metabolism,2023
38014444,"Seladelpar combined with complementary therapies improves fibrosis, inflammation, and liver injury in a mouse model of nonalcoholic steatohepatitis.",American journal of physiology. Gastrointestinal and liver physiology,2024
38004466,"The Novel Tetra-Specific Drug C-192, Conjugated Using UniStac, Alleviates Non-Alcoholic Steatohepatitis in an MCD Diet-Induced Mouse Model.","Pharmaceuticals (Basel, Switzerland)",2023
37771193,The potential protective effect of liraglutide on valproic acid induced liver injury in rats: Targeting HMGB1/RAGE axis and RIPK3/MLKL mediated necroptosis.,Cell biochemistry and function,2023
37200728,Treatment of an Adolescent Female With Nonalcoholic Steatohepatitis-Related Cirrhosis With Liraglutide.,JPGN reports,2023
37007754,The effects of liraglutide on liver enzymes and metabolic factors in patients with nonalcoholic steatohepatitis: a meta-analysis of randomized controlled trials.,Przeglad gastroenterologiczny,2023
36553418,"Risk Factors, Clinical Consequences, Prevention, and Treatment of Childhood Obesity.","Children (Basel, Switzerland)",2022
36474714,Potential Roles of Glucagon-Like Peptide 1 Receptor Agonists (GLP-1 RAs) in Nondiabetic Populations.,Cardiovascular therapeutics,2022
