PMID,Title,Journal,Year
40711038,Liraglutide Attenuates Atorvastatin-Induced Hepatotoxicity by Restoring GLP-1R Expression and Activating Nrf2 and Autophagy Pathways in Wistar Rats.,Toxics,2025
40275941,Evidence-based SGLT2 inhibitor and GLP-1 receptor agonist use by race in the VA healthcare system.,American journal of preventive cardiology,2025
39277531,Liraglutide effects on epicardial adipose tissue micro-RNAs and intra-operative glucose control.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2025
38970123,Excessive accumulation of epicardial adipose tissue promotes microvascular obstruction formation after myocardial ischemia/reperfusion through modulating macrophages polarization.,Cardiovascular diabetology,2024
38096106,Continuous Positive Airway Pressure but Not GLP1-mediated Weight Loss Improves Early Cardiovascular Disease in Obstructive Sleep Apnea: A Randomized Proof-of-Concept Study.,Annals of the American Thoracic Society,2024
37118678,Liraglutide treatment is associated with progression of coronary artery fibrous plaque: a prospective 1-year follow-up study in asymptomatic patients with type 2 diabetes.,BMC cardiovascular disorders,2023
37001648,How cardiologists can manage excess body weight and related cardiovascular risk. An expert opinion.,International journal of cardiology,2023
36934674,The protective roles of liraglutide on Kawasaki disease via AMPK/mTOR/NF-kappaB pathway.,International immunopharmacology,2023
36934206,Liraglutide Attenuates Myocardial Ischemia/Reperfusion Injury Through the Inhibition of Necroptosis by Activating GLP-1R/PI3K/Akt Pathway.,Cardiovascular toxicology,2023
36771035,Cardiovascular Protection with a Long-Acting GLP-1 Receptor Agonist Liraglutide: An Experimental Update.,"Molecules (Basel, Switzerland)",2023
36714196,The Effect of Clinically Indicated Liraglutide on Pericoronary Adipose Tissue in Type 2 Diabetic Patients.,Cardiovascular therapeutics,2023
36396031,Glucagon-like Peptide-1 receptor Tie2+ cells are essential for the cardioprotective actions of liraglutide in mice with experimental myocardial infarction.,Molecular metabolism,2022
35205155,Gastrointestinal Incretins-Glucose-Dependent Insulinotropic Polypeptide (GIP) and Glucagon-like Peptide-1 (GLP-1) beyond Pleiotropic Physiological Effects Are Involved in Pathophysiology of Atherosclerosis and Coronary Artery Disease-State of the Art.,Biology,2022
34670452,HSP90-Mediates Liraglutide Preconditioning-Induced Cardioprotection by Inhibiting C5a and NF-kappaB.,Journal of investigative surgery : the official journal of the Academy of Surgical Research,2022
34252552,Efficacy and safety of liraglutide in type 2 diabetes mellitus patients complicated with coronary artery disease: A systematic review and meta-analysis of randomized controlled trials.,Pharmacological research,2021
34187185,"Effect of Liraglutide on Arterial Inflammation Assessed as [(18)F]FDG Uptake in Patients With Type 2 Diabetes: A Randomized, Double-Blind, Placebo-Controlled Trial.",Circulation. Cardiovascular imaging,2021
34116042,Effect of anti-hyperglycemic drugs on endoplasmic reticulum (ER) stress in human coronary artery endothelial cells.,European journal of pharmacology,2021
33854433,Effect of Liraglutide on Cardiometabolic Risk Profile in People with Coronary Artery Disease with or without Type 2 Diabetes: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,Frontiers in pharmacology,2021
33579317,Liraglutide to Improve corONary haemodynamics during Exercise streSS (LIONESS): a double-blind randomised placebo-controlled crossover trial.,Diabetology & metabolic syndrome,2021
33413428,Effects of liraglutide on diastolic function parameters in patients with type 2 diabetes and coronary artery disease: a randomized crossover study.,Cardiovascular diabetology,2021
