PMID,Title,Journal,Year
39913436,Long term cost-effectiveness analysis of IDegLira in the treatment of type 2 diabetes patients compared to GLP-1RA added to basal insulin after IDegLira entered the national reimbursement drug list in China.,PloS one,2025
39528690,Comparative cardiovascular and renal outcomes of Liraglutide versus Dulaglutide in Asian type 2 diabetes patients.,Scientific reports,2024
37236529,GLP-1R knockdown abrogates the protective effects of liraglutide on ischaemic stroke via inhibition of M2 polarisation and activation of NLRP3 inflammasome by reducing Nrf2 activation.,Neuropharmacology,2023
35352213,Liraglutide Ameliorates Cerebral Ischemia in Mice via Antipyroptotic Pathways.,Neurochemical research,2022
33500109,The novel GLP-1/GIP dual agonist DA3-CH is more effective than liraglutide in reducing endoplasmic reticulum stress in diabetic rats with cerebral ischemia-reperfusion injury.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2021
33068776,GLP-1 receptor agonists in the treatment of type 2 diabetes - state-of-the-art.,Molecular metabolism,2021
32951103,GLP-1R Agonist Liraglutide Attenuates Inflammatory Reaction and Neuronal Apoptosis and Reduces Early Brain Injury After Subarachnoid Hemorrhage in Rats.,Inflammation,2021
32714509,Cardiovascular effects of antiobesity drugs: are the new medicines all the same?,International journal of obesity supplements,2020
31799782,"Effect of Liraglutide on Cardiovascular Function and Myocardial Tissue Characteristics in Type 2 Diabetes Patients of South Asian Descent Living in the Netherlands: A Double-Blind, Randomized, Placebo-Controlled Trial.",Journal of magnetic resonance imaging : JMRI,2020
31600725,MANAGEMENT OF ENDOCRINE DISEASE: Are all GLP-1 agonists equal in the treatment of type 2 diabetes?,European journal of endocrinology,2019
31535381,Role of liraglutide in brain repair promotion through Sirt1-mediated mitochondrial improvement in stroke.,Journal of cellular physiology,2020
30889046,Liraglutide protects against diabetes mellitus complicated with focal cerebral ischemic injury by activating mitochondrial ATP-sensitive potassium channels.,Neuroreport,2019
30823403,Liraglutide and its Neuroprotective Properties-Focus on Possible Biochemical Mechanisms in Alzheimer's Disease and Cerebral Ischemic Events.,International journal of molecular sciences,2019
30024276,Neuroprotective effect of glucagon-like peptide-1 receptor agonist is independent of glycaemia normalization in type two diabetic rats.,Diabetes & vascular disease research,2018
29877321,"Leptin, cardiovascular diseases and type 2 diabetes mellitus.",Acta pharmacologica Sinica,2018
29395648,Delayed Administration of the Glucagon-Like Peptide 1 Analog Liraglutide Promoting Angiogenesis after Focal Cerebral Ischemia in Mice.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2018
28122257,Delayed administration of the GLP-1 receptor agonist liraglutide improves metabolic and functional recovery after cerebral ischemia in rats.,Neuroscience letters,2017
27830456,Liraglutide improves cardiac function in patients with type 2 diabetes and chronic heart failure.,Endocrine,2017
27210264,EMPA-REG and Other Cardiovascular Outcome Trials of Glucose-lowering Agents: Implications for Future Treatment Strategies in Type 2 Diabetes Mellitus.,Clinical therapeutics,2016
25465309,Risk of cardiovascular disease: the effects of diabetes and anti-diabetic drugs - a nested case-control study.,International journal of cardiology,2015
