PMID,Title,Journal,Year
40555693,The effects of anti-obesity medications on bone metabolism: A critical appraisal.,"Diabetes, obesity & metabolism",2025
40436107,The mechanism of liraglutide on promoting osteogenesis via macrophages polarization under the inflammatory and oxidative stress in osteoporosis.,Life sciences,2025
40281607,Impact of monotherapy and combination therapy with glucagon-like peptide-1 receptor agonists on exosomal and non-exosomal MicroRNA signatures in type 2 diabetes mellitus: a systematic review.,Journal of translational medicine,2025
39603373,Association of Glucagon-like peptide-1 receptor agonists use with fracture risk in type 2 diabetes: A meta-analysis of randomized controlled trials.,Bone,2025
38868747,"Liraglutide, a glucagon-like peptide-1 receptor agonist, inhibits bone loss in an animal model of osteoporosis with or without diabetes.",Frontiers in endocrinology,2024
38720191,Impact of GLP-1 Receptor Agonist Use in Patients With Steatotic Liver Disease and Type 2 Diabetes: A Retrospective Cohort Study.,Journal of pharmacy practice,2024
37999750,Narrative Review of Effects of Glucagon-Like Peptide-1 Receptor Agonists on Bone Health in People Living with Obesity.,Calcified tissue international,2024
37832035,"Effect of Liraglutide on Osteoporosis in a Rat Model of Type 2 Diabetes Mellitus: A Histological, Immunohistochemical, and Biochemical Study.","Microscopy and microanalysis : the official journal of Microscopy Society of America, Microbeam Analysis Society, Microscopical Society of Canada",2023
37559934,Effects of glucagon‑like peptide‑1 receptor agonists on fracture healing in a rat osteoporotic model.,Experimental and therapeutic medicine,2023
35581617,"Glucagon-like peptide-1 attenuates diabetes-associated osteoporosis in ZDF rat, possibly through the RAGE pathway.",BMC musculoskeletal disorders,2022
33657765,Comparison between liraglutide alone and liraglutide in combination with insulin on osteoporotic rats and their effect on bone mineral density.,Journal of musculoskeletal & neuronal interactions,2021
33336762,"Liraglutide regulates proliferation, differentiation, and apoptosis of preosteoblasts through a signaling network of Notch/Wnt/Hedgehog signaling pathways.",European review for medical and pharmacological sciences,2020
32702632,"Liraglutide, a glucagon-like peptide-1 receptor agonist, suppresses osteoclastogenesis through the inhibition of NF-kappaB and MAPK pathways via GLP-1R.",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2020
31555683,Effects of GLP-1 receptor analogue liraglutide and DPP-4 inhibitor vildagliptin on the bone metabolism in ApoE(-/-) mice.,Annals of translational medicine,2019
31321014,Effects of glucagon-like peptide 1 receptor agonists on comorbidities in older patients with diabetes mellitus.,Therapeutic advances in chronic disease,2019
30955181,Liraglutide increases bone formation and inhibits bone resorption in rats with glucocorticoid-induced osteoporosis.,Journal of endocrinological investigation,2019
29805533,Liraglutide exerts a bone-protective effect in ovariectomized rats with streptozotocin-induced diabetes by inhibiting osteoclastogenesis.,Experimental and therapeutic medicine,2018
28919123,"Liraglutide, a glucagon-like peptide-1 receptor agonist, facilitates osteogenic proliferation and differentiation in MC3T3-E1 cells through phosphoinositide 3-kinase (PI3K)/protein kinase B (AKT), extracellular signal-related kinase (ERK)1/2, and cAMP/protein kinase A (PKA) signaling pathways involving beta-catenin.",Experimental cell research,2017
28855317,Novel skeletal effects of glucagon-like peptide-1 (GLP-1) receptor agonists.,The Journal of endocrinology,2018
28755389,No calcitonin change in a person taking dulaglutide diagnosed with pre-existing medullary thyroid cancer.,Diabetic medicine : a journal of the British Diabetic Association,2018
