pmid,title,journal,year,drug,disease
40834017,Updating understanding of real-world adverse events associated with omeprazole.,PloS one,2025,Lisinopril,Chronic Kidney Disease
39507793,"House cricket protein hydrolysates alleviate hypertension, vascular dysfunction, and oxidative stress in nitric oxide-deficient hypertensive rats.",Veterinary world,2024,Lisinopril,Chronic Kidney Disease
39467240,"[Antihypertensive therapy in patients with arterial hypertension and concomitant diseases in real clinical practice (according to the National Registry of Arterial Hypertension, 2019-2022)].",Terapevticheskii arkhiv,2024,Lisinopril,Chronic Kidney Disease
39466390,Real-world evidence of lisinopril in pediatric hypertension and nephroprotective management: a 10-year cohort study.,"Pediatric nephrology (Berlin, Germany)",2025,Lisinopril,Chronic Kidney Disease
39181397,Differing sensitivities to angiotensin converting enzyme inhibition of kidney disease mediated by APOL1 high-risk variants G1 and G2.,Kidney international,2024,Lisinopril,Chronic Kidney Disease
38411589,Severe Hyperkalemia During a Robot-Assisted Total Radical Prostatectomy in a Patient with Stage 3a Chronic Kidney Disease: A Case Report.,A&A practice,2024,Lisinopril,Chronic Kidney Disease
37539955,Interventions for chronic kidney disease in people with sickle cell disease.,The Cochrane database of systematic reviews,2023,Lisinopril,Chronic Kidney Disease
37382933,Kaliuresis and Intracellular Uptake of Potassium with Potassium Citrate and Potassium Chloride Supplements: A Randomized Controlled Trial.,Clinical journal of the American Society of Nephrology : CJASN,2023,Lisinopril,Chronic Kidney Disease
37304386,A Fatal Case of Lisinopril-Induced Acute Necrotizing Pancreatitis.,Cureus,2023,Lisinopril,Chronic Kidney Disease
37303355,"Chronic Kidney Disease of Non-traditional Etiology in a Young Man From Central America: Geography, Poverty, and Uncertain Pathophysiology Create a Formidable Medical Challenge.",Cureus,2023,Lisinopril,Chronic Kidney Disease
36300543,"The effect of diminazene, an angiotensin-converting enzyme 2 activator, on adenine-induced chronic kidney disease in rats.",Fundamental & clinical pharmacology,2023,Lisinopril,Chronic Kidney Disease
36289495,"Conservative therapy is associated with worse clinical features and biochemical derangements than renal replacement therapy: a retrospective study in Kumasi, Ghana.",BMC nephrology,2022,Lisinopril,Chronic Kidney Disease
35767209,Renoprotective effects of empagliflozin in type 1 and type 2 models of diabetic nephropathy superimposed with hypertension.,GeroScience,2022,Lisinopril,Chronic Kidney Disease
34301322,"Abrupt-onset, profound erectile dysfunction in a healthy young man after initiating over-the-counter omeprazole: a case report.",Journal of medical case reports,2021,Lisinopril,Chronic Kidney Disease
33910506,"Demographic, diagnostic and therapeutic characteristics of autosomal dominant polycystic kidney disease in Ghana.",BMC nephrology,2021,Lisinopril,Chronic Kidney Disease
33133704,Type IV RTA in Chronic Adrenal Insufficiency and Concomitant Lisinopril Treatment.,Case reports in endocrinology,2020,Lisinopril,Chronic Kidney Disease
33093061,Undiagnosed fibromuscular dysplasia in a deceased donor kidney transplant successfully treated with angioplasty.,BMJ case reports,2020,Lisinopril,Chronic Kidney Disease
33089502,Renin inhibitors versus angiotensin converting enzyme (ACE) inhibitors for primary hypertension.,The Cochrane database of systematic reviews,2020,Lisinopril,Chronic Kidney Disease
32793221,Targeting the Protective Arm of the Renin-Angiotensin System to Reduce Systemic Lupus Erythematosus Related Pathologies in MRL-lpr Mice.,Frontiers in immunology,2020,Lisinopril,Chronic Kidney Disease
32623470,Long-term ACE Inhibitor/ARB Use Is Associated With Severe Renal Dysfunction and Acute Kidney Injury in Patients With Severe COVID-19: Results From a Referral Center Cohort in the Northeast of France.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2020,Lisinopril,Chronic Kidney Disease
32605800,Sodium thiosulfate improves renal function and oxygenation in L-NNA-induced hypertension in rats.,Kidney international,2020,Lisinopril,Chronic Kidney Disease
32545617,Drugs Commonly Applied to Kidney Patients May Compromise Renal Tubular Uremic Toxins Excretion.,Toxins,2020,Lisinopril,Chronic Kidney Disease
32422184,Antihypertensive power of Naringenin is mediated via attenuation of mineralocorticoid receptor (MCR)/ angiotensin converting enzyme (ACE)/ kidney injury molecule (Kim-1) signaling pathway.,European journal of pharmacology,2020,Lisinopril,Chronic Kidney Disease
32382466,A Unique Case of Metformin-associated Severe Lactic Acidosis Without Preexisting Renal Disease: Perspectives on Prolonged Dialysis and Education for Prevention.,Cureus,2020,Lisinopril,Chronic Kidney Disease
32346814,Severe hypocalcemia in a thyroidectomized woman with Covid-19 infection.,Endocrine,2020,Lisinopril,Chronic Kidney Disease
32201639,Comparative proteinuria management of different angiotensin-converting enzyme inhibitors or angiotensin receptor blockers for normotensive patients with CKD: a Bayesian network meta-analysis.,PeerJ,2020,Lisinopril,Chronic Kidney Disease
31953678,Silibinin enhances anti-renal fibrosis effect of MK-521 via downregulation of TGF-beta signaling pathway.,Human cell,2020,Lisinopril,Chronic Kidney Disease
31550726,Autotaxin Inhibitor Protects from Chronic Allograft Injury in Rat Kidney Allotransplantation.,Nephron,2020,Lisinopril,Chronic Kidney Disease
31527221,"Chronic thrombotic microangiopathy secondary to antiphospholipid syndrome, presenting with severe hypertension and chronic renal impairment.",BMJ case reports,2019,Lisinopril,Chronic Kidney Disease
31463996,"Systolic and diastolic hypertension among patients on hemodialysis: Musings on volume overload, arterial stiffness, and erythropoietin.",Seminars in dialysis,2019,Lisinopril,Chronic Kidney Disease
31182139,"Optimal management of HIV- positive adults at risk for kidney disease in Nigeria (Renal Risk Reduction ""R3"" Trial): protocol and study design.",Trials,2019,Lisinopril,Chronic Kidney Disease
30931200,Membranous Nephropathy in a Patient with Human Immunodeficiency Virus Shortly After Initiation of HAART with Atripla.,Cureus,2019,Lisinopril,Chronic Kidney Disease
30718084,Beta-blockers use from the general to the hemodialysis population.,Nephrologie & therapeutique,2019,Lisinopril,Chronic Kidney Disease
30711130,Abdominal Wall Pain: A Common Clinical Problem.,Mayo Clinic proceedings,2019,Lisinopril,Chronic Kidney Disease
30651406,Once-Daily Low-Dose Cyclosporine A Treatment with Angiotensin Blockade for Long-Term Remission of Nephropathy in Frasier Syndrome.,The Tohoku journal of experimental medicine,2019,Lisinopril,Chronic Kidney Disease
30567854,Angioedema of the small bowel caused by lisinopril.,Drug and therapeutics bulletin,2019,Lisinopril,Chronic Kidney Disease
30284023,Lisinopril versus lisinopril and losartan for mild childhood IgA nephropathy: a randomized controlled trial (JSKDC01 study).,"Pediatric nephrology (Berlin, Germany)",2019,Lisinopril,Chronic Kidney Disease
29610637,Evaluation of drug-drug interactions among patients with chronic kidney disease in a South-Eastern Nigeria tertiary hospital: a retrospective study.,The Pan African medical journal,2017,Lisinopril,Chronic Kidney Disease
29360915,"The Effects of eGFR Change on CVD, Renal, and Mortality Outcomes in a Hypertensive Cohort Treated With 3 Different Antihypertensive Medications.",American journal of hypertension,2018,Lisinopril,Chronic Kidney Disease
29262813,Renoprotective RAAS inhibition does not affect the association between worse renal function and higher plasma aldosterone levels.,BMC nephrology,2017,Lisinopril,Chronic Kidney Disease
29123429,Assessment of prescribed medications and pattern of distribution for potential drug-drug interactions among chronic kidney disease patients attending the Nephrology Clinic of Lagos University Teaching Hospital in Sub-Saharan West Africa.,Clinical pharmacology : advances and applications,2017,Lisinopril,Chronic Kidney Disease
