pmid,title,journal,year,drug,disease
40328912,Exploring the drug repurposing potential of lisinopril against TNBS-induced colitis in Wistar rats.,Naunyn-Schmiedeberg's archives of pharmacology,2025,Lisinopril,Chronic Liver Disease
39448262,Delayed drug-induced liver injury (DILI) and flare of chronic plaque psoriasis secondary to lisinopril use.,Drug and therapeutics bulletin,2024,Lisinopril,Chronic Liver Disease
38262719,Delayed drug-induced liver injury (DILI) and flare of chronic plaque psoriasis secondary to lisinopril use.,BMJ case reports,2024,Lisinopril,Chronic Liver Disease
32623470,Long-term ACE Inhibitor/ARB Use Is Associated With Severe Renal Dysfunction and Acute Kidney Injury in Patients With Severe COVID-19: Results From a Referral Center Cohort in the Northeast of France.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2020,Lisinopril,Chronic Liver Disease
31644219,Angiotensin-Converting Enzyme Inhibitors.,,2012,Lisinopril,Chronic Liver Disease
24506807,Effects of a domain-selective ACE inhibitor in a mouse model of chronic angiotensin II-dependent hypertension.,"Clinical science (London, England : 1979)",2014,Lisinopril,Chronic Liver Disease
23936716,A New Case of DRESS Syndrome Induced by Sulfasalazine and Triggered by Amoxicillin.,Case reports in rheumatology,2013,Lisinopril,Chronic Liver Disease
22416445,[Pharmacokinetic and pharmacodynamic characteristics of antihypertensive drugs in the treatment of hypertensive patients with chronic diseases of the liver].,Terapevticheskii arkhiv,2011,Lisinopril,Chronic Liver Disease
20689125,Unique case of presumed lisinopril-induced hepatotoxicity.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2010,Lisinopril,Chronic Liver Disease
18853664,[Clinical state of a patient with nephrotic proteinuria successfully treated with combined therapy with angiotensin II receptor antagonists and angiotensin II converting enzyme inhibitors and pentoxifylline].,Przeglad lekarski,2008,Lisinopril,Chronic Liver Disease
17900296,Inhibition of the renin-angiotensin system attenuates the development of liver fibrosis and oxidative stress in rats.,Clinical and experimental pharmacology & physiology,2008,Lisinopril,Chronic Liver Disease
14567716,Ramipril-associated hepatotoxicity.,Archives of pathology & laboratory medicine,2003,Lisinopril,Chronic Liver Disease
11929321,Clinical pharmacokinetics and selective pharmacodynamics of new angiotensin converting enzyme inhibitors: an update.,Clinical pharmacokinetics,2002,Lisinopril,Chronic Liver Disease
9620109,"Pharmacologic, pharmacokinetic, and therapeutic differences among ACE inhibitors.",Pharmacotherapy,1998,Lisinopril,Chronic Liver Disease
7885528,Chronic hepatitis caused by lisinopril.,The Netherlands journal of medicine,1995,Lisinopril,Chronic Liver Disease
2550635,The clinical pharmacology of lisinopril.,Journal of human hypertension,1989,Lisinopril,Chronic Liver Disease
