pmid,title,journal,year,drug,disease
37053203,L-type calcium channel blocker increases VEGF concentrations in retinal cells and human serum.,PloS one,2023,Lisinopril,Diabetic Retinopathy
29971804,An evidence-based systematic review of the off-label uses of lisinopril.,British journal of clinical pharmacology,2018,Lisinopril,Diabetic Retinopathy
21755314,Aliskiren reduces vascular pathology in diabetic retinopathy and oxygen-induced retinopathy in the transgenic (mRen-2)27 rat.,Diabetologia,2011,Lisinopril,Diabetic Retinopathy
21219847,"Ambulatory blood pressure, endothelial perturbation, and microvascular complications in type 2 diabetes.",Danish medical bulletin,2010,Lisinopril,Diabetic Retinopathy
20346089,Lack of effect of short-term treatment with amlodipine and lisinopril on retinal autoregulation in normotensive patients with type 1 diabetes and mild diabetic retinopathy.,Acta ophthalmologica,2011,Lisinopril,Diabetic Retinopathy
20042258,The management of diabetic neuropathy in CKD.,American journal of kidney diseases : the official journal of the National Kidney Foundation,2010,Lisinopril,Diabetic Retinopathy
19648902,Diabetic retinopathy and blockade of the renin-angiotensin system: new data from the DIRECT study programme.,"Eye (London, England)",2010,Lisinopril,Diabetic Retinopathy
19592143,"Epidemiology, diagnosis, and management of depression in patients with CKD.",American journal of kidney diseases : the official journal of the National Kidney Foundation,2009,Lisinopril,Diabetic Retinopathy
18491126,Central retinal vein occlusion with non-arteritic ischemic optic neuropathy and cystoid macular edema.,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2008,Lisinopril,Diabetic Retinopathy
17876597,Role of retinal hypoxia in diabetic macular edema: a new concept.,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2008,Lisinopril,Diabetic Retinopathy
16095545,Systematic review on urine albumin testing for early detection of diabetic complications.,"Health technology assessment (Winchester, England)",2005,Lisinopril,Diabetic Retinopathy
15536018,Quantitative measurement of retinal thickness in patients with diabetic macular edema is useful for evaluation of therapeutic agents.,Diabetes research and clinical practice,2004,Lisinopril,Diabetic Retinopathy
12939321,Captopril inhibits glucose accumulation in retinal cells in diabetes.,Investigative ophthalmology & visual science,2003,Lisinopril,Diabetic Retinopathy
12584667,The renin-angiotensin-aldosterone system and the eye in diabetes.,Journal of the renin-angiotensin-aldosterone system : JRAAS,2002,Lisinopril,Diabetic Retinopathy
12507898,The renin-angiotensin system influences ocular endothelial cell proliferation in diabetes: transgenic and interventional studies.,The American journal of pathology,2003,Lisinopril,Diabetic Retinopathy
12153550,Amadori-albumin correlates with microvascular complications and precedes nephropathy in type 1 diabetic patients.,European journal of clinical investigation,2002,Lisinopril,Diabetic Retinopathy
12140727,The retinal renin-angiotensin system: implications for therapy in diabetic retinopathy.,Journal of human hypertension,2002,Lisinopril,Diabetic Retinopathy
11508274,The angiotensin II receptor antagonist candesartan cilexetil (TCV-116) ameliorates retinal disorders in rats.,Diabetologia,2001,Lisinopril,Diabetic Retinopathy
11437859,Circulating plasma vascular endothelial growth factor and microvascular complications of type 1 diabetes mellitus: the influence of ACE inhibition.,Diabetic medicine : a journal of the British Diabetic Association,2001,Lisinopril,Diabetic Retinopathy
10956318,Modulation of the renin-angiotensin system and retinopathy.,Heart (British Cardiac Society),2000,Lisinopril,Diabetic Retinopathy
11116132,Retinal neovascularization is prevented by blockade of the renin-angiotensin system.,"Hypertension (Dallas, Tex. : 1979)",2000,Lisinopril,Diabetic Retinopathy
10051804,[Effect of lisinopril on progression of retinopathy and microalbuminuria in normotensive subjects with insulin-dependent diabetes mellitus].,Ugeskrift for laeger,1999,Lisinopril,Diabetic Retinopathy
9519992,"Angiotensin II, VEGF, and diabetic retinopathy.","Lancet (London, England)",1998,Lisinopril,Diabetic Retinopathy
9519991,"Angiotensin II, VEGF, and diabetic retinopathy.","Lancet (London, England)",1998,Lisinopril,Diabetic Retinopathy
9433426,Effect of lisinopril on progression of retinopathy in normotensive people with type 1 diabetes. The EUCLID Study Group. EURODIAB Controlled Trial of Lisinopril in Insulin-Dependent Diabetes Mellitus.,"Lancet (London, England)",1998,Lisinopril,Diabetic Retinopathy
9179532,Lisinopril. A review of its pharmacology and use in the management of the complications of diabetes mellitus.,Drugs,1997,Lisinopril,Diabetic Retinopathy
