pmid,title,journal,year,drug,disease
35093482,Pharmacologic ACE-Inhibition Mitigates Radiation-Induced Pneumonitis by Suppressing ACE-Expressing Lung Myeloid Cells.,"International journal of radiation oncology, biology, physics",2022,Lisinopril,Lung Cancer
33986677,"Radiation Increases Bioavailability of Lisinopril, a Mitigator of Radiation-Induced Toxicities.",Frontiers in pharmacology,2021,Lisinopril,Lung Cancer
33404364,A rapid dynamic in vivo near-infrared fluorescence imaging assay to track lung vascular permeability after acute radiation injury.,American journal of physiology. Lung cellular and molecular physiology,2021,Lisinopril,Lung Cancer
33457061,"Therapy Management Using Modified 2-Weeks-On/1-Week-Off Dosing Schedule in Patients With Metastatic Renal Cell Carcinoma Receiving Sunitinib: A Hypothetical, Illustrative Case Scenario.",Journal of the advanced practitioner in oncology,2019,Lisinopril,Lung Cancer
30564469,"Management of Older Patients With Metastatic Renal Cell Carcinoma Receiving Sunitinib: A Hypothetical, Illustrative Case Scenario.",Journal of the advanced practitioner in oncology,2018,Lisinopril,Lung Cancer
30395904,Daily Lisinopril vs Placebo for Prevention of Chemoradiation-Induced Pulmonary Distress in Patients With Lung Cancer (Alliance MC1221): A Pilot Double-Blind Randomized Trial.,"International journal of radiation oncology, biology, physics",2019,Lisinopril,Lung Cancer
28780994,Cardiogenic shock in a patient being treated with atezolizumab for metastatic non-small cell lung cancer.,"Lung cancer (Amsterdam, Netherlands)",2017,Lisinopril,Lung Cancer
24161424,Do angiotensin-converting enzyme inhibitors reduce the risk of symptomatic radiation pneumonitis in patients with non-small cell lung cancer after definitive radiation therapy? Analysis of a single-institution database.,"International journal of radiation oncology, biology, physics",2013,Lisinopril,Lung Cancer
23076627,A surprising cause of masses in the chest.,American journal of hematology,2013,Lisinopril,Lung Cancer
22300564,Decreased risk of radiation pneumonitis with incidental concurrent use of angiotensin-converting enzyme inhibitors and thoracic radiation therapy.,"International journal of radiation oncology, biology, physics",2012,Lisinopril,Lung Cancer
16381542,Hypertension in the oncology setting.,Clinical journal of oncology nursing,2005,Lisinopril,Lung Cancer
12421219,Hypotensive reaction during staphylococcal protein A column therapy in a patient with anomalous degradation of bradykinin and Des-Arg9-bradykinin after contact activation.,Transfusion,2002,Lisinopril,Lung Cancer
10600897,Fas-induced apoptosis of alveolar epithelial cells requires ANG II generation and receptor interaction.,The American journal of physiology,1999,Lisinopril,Lung Cancer
2557876,"Comparisons in vitro, ex vivo, and in vivo of the actions of seven structurally diverse inhibitors of angiotensin converting enzyme (ACE).",British journal of clinical pharmacology,1989,Lisinopril,Lung Cancer
