pmid,title,journal,year,drug,disease
40758454,Semiparametric joint modeling to estimate the treatment effect on a longitudinal surrogate with application to chronic kidney disease trials.,Biometrics,2025,Losartan,Chronic Kidney Disease
40639237,Bupi Yishen formula improves chronic kidney disease by restoring renal energy metabolism and mitochondrial oxidative phosphorylation.,Phytomedicine : international journal of phytotherapy and phytopharmacology,2025,Losartan,Chronic Kidney Disease
40571828,Effect of losartan on uric acid metabolism in children with proteinuric kidney disease: crossover randomized controlled clinical trial.,"Pediatric nephrology (Berlin, Germany)",2025,Losartan,Chronic Kidney Disease
40527586,Efficacy of Nrf2 activation in a proteinuric Alport syndrome mouse model.,Life science alliance,2025,Losartan,Chronic Kidney Disease
40298307,"Changes in blood pressure, medication adherence, and cardiovascular-related health care use associated with the 2018 angiotensin receptor blocker recalls and drug shortages among patients with hypertension.",Journal of managed care & specialty pharmacy,2025,Losartan,Chronic Kidney Disease
40165927,Systematic Review of Management Strategies for Alport Syndrome: Implications for Male Patients.,Health science reports,2025,Losartan,Chronic Kidney Disease
40136683,Extracellular Vesicles (EVs) Derived from Mesenchymal Stem Cells (MSCs) as Adjuvants in the Treatment of Chronic Kidney Disease (CKD).,Cells,2025,Losartan,Chronic Kidney Disease
40108618,Antiphospholipid syndrome presenting as isolated renal vein thrombosis: a case report and review of the literature.,Journal of medical case reports,2025,Losartan,Chronic Kidney Disease
40070325,Jiawei Danggui Buxue Decoction Reduces Apoptosis and EMT of Renal Interstitial Fibrosis by Regulating JAK2/STAT3 Signaling Pathway.,Combinatorial chemistry & high throughput screening,2025,Losartan,Chronic Kidney Disease
39989003,Dietary phytosterol supplementation mitigates renal fibrosis via activating mitophagy and modulating the gut microbiota.,Food & function,2025,Losartan,Chronic Kidney Disease
39810058,Synergy of zinc oxide nanoparticles to losartan attenuates kidney injury induced by unilateral ureteral obstruction through modulation of the TNF-alpha/IL6 and BAX/BCL2 signaling pathways.,International urology and nephrology,2025,Losartan,Chronic Kidney Disease
39778688,"Editorial Commentary: Losartan May Prevent Clinically Significant Postoperative Fibrosis, but Large Database Studies May Not Provide an Answer.",Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,2025,Losartan,Chronic Kidney Disease
39705287,Integrating network pharmacology and experimental validation to explore the pharmacological mechanism of Astragaloside IV in alleviating urotensin II-mediated renal tubular epithelial cell injury.,PloS one,2024,Losartan,Chronic Kidney Disease
39669205,Yishen paidu pills attenuates 5/6 nephrectomy induced kidney disease via inhibiting the PI3K/AKT/mTOR signaling pathway.,Frontiers in pharmacology,2024,Losartan,Chronic Kidney Disease
39602899,Chronic Nuclear Factor-Kappa B Inhibition Prevents Experimental Aging Nephropathy.,Gerontology,2024,Losartan,Chronic Kidney Disease
39539991,"Safety and tolerability of losartan to treat recessive dystrophic epidermolysis bullosa in children (REFLECT): an open-label, single-arm, phase 1/2 trial.",EClinicalMedicine,2024,Losartan,Chronic Kidney Disease
39467240,"[Antihypertensive therapy in patients with arterial hypertension and concomitant diseases in real clinical practice (according to the National Registry of Arterial Hypertension, 2019-2022)].",Terapevticheskii arkhiv,2024,Losartan,Chronic Kidney Disease
39402409,Resistant Hypertension: A Brief Review of Pathophysiology.,Journal of general internal medicine,2025,Losartan,Chronic Kidney Disease
39345201,Serum uric acid-lowering effect of sacubitril/valsartan in hypertensive patients: evaluation by switching from angiotensin II receptor blockers.,Blood pressure monitoring,2024,Losartan,Chronic Kidney Disease
39226116,"Sparsentan improves glomerular hemodynamics, cell functions, and tissue repair in a mouse model of FSGS.",JCI insight,2024,Losartan,Chronic Kidney Disease
39156169,Patiromer to Reduce Albuminuria Through Increased Renin Angiotensin Aldosterone System Inhibition in Patients With CKD-A Feasibility Trial.,Kidney international reports,2024,Losartan,Chronic Kidney Disease
39085979,Blood pressure control in diabetic kidney disease: a post-hoc analysis of the FANTASTIC trial.,Clinical hypertension,2024,Losartan,Chronic Kidney Disease
38769490,Lipoprotein glomerulopathy with markedly increased arterial stiffness successfully treated with a combination of fenofibrate and losartan: a case report.,BMC nephrology,2024,Losartan,Chronic Kidney Disease
38697694,Losartan ameliorates renal fibrosis by inhibiting tumor necrosis factor signal pathway.,Nefrologia,2024,Losartan,Chronic Kidney Disease
38622926,Shen Shuai II recipe improves renal hypoxia to attenuate renal injury in 5/6 renal ablation/infarction rats and effect evaluation using blood oxygenation level-dependent functional magnetic resonance imaging.,Renal failure,2024,Losartan,Chronic Kidney Disease
38566818,Factors Associated with the Development of Chronic Kidney Disease in Patients with Arterial Hypertension.,International journal of nephrology and renovascular disease,2024,Losartan,Chronic Kidney Disease
38526448,Linking renal hypoxia and oxidative stress in chronic kidney disease: Based on clinical subjects and animal models.,Biomolecules & biomedicine,2024,Losartan,Chronic Kidney Disease
38385173,Human soluble prorenin receptor expressed in mouse renal collecting duct shows sex-specific effect on cardiorenal function.,American journal of physiology. Renal physiology,2024,Losartan,Chronic Kidney Disease
38271614,Sparsentan is superior to losartan in the gddY mouse model of IgA nephropathy.,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",2024,Losartan,Chronic Kidney Disease
37872654,Development and Validation of a New Hierarchical Composite End Point for Clinical Trials of Kidney Disease Progression.,Journal of the American Society of Nephrology : JASN,2023,Losartan,Chronic Kidney Disease
37871959,Associations of Biomarkers of Tubular Injury and Inflammation with Biopsy Features in Type 1 Diabetes.,Clinical journal of the American Society of Nephrology : CJASN,2024,Losartan,Chronic Kidney Disease
37840953,Antihypertensive treatment with hydrochlorothiazide-hydralazine combination aggravates medial vascular calcification in CKD rats with mineral bone disorder.,Frontiers in cardiovascular medicine,2023,Losartan,Chronic Kidney Disease
37802876,"[Efficacy, safety, and mechanism of Huangkui Capsules in treating chronic kidney disease: Meta-analysis and integrative bioinformatics].",Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,2023,Losartan,Chronic Kidney Disease
37633958,Tamoxifen associated to the conservative CKD treatment promoted additional antifibrotic effects on experimental hypertensive nephrosclerosis.,Scientific reports,2023,Losartan,Chronic Kidney Disease
37466151,Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers for adults with early (stage 1 to 3) non-diabetic chronic kidney disease.,The Cochrane database of systematic reviews,2023,Losartan,Chronic Kidney Disease
37439164,"[Therapeutic mechanism of Shenbing Decoction Ⅲ for renal fibrosis in chronic kidney disease: a study with network pharmacology, molecular docking and validation in rats].",Nan fang yi ke da xue xue bao = Journal of Southern Medical University,2023,Losartan,Chronic Kidney Disease
37372980,"Metabolomic Profile and Its Correlation with the Plasmatic Levels of Losartan, EXP3174 and Blood Pressure Control in Hypertensive and Chronic Kidney Disease Patients.",International journal of molecular sciences,2023,Losartan,Chronic Kidney Disease
37274321,"Canagliflozin on top of dual renin-angiotensin system blockade in a woman with partial acquired lipodystrophy, type 2 diabetes and severely proteinuric chronic kidney disease: a case report.",Frontiers in endocrinology,2023,Losartan,Chronic Kidney Disease
