pmid,title,journal,year,drug,disease
36303432,Recurrence of Symptoms Following Cryptococcal Meningitis: Characterizing a Diagnostic Conundrum With Multiple Etiologies.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023,Losartan,HIV AIDS
33749317,Short Communication: A Pilot Study of the Effects of Losartan Versus Placebo on Pneumoproteins in HIV: A Secondary Analysis of a Randomized Double Blind Study.,AIDS research and human retroviruses,2022,Losartan,HIV AIDS
33252490,Losartan to reduce inflammation and fibrosis endpoints in HIV disease.,"AIDS (London, England)",2021,Losartan,HIV AIDS
30472588,In vivo phenotyping of cytochrome 450 isoforms involved in the metabolism of anti-HIV and anti-tubercular drugs in human using cocktail approach: An LC-MS/MS analysis.,Journal of pharmaceutical and biomedical analysis,2019,Losartan,HIV AIDS
25542307,Hyperglycemia enhances kidney cell injury in HIVAN through down-regulation of vitamin D receptors.,Cellular signalling,2015,Losartan,HIV AIDS
24768585,Renin angiotensin system modulates mTOR pathway through AT2R in HIVAN.,Experimental and molecular pathology,2014,Losartan,HIV AIDS
23467424,HIV compromises integrity of the podocyte actin cytoskeleton through downregulation of the vitamin D receptor.,American journal of physiology. Renal physiology,2013,Losartan,HIV AIDS
22647636,HIV-induced kidney cell injury: role of ROS-induced downregulated vitamin D receptor.,American journal of physiology. Renal physiology,2012,Losartan,HIV AIDS
22422866,ARB protects podocytes from HIV-1 nephropathy independently of podocyte AT1.,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",2012,Losartan,HIV AIDS
10922951,[Drug-induced oral ulcerations].,Annales de medecine interne,2000,Losartan,HIV AIDS
