pmid,title,journal,year,drug,disease
34839577,Risk factors associated with xerostomia and reduced salivary flow in hypertensive patients.,Oral diseases,2023,Losartan,Hepatitis C
27621502,Ranolazine-Induced Reversible T-Wave Inversions with Prolonged QTc Interval; Progressive Multifocal Leukoencephalopathy Linked to Fingolimod; Losartan-Induced Sprue-like Enteropathy; Nivolumab-Induced Psoriasiform Skin Eruption; Hepatitis B Reactivation with Hepatitis C Treatment with Simeprevir and Sofosbuvir.,Hospital pharmacy,2015,Losartan,Hepatitis C
20697163,A hepatitis C-positive patient with new onset of nephrotic syndrome and systemic amyloidosis secondary to common variable immunodeficiency.,Annals of Saudi medicine,2010,Losartan,Hepatitis C
19782079,Modulation of hepatic fibrosis by c-Jun-N-terminal kinase inhibition.,Gastroenterology,2010,Losartan,Hepatitis C
19628656,Effects of losartan on hepatic expression of nonphagocytic NADPH oxidase and fibrogenic genes in patients with chronic hepatitis C.,American journal of physiology. Gastrointestinal and liver physiology,2009,Losartan,Hepatitis C
19623665,Losartan reduces the onset of type 2 diabetes in hypertensive Japanese patients with chronic hepatitis C.,Journal of medical virology,2009,Losartan,Hepatitis C
19303015,Angiotensin II activates I kappaB kinase phosphorylation of RelA at Ser 536 to promote myofibroblast survival and liver fibrosis.,Gastroenterology,2009,Losartan,Hepatitis C
18853664,[Clinical state of a patient with nephrotic proteinuria successfully treated with combined therapy with angiotensin II receptor antagonists and angiotensin II converting enzyme inhibitors and pentoxifylline].,Przeglad lekarski,2008,Losartan,Hepatitis C
16437678,Effects of six months losartan administration on liver fibrosis in chronic hepatitis C patients: a pilot study.,World journal of gastroenterology,2005,Losartan,Hepatitis C
12297856,Effect of angiotensin receptor antagonist on liver fibrosis in early stages of chronic hepatitis C.,"Hepatology (Baltimore, Md.)",2002,Losartan,Hepatitis C
