pmid,title,journal,year,drug,disease
40390697,"The angiotensin receptor blocker, losartan, reduces inflammation and fibrosis, and prevents relapse of fibrosis after steroid-induced remission, in mice prone to Crohn's disease-like ileitis.",Journal of Crohn's & colitis,2025,Losartan,Inflammatory Bowel Disease
37461971,P053 Interstitial Nephritis from IBD: Complicated Conclusions.,The American journal of gastroenterology,2021,Losartan,Inflammatory Bowel Disease
33433800,Vitamin D Deficiency Exacerbates Colonic Inflammation Due to Activation of the Local Renin-Angiotensin System in the Colon.,Digestive diseases and sciences,2021,Losartan,Inflammatory Bowel Disease
28160390,"Angiotensin II type II receptors and colonic dysmotility in 2,4-dinitrofluorobenzenesulfonic acid-induced colitis in rats.",Neurogastroenterology and motility,2017,Losartan,Inflammatory Bowel Disease
27903643,Effects of Antihypertensive Agents on Intestinal Contractility in the Spontaneously Hypertensive Rat: Angiotensin Receptor System Downregulation by Losartan.,The Journal of pharmacology and experimental therapeutics,2017,Losartan,Inflammatory Bowel Disease
27271344,Activation of the Renin-Angiotensin System Promotes Colitis Development.,Scientific reports,2016,Losartan,Inflammatory Bowel Disease
26676112,AT1R blocker losartan attenuates intestinal epithelial cell apoptosis in a mouse model of Crohn's disease.,Molecular medicine reports,2016,Losartan,Inflammatory Bowel Disease
23830910,Decreased retinal blood flow in experimental colitis; improvement by eye drop administration of losartan.,Experimental eye research,2013,Losartan,Inflammatory Bowel Disease
23210014,Nephrotic syndrome after treatment of Crohn's disease with mesalamine: Case report and literature review.,Avicenna journal of medicine,2012,Losartan,Inflammatory Bowel Disease
21399927,Use of enterally delivered angiotensin II type Ia receptor antagonists to reduce the severity of colitis.,Digestive diseases and sciences,2011,Losartan,Inflammatory Bowel Disease
15710982,"Amelioration of 2,4,6-trinitrobenzene sulphonic acid induced colitis in angiotensinogen gene knockout mice.",Gut,2005,Losartan,Inflammatory Bowel Disease
15153646,"Doxorubicine-congestive heart failure-increased big endothelin-1 plasma concentration: reversal by amlodipine, losartan, and gastric pentadecapeptide BPC157 in rat and mouse.",Journal of pharmacological sciences,2004,Losartan,Inflammatory Bowel Disease
