pmid,title,journal,year,drug,disease
40388035,Generalized Cerebellar Ataxia of Acute Onset: Case Report.,"Cerebellum (London, England)",2025,Losartan,Ischemic Stroke
39354270,SARS-CoV-2 Spike Protein Exacerbates Thromboembolic Cerebrovascular Complications in Humanized ACE2 Mouse Model.,Translational stroke research,2025,Losartan,Ischemic Stroke
39101543,Role of blood-brain barrier dysfunction in the development of poststroke epilepsy.,Epilepsia,2024,Losartan,Ischemic Stroke
25392904,Arterial Tortuosity Syndrome.,,1993,Losartan,Ischemic Stroke
34434315,Fentanyl-Induced Chest Wall Rigidity as a Cause of Acute Respiratory Failure in the Intensive Care Unit.,Journal of medical cases,2019,Losartan,Ischemic Stroke
30772164,Hemilingual Angioedema after Thrombolysis in a Patient on an Angiotensin II Receptor Blocker.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2019,Losartan,Ischemic Stroke
28669009,Neuroprotective effects of AT1 receptor antagonists after experimental ischemic stroke: what is important?,Naunyn-Schmiedeberg's archives of pharmacology,2017,Losartan,Ischemic Stroke
27476227,"PATTERN OF ANTIHYPERTENSIVE THERAPY AMONG DIABETIC HYPERTEN- SIVE PATIENTS IN ZEWDITU MEMORIAL HOSPITAL, ADDIS ABABA.",Ethiopian medical journal,2016,Losartan,Ischemic Stroke
27272555,Fimasartan: A New Angiotensin Receptor Blocker.,Drugs,2016,Losartan,Ischemic Stroke
27254312,Electrocardiographic left atrial abnormalities and risk of incident stroke in hypertensive patients with electrocardiographic left ventricular hypertrophy.,Journal of hypertension,2016,Losartan,Ischemic Stroke
25799208,Digoxin use and risk of mortality in hypertensive patients with atrial fibrillation.,Journal of hypertension,2015,Losartan,Ischemic Stroke
25445054,Perindopril increases the swallowing reflex by inhibiting substance P degradation and tyrosine hydroxylase activation in a rat model of dysphagia.,European journal of pharmacology,2015,Losartan,Ischemic Stroke
24552888,Racial differences in incident atrial fibrillation among hypertensive patients during antihypertensive therapy.,American journal of hypertension,2014,Losartan,Ischemic Stroke
23735955,Multimodal imaging in rats reveals impaired neurovascular coupling in sustained hypertension.,Stroke,2013,Losartan,Ischemic Stroke
23565527,[AII antagonists in the treatment of hypertension and prevention of CVA].,Vnitrni lekarstvi,2013,Losartan,Ischemic Stroke
23403268,Relationship of sudden cardiac death to new-onset atrial fibrillation in hypertensive patients with left ventricular hypertrophy.,Circulation. Arrhythmia and electrophysiology,2013,Losartan,Ischemic Stroke
23391619,Mitral annular calcification and incident ischemic stroke in treated hypertensive patients: the LIFE study.,American journal of hypertension,2013,Losartan,Ischemic Stroke
23121062,[AII antagonists (candesartan and irbesartan) in the treatment of cardiovascular diseases].,Vnitrni lekarstvi,2012,Losartan,Ischemic Stroke
22746010,[Primary and secondary prevention of ischemic stroke].,Le Journal medical libanais. The Lebanese medical journal,2011,Losartan,Ischemic Stroke
22738920,Perinatal nicotine exposure increases vulnerability of hypoxic-ischemic brain injury in neonatal rats: role of angiotensin II receptors.,Stroke,2012,Losartan,Ischemic Stroke
22456225,Association of heart failure hospitalizations with combined electrocardiography and echocardiography criteria for left ventricular hypertrophy.,American journal of hypertension,2012,Losartan,Ischemic Stroke
22079554,Racial differences in sudden cardiac death among hypertensive patients during antihypertensive therapy: the LIFE study.,Heart rhythm,2012,Losartan,Ischemic Stroke
21971354,Cerebral microvascular inflammation in DOCA salt-induced hypertension: role of angiotensin II and mitochondrial superoxide.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2012,Losartan,Ischemic Stroke
21697896,Telomere length and cardiovascular risk in hypertensive patients with left ventricular hypertrophy: the LIFE study.,Journal of human hypertension,2011,Losartan,Ischemic Stroke
21575596,Irbesartan attenuates ischemic brain damage by inhibition of MCP-1/CCR2 signaling pathway beyond AT(1) receptor blockade.,Biochemical and biophysical research communications,2011,Losartan,Ischemic Stroke
20498620,Low dose of telmisartan prevents ischemic brain damage with peroxisome proliferator-activated receptor-gamma activation in diabetic mice.,Journal of hypertension,2010,Losartan,Ischemic Stroke
19925528,Effect of cilnidipine vs losartan on cerebral blood flow in hypertensive patients with a history of ischemic stroke: a randomized controlled trial.,Acta neurologica Scandinavica,2010,Losartan,Ischemic Stroke
19759335,Ischemia-induced brain damage is enhanced in human renin and angiotensinogen double-transgenic mice.,"American journal of physiology. Regulatory, integrative and comparative physiology",2009,Losartan,Ischemic Stroke
19562573,"Pulse pressure, left ventricular function and cardiovascular events during antihypertensive treatment (the LIFE study).",Blood pressure,2009,Losartan,Ischemic Stroke
18604484,[Effects of long-term antihypertensive therapy with losartan on blood pressure and cognitive function in patients with essential hypertension and other cerebrovascular risk factors (AWARE observational study)].,"Medizinische Klinik (Munich, Germany : 1983)",2008,Losartan,Ischemic Stroke
17845921,Antiplatelet effect of losartan and telmisartan in patients with ischemic stroke.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2007,Losartan,Ischemic Stroke
17355164,Inhibition of the renin-angiotensin system and the prevention of stroke.,"American journal of cardiovascular drugs : drugs, devices, and other interventions",2007,Losartan,Ischemic Stroke
16833041,Arterial hypertension and stroke prevention: an update.,"Clinical and experimental hypertension (New York, N.Y. : 1993)",2006,Losartan,Ischemic Stroke
16443325,A comparison study of cerebral protection using Ginkgo biloba extract and Losartan on stroked rats.,Neuroscience letters,2006,Losartan,Ischemic Stroke
16365195,Electrocardiographic strain pattern and prediction of new-onset congestive heart failure in hypertensive patients: the Losartan Intervention for Endpoint Reduction in Hypertension (LIFE) study.,Circulation,2006,Losartan,Ischemic Stroke
15785156,The effects of losartan compared to atenolol on stroke in patients with isolated systolic hypertension and left ventricular hypertrophy. The LIFE study.,"Journal of clinical hypertension (Greenwich, Conn.)",2005,Losartan,Ischemic Stroke
15638745,Left ventricular hypertrophy and angiotensin II receptor blocking agents.,Current medicinal chemistry. Cardiovascular and hematological agents,2005,Losartan,Ischemic Stroke
15498820,Angiogenic protection from focal ischemia with angiotensin II type 1 receptor blockade in the rat.,American journal of physiology. Heart and circulatory physiology,2005,Losartan,Ischemic Stroke
15001791,Cerebral ischemia enhances vascular angiotensin AT1 receptor-mediated contraction in rats.,Stroke,2004,Losartan,Ischemic Stroke
14759357,Treatment of hypertension and prevention of ischemic stroke.,Current cardiology reports,2004,Losartan,Ischemic Stroke
12507410,New strategies for prevention of ischemic stroke: the LIFE study.,Current neurology and neuroscience reports,2003,Losartan,Ischemic Stroke
11702033,Effect of losartan on circulating TNFalpha levels and left ventricular systolic performance in patients with heart failure.,Journal of cardiovascular risk,2001,Losartan,Ischemic Stroke
10979640,[Prospects of endothelial dysfunction reversion in patients with congestive heart failure].,Klinicheskaia meditsina,2000,Losartan,Ischemic Stroke
