pmid,title,journal,year,drug,disease
40922856,Patients on Losartan Have Similar Rates of Manipulation Under Anesthesia After Total Knee Arthroplasty.,Cureus,2025,Losartan,Osteoarthritis
38428487,The association between losartan potassium prescription and postoperative outcomes following total knee arthroplasty: A TriNetX analysis.,"Orthopaedics & traumatology, surgery & research : OTSR",2024,Losartan,Osteoarthritis
38419165,Risk of fall or fracture with concomitant use of prescription opioids and other medications in osteoarthritis patients.,Pharmacoepidemiology and drug safety,2024,Losartan,Osteoarthritis
37878123,"Diminazene aceturate or losartan ameliorates the functional, radiological and histopathological alterations in knee osteoarthritis rodent model: repurposing of the ACE2/Ang1-7/MasR cascade.",Journal of experimental orthopaedics,2023,Losartan,Osteoarthritis
36814717,Sustained-release losartan from peptide nanofibers promotes chondrogenesis.,Frontiers in bioengineering and biotechnology,2023,Losartan,Osteoarthritis
36586717,The effects of losartan or angiotensin II receptor antagonists on cartilage: a systematic review.,Osteoarthritis and cartilage,2023,Losartan,Osteoarthritis
36516695,Effectiveness of losartan on infrapatellar fat pad/synovial fibrosis and pain behavior in the monoiodoacetate-induced rat model of osteoarthritis pain.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2023,Losartan,Osteoarthritis
35283229,"Perioperative Use of Antifibrotic Medications Associated With Lower Rate of Manipulation After Primary TKA: An Analysis of 101,366 Patients.",The Journal of arthroplasty,2022,Losartan,Osteoarthritis
34839577,Risk factors associated with xerostomia and reduced salivary flow in hypertensive patients.,Oral diseases,2023,Losartan,Osteoarthritis
34807419,Connective Tissue Disorders and Cardiovascular Complications: The Indomitable Role of Transforming Growth Factor-beta Signaling.,Advances in experimental medicine and biology,2021,Losartan,Osteoarthritis
34094856,Losartan protects against osteoarthritis by repressing the TGF-beta1 signaling pathway via upregulation of PPARgamma.,Journal of orthopaedic translation,2021,Losartan,Osteoarthritis
30719872,"Understanding chondrodysplasia (cho): A comprehensive review of cho as an animal model of birth defects, disorders, and molecular mechanisms.",Birth defects research,2019,Losartan,Osteoarthritis
30610922,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-beta1 signaling pathway.,Osteoarthritis and cartilage,2019,Losartan,Osteoarthritis
28063227,LIPUS suppressed LPS-induced IL-1alpha through the inhibition of NF-kappaB nuclear translocation via AT1-PLCbeta pathway in MC3T3-E1 cells.,Journal of cellular physiology,2017,Losartan,Osteoarthritis
27359284,Biological Therapies for Cartilage Lesions in the Hip: A New Horizon.,Orthopedics,2016,Losartan,Osteoarthritis
26355014,Attenuation of the progression of articular cartilage degeneration by inhibition of TGF-beta1 signaling in a mouse model of osteoarthritis.,The American journal of pathology,2015,Losartan,Osteoarthritis
23980202,A late presentation of Loeys-Dietz syndrome: joint hypermobility is not always benign.,"Rheumatology (Oxford, England)",2014,Losartan,Osteoarthritis
17526929,Angiotensin II protects fibroblast-like synoviocytes from apoptosis via the AT1-NF-kappaB pathway.,"Rheumatology (Oxford, England)",2007,Losartan,Osteoarthritis
8075862,AT1 receptor characteristics of angiotensin analogue binding in human synovium.,British journal of pharmacology,1994,Losartan,Osteoarthritis
