pmid,title,journal,year,drug,disease
40698904,Sodium-glucose cotransporter 2 inhibitors and stroke risk in patients with diabetes and stroke risk factors: A real-world cohort study.,International journal of stroke : official journal of the International Stroke Society,2025,Metformin,Atrial Fibrillation
40091970,An Unusual Presentation of Metformin-Associated Lactic Acidosis: A Case Report.,Cureus,2025,Metformin,Atrial Fibrillation
39958117,Confirmation of Metformin-Induced Acute Generalized Exanthematous Pustulosis Through a Positive Dechallenge-Rechallenge Test: A Case Report and Review of Cutaneous Manifestations Associated With Metformin.,Cureus,2025,Metformin,Atrial Fibrillation
39817216,"Prediabetes and atrial fibrillation risk stratification, phenotyping, and possible reversal to normoglycemia.",World journal of diabetes,2025,Metformin,Atrial Fibrillation
39686602,Simultaneous Treatment of Two Severe Acute Intoxication and Acute Kidney Injury.,Seminars in dialysis,2025,Metformin,Atrial Fibrillation
39671157,Upstream targeting for the prevention of atrial fibrillation: Targeting Risk Interventions and Metformin for Atrial Fibrillation (TRIM-AF)-rationale and study design.,Journal of interventional cardiac electrophysiology : an international journal of arrhythmias and pacing,2025,Metformin,Atrial Fibrillation
39256710,"Genetically predicted hypothyroidism, thyroid hormone treatment, and the risk of cardiovascular diseases: a mendelian randomization study.",BMC cardiovascular disorders,2024,Metformin,Atrial Fibrillation
39139337,Metformin and Atrial Fibrillation: A Systematic Review of Their Association.,Cureus,2024,Metformin,Atrial Fibrillation
39099810,Atrial fibrillation and prediabetes: A liaison that merits attention!,World journal of diabetes,2024,Metformin,Atrial Fibrillation
39085898,Effect of different hypoglycemic drugs and insulin on the risk of new-onset atrial fibrillation in people with diabetes: a network meta-analysis.,European journal of medical research,2024,Metformin,Atrial Fibrillation
39036128,Metformin-Associated Lactic Acidosis in an Older Adult: A Case Report and Review.,Cureus,2024,Metformin,Atrial Fibrillation
39034866,Systemic aging fuels heart failure: Molecular mechanisms and therapeutic avenues.,ESC heart failure,2025,Metformin,Atrial Fibrillation
39023012,SIRT3/AMPK Signaling Pathway Regulates Lipid Metabolism and Improves Vulnerability to Atrial Fibrillation in Dahl Salt-Sensitive Rats.,American journal of hypertension,2024,Metformin,Atrial Fibrillation
38949295,"The synergistic impact of type 2 diabetes and MASLD on cardiovascular, liver, diabetes-related and cancer outcomes.",Liver international : official journal of the International Association for the Study of the Liver,2024,Metformin,Atrial Fibrillation
38919471,Repurposing Metformin for the Treatment of Atrial Fibrillation: Current Insights.,Vascular health and risk management,2024,Metformin,Atrial Fibrillation
38913694,Influencing factors of stroke in patients with type 2 diabetes: A systematic review and meta-analysis.,PloS one,2024,Metformin,Atrial Fibrillation
38840768,Antiarrhythmic effects of metformin.,Heart rhythm O2,2024,Metformin,Atrial Fibrillation
38818187,Metformin reduces new-onset atrial fibrillation risk rather than atrial fibrillation burden in type 2 diabetes patients: A case-control study.,Heliyon,2024,Metformin,Atrial Fibrillation
38683129,Causal association of metformin treatment with diverse cardiovascular diseases: a Mendelian randomization analysis.,Aging,2024,Metformin,Atrial Fibrillation
38191976,Glucagon-like peptide-1 receptor agonists and the risk of atrial fibrillation in adults with diabetes: a real-world study.,Journal of general internal medicine,2024,Metformin,Atrial Fibrillation
37885547,The Synergistic Relationship Between Atrial Fibrillation and Diabetes Mellitus: Implications for Cardiovascular and Metabolic Health.,Cureus,2023,Metformin,Atrial Fibrillation
37648574,Metformin and SGLT2i as First-line Combination Therapy in Type 2 Diabetes: A Real-world Study With a Focus on Ethnicity.,Clinical therapeutics,2023,Metformin,Atrial Fibrillation
37554691,Korean Society of Heart Failure Guidelines for the Management of Heart Failure: Management of the Underlying Etiologies and Comorbidities of Heart Failure.,International journal of heart failure,2023,Metformin,Atrial Fibrillation
37525389,Korean Society of Heart Failure Guidelines for the Management of Heart Failure: Management of the Underlying Etiologies and Comorbidities of Heart Failure.,Korean circulation journal,2023,Metformin,Atrial Fibrillation
37120828,Effect of SGLT-2 inhibitors as an add-on therapy to metformin on P wave indices and atrial electromechanics in type 2 diabetes mellitus patients.,Pacing and clinical electrophysiology : PACE,2023,Metformin,Atrial Fibrillation
37078758,Treatment of type 2 diabetes patients with heart conditions.,Expert review of endocrinology & metabolism,2023,Metformin,Atrial Fibrillation
