pmid,title,journal,year,drug,disease
40912816,"Corrigendum to ""An injectable and pH-responsive hyaluronic acid hydrogel as metformin carrier for prevention of breast cancer recurrence"" [Carbohydr. Polym. 304 (2023): 120493].",Carbohydrate polymers,2025,Metformin,Breast Cancer
40905691,Immune and Growth Factor Signaling Pathways Are Associated with Pathologic Complete Response to an Anti-Type I Insulin-like Growth Factor Receptor Regimen in Patients with Breast Cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,2025,Metformin,Breast Cancer
40896961,From basics to clinics: New opportunities for metformin in tumor metabolic intervention and treatment.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2025,Metformin,Breast Cancer
40885703,SPANXB1 drives brain metastasis in breast cancer via MMP1 regulation: potential therapeutic insights with metformin.,Cell death discovery,2025,Metformin,Breast Cancer
40880725,Guardians of Sensation: Evaluating Metformin's Power Against Chemotherapy-Induced Neuropathy.,International journal of breast cancer,2025,Metformin,Breast Cancer
40849858,Drug repurposing in oncology: a path beyond the bottleneck.,"Medical oncology (Northwood, London, England)",2025,Metformin,Breast Cancer
40841629,Metformin for the treatment of breast cancer: a scoping review of randomized clinical trials.,BMC cancer,2025,Metformin,Breast Cancer
40823083,Correction: Neoadjuvant chemotherapy with or without metformin in early-stage or locally advanced (non-metastatic) triple negative breast cancer-an open-label phase 2 randomized controlled trial.,Frontiers in oncology,2025,Metformin,Breast Cancer
40788549,Mapping the current research landscape of metformin in cancer based on bibliometric analysis.,Discover oncology,2025,Metformin,Breast Cancer
40764810,Association of type 2 diabetes mellitus with histopathological features of Non-metastatic breast cancer in Chinese women: a retrospective Cross-sectional study.,Scientific reports,2025,Metformin,Breast Cancer
40761109,Radiosensitizing Effects of Metformin on Ionizing Irradiation: An Overview of Animal and Clinical Studies.,Current drug research reviews,2025,Metformin,Breast Cancer
40752339,Targeting the HGF/MET axis in cancer: therapeutic promise for natural compounds.,European journal of medicinal chemistry,2025,Metformin,Breast Cancer
40703482,[Multidisciplinary approach for a patient with morbid obesity and psychological issues led from the pharmacy office].,Farmaceuticos comunitarios,2025,Metformin,Breast Cancer
40701453,Cancer prevention and interception with antidiabetic and anti-obesity drugs: Current and future perspectives.,Seminars in cancer biology,2025,Metformin,Breast Cancer
40699802,Synergistic Antitumor Effects of Ivermectin and Metformin in Canine Breast Cancer via PI3K/AKT/mTOR Pathway Inhibition.,Current issues in molecular biology,2025,Metformin,Breast Cancer
40678416,"The effects of hsa-mir-26a-5p on cell proliferation, migration, and PI3K inhibitor sensitivity in metformin-resistant triple negative breast cancer cells.",Turkish journal of biology = Turk biyoloji dergisi,2025,Metformin,Breast Cancer
40636683,Neoadjuvant chemotherapy with or without metformin in early-stage or locally advanced (non-metastatic) triple negative breast cancer-an open-label phase 2 randomized controlled trial.,Frontiers in oncology,2025,Metformin,Breast Cancer
40601245,Ingestion of titanium dioxide as an excipient in medicines and the risk of cancer: a nationwide study within the French National health data system.,European journal of epidemiology,2025,Metformin,Breast Cancer
