pmid,title,journal,year,drug,disease
40549942,Reduced 90-Day Cardiovascular and Infectious Complications After Open Reduction Internal Fixation of Ankle Fractures in Type II Diabetic Patients Using Semaglutide Preoperatively.,The Journal of the American Academy of Orthopaedic Surgeons,2025,Metformin,Deep Vein Thrombosis
40096579,The Use of Semaglutide in Patients Undergoing Lumbar Fusion Does not Increase 90-Day Medical or 1-Year Implant Complications.,Clinical spine surgery,2025,Metformin,Deep Vein Thrombosis
39809164,Analysis of factors related to venous thrombosis after ankle fracture combined with type 2 diabetes mellitus applying tourniquet surgery.,Medicine,2024,Metformin,Deep Vein Thrombosis
39238746,Central Venous Catheter Misplacement Presenting With Parotid Gland Swelling: A Case Report.,Cureus,2024,Metformin,Deep Vein Thrombosis
38904171,"A pharmacoepidemiological nested case-control study of risk factors for venous thromboembolism with the focus on diabetes, cancer, socioeconomic group, medications, and comorbidities.",Diabetes & vascular disease research,2024,Metformin,Deep Vein Thrombosis
38333748,Metformin alleviates bevacizumab-induced vascular endothelial injury in mice through growth differentiation factor 15 upregulation.,Iranian journal of basic medical sciences,2024,Metformin,Deep Vein Thrombosis
34999759,Association of Metformin Use With Risk of Venous Thromboembolism in Adults With Type 2 Diabetes: A General-Population-Based Cohort Study.,American journal of epidemiology,2022,Metformin,Deep Vein Thrombosis
34551784,Hypofibrinolysis in type 2 diabetes and its clinical implications: from mechanisms to pharmacological modulation.,Cardiovascular diabetology,2021,Metformin,Deep Vein Thrombosis
34393250,[Adrenal cavernous hemangioma: A case report and literature review].,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,2021,Metformin,Deep Vein Thrombosis
34326020,Metabolic surgery may protect against admission for COVID-19 in persons with nonalcoholic fatty liver disease.,Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery,2021,Metformin,Deep Vein Thrombosis
33937300,"Editorial: Thrombotic Disorders, Prothrombotic Abnormalities and COVID-19.",Frontiers in medicine,2021,Metformin,Deep Vein Thrombosis
33850207,The effect of deep vein thrombosis on major adverse limb events in diabetic patients: a nationwide retrospective cohort study.,Scientific reports,2021,Metformin,Deep Vein Thrombosis
33787554,Metformin Use Is Associated with Fewer Complications in Patients with Type-2 Diabetes Undergoing Total Knee Arthroplasty: A Propensity Score-Matched Analysis.,The Journal of bone and joint surgery. American volume,2021,Metformin,Deep Vein Thrombosis
32078734,Oral contraceptives increase platelet microparticle levels in normal-weight women with polycystic ovary syndrome.,"Hormones (Athens, Greece)",2020,Metformin,Deep Vein Thrombosis
31843777,Association of Mondor's disease with oral contraceptive pills.,BMJ case reports,2019,Metformin,Deep Vein Thrombosis
30169381,Early Massive Pulmonary Embolism After Total Hip Arthroplasty in a Patient With Behcet Disease: A Case Report.,A&A practice,2019,Metformin,Deep Vein Thrombosis
30070343,"Interaction study between antiplatelet agents, anticoagulants, thyroid replacement therapy and a bioavailable formulation of curcumin (Meriva(R)).",European review for medical and pharmacological sciences,2018,Metformin,Deep Vein Thrombosis
29136662,Protective effect of metformin against retinal vein occlusions in diabetes mellitus - A nationwide population-based study.,PloS one,2017,Metformin,Deep Vein Thrombosis
27805009,Metformin Uniquely Prevents Thrombosis by Inhibiting Platelet Activation and mtDNA Release.,Scientific reports,2016,Metformin,Deep Vein Thrombosis
25510597,"Metformin use in patients with type 2 diabetes mellitus is associated with reduced risk of deep vein thrombosis: a non-randomized, pair-matched cohort study.",BMC cardiovascular disorders,2014,Metformin,Deep Vein Thrombosis
22876561,Type 2 diabetes mellitus in a young girl: ominous presentation and atypical course.,Journal of pediatric endocrinology & metabolism : JPEM,2012,Metformin,Deep Vein Thrombosis
22456302,Severe hypoglycemia associated with levofloxacin in Type 2 diabetic patients receiving polytherapy: two case reports.,International journal of clinical pharmacology and therapeutics,2012,Metformin,Deep Vein Thrombosis
18583223,"Metformin, B12 and homocysteine levels: the plausible cause or effect?",Journal of the Formosan Medical Association = Taiwan yi zhi,2008,Metformin,Deep Vein Thrombosis
17908667,"Hyperhomocysteinemia, deep vein thrombosis and vitamin B12 deficiency in a metformin-treated diabetic patient.",Journal of the Formosan Medical Association = Taiwan yi zhi,2007,Metformin,Deep Vein Thrombosis
8720537,The effects of high- and medium-dose metformin therapy on cardiovascular risk factors in patients with type II diabetes.,Diabetes care,1996,Metformin,Deep Vein Thrombosis
7926420,[Insulin resistance: an etiological factor in essential arterial hypertension and coronary cardiopathy].,Gaceta medica de Mexico,1993,Metformin,Deep Vein Thrombosis
31113,[Non-enzymatic fibrinolytic agents].,Annales de l'anesthesiologie francaise,1978,Metformin,Deep Vein Thrombosis
174236,The position of long-term stimulation of the endogenous fibrinolytic system: present achievements and clinical perspectives.,Thrombosis et diathesis haemorrhagica,1975,Metformin,Deep Vein Thrombosis
