pmid,title,journal,year,drug,disease
40894631,3D Bioprinted Fat-Myocardium Model Unravels the Role of Adipocyte Hypertrophy in Atrial Dysfunction.,bioRxiv : the preprint server for biology,2025,Metformin,Heart Failure
40863028,Association Between SGLT2 Inhibitor Therapy and the Incidence of Tinnitus in Patients with Type 2 Diabetes: A Retrospective Cohort Study.,Audiology research,2025,Metformin,Heart Failure
40804684,Pharmacological treatment patterns and outcomes according to the coexistence of heart failure and type 2 diabetes: data from the Swedish Heart Failure Registry and National Diabetes Registry.,European journal of preventive cardiology,2025,Metformin,Heart Failure
40773213,Geroscience: A Translational Review.,JAMA,2025,Metformin,Heart Failure
40771927,Mechanisms of beneficial effects of DPP-4 inhibitors as a promising perspective for the prevention/treatment of the disruption of cardio-cerebrovascular homeostasis.,Frontiers in pharmacology,2025,Metformin,Heart Failure
40760759,Magnesium Level and Related Factors in Type 2 Diabetes Mellitus: A Cross-Sectional Study.,"Endocrine, metabolic & immune disorders drug targets",2025,Metformin,Heart Failure
40750720,Contemporary Oral Medication Use and Frequency in Patients with Transthyretin Amyloid Cardiomyopathy.,"American journal of cardiovascular drugs : drugs, devices, and other interventions",2025,Metformin,Heart Failure
40705329,Cardiovascular Events in Individuals Treated With Sulfonylureas or Dipeptidyl Peptidase 4 Inhibitors.,JAMA network open,2025,Metformin,Heart Failure
40698904,Sodium-glucose cotransporter 2 inhibitors and stroke risk in patients with diabetes and stroke risk factors: A real-world cohort study.,International journal of stroke : official journal of the International Stroke Society,2025,Metformin,Heart Failure
40692593,A decade of progress in type 2 diabetes and cardiovascular disease: advances in SGLT2 inhibitors and GLP-1 receptor agonists - a comprehensive review.,Frontiers in endocrinology,2025,Metformin,Heart Failure
40672581,Long-term effects of metformin versus sodium glucose transporter 2 inhibitors on cardiovascular outcomes in patients with type 2 diabetes.,American journal of translational research,2025,Metformin,Heart Failure
40635110,Association between metformin use and reduced short- and long-term all-cause mortality in patients undergoing cardiac surgery: a retrospective cohort study.,European journal of medical research,2025,Metformin,Heart Failure
40604045,"Oxidative stress markers and inflammation in type 1 and 2 diabetes are affected by BMI, treatment type, and complications.",Scientific reports,2025,Metformin,Heart Failure
40586635,Progress towards a personalized management of antidiabetic medications in the elderly with type 2 diabetes.,Expert review of clinical pharmacology,2025,Metformin,Heart Failure
40549398,Diagnosis and Treatment of Type 2 Diabetes in Adults: A Review.,JAMA,2025,Metformin,Heart Failure
40537294,A Case of Concurrent Metformin-Associated Lactic Acidosis and Euglycemic Diabetic Ketoacidosis.,The Journal of emergency medicine,2025,Metformin,Heart Failure
40526674,Effect of Sitagliptin on Micro150-5p in patients with T2DM with left ventricular diastolic dysfunction.,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",2025,Metformin,Heart Failure
40464139,Trends in Pharmacological Treatment of Patients With New Onset Type 2 Diabetes: Usage Patterns in an Evolving Guideline Landscape.,Journal of diabetes,2025,Metformin,Heart Failure
40400097,Long-term outcomes following alternative second-line oral glucose-lowering treatments: Results from the real-world progression in type 2 diabetes mellitus United Kingdom (RAPIDS-UK) model.,"Diabetes, obesity & metabolism",2025,Metformin,Heart Failure
40364820,Comparison of the effects of metformin and empagliflozin on cardiac function in heart failure with preserved ejection fraction mice.,Frontiers in cardiovascular medicine,2025,Metformin,Heart Failure
40364115,Risk Factors and Prevention of Cancer and CVDs: A Chicken and Egg Situation.,Journal of clinical medicine,2025,Metformin,Heart Failure
40358690,Impact of glp-1 receptor agonists on hospitalization for heart failure and all-cause death in patients with diabetes with and without heart failure: a real-world study.,Clinical research in cardiology : official journal of the German Cardiac Society,2025,Metformin,Heart Failure
40331651,"[The Effect of Metformin on Short-Chain Fatty Acid Levels in Patients with Chronic Heart Failure, Prediabetes, and Sarcopenia].",Kardiologiia,2025,Metformin,Heart Failure
40330399,Heart Failure Treatment in Underserved Populations: A Comprehensive Analysis of Sacubitril/Valsartan and Sodium-Glucose Transporter 2 Inhibitor (SGLT2i) Prescription Trends at a Safety Net Hospital.,Cureus,2025,Metformin,Heart Failure
40298309,Trends in first-line glucose-lowering medication use among US adults with type 2 diabetes from 2019 to 2023.,Journal of managed care & specialty pharmacy,2025,Metformin,Heart Failure
40283562,The Impact of Metformin on BNP Levels: A Potential Cardioprotective Role in Type 2 Diabetes.,Journal of clinical medicine,2025,Metformin,Heart Failure
40282226,Mitigating Diabetic Cardiomyopathy: The Synergistic Potential of Sea Buckthorn and Metformin Explored via Bioinformatics and Chemoinformatics.,Biology,2025,Metformin,Heart Failure
40270662,Mottling as an Early Sign of Euglycemic Ketoacidosis Induced by SGLT-2 Inhibitors.,European journal of case reports in internal medicine,2025,Metformin,Heart Failure
40259482,Transitional changes in medication-initiator cohort profiles in persons with chronic kidney disease and type 2 diabetes-A hospital-based cohort study in Japan.,"Diabetes, obesity & metabolism",2025,Metformin,Heart Failure
40257024,Novel Molecules Targeting Metabolism and Mitochondrial Function in Cardiac Diseases.,Current cardiology reviews,2025,Metformin,Heart Failure
40242080,"Impact of Acute Kidney Injury, Co-Existing with and without Chronic Kidney Disease on the Short-Term Adverse Outcomes Following Atherosclerotic Cardiovascular Disease Events in Patients with Diabetes.",Journal of multidisciplinary healthcare,2025,Metformin,Heart Failure
40147801,xCT/Slc7a11 promotes pulmonary arterial hypertension by disrupting AMPKalpha suppression of mTOR activation.,Biochemical pharmacology,2025,Metformin,Heart Failure
40144428,Metformin Toxicity Masquerading As Acute Abdomen: A Clinical Reminder of Metformin-Associated Lactic Acidosis and Its Management.,Cureus,2025,Metformin,Heart Failure
40106405,Effect of echocardiography on prognosis in patients with type 2 diabetes mellitus.,PloS one,2025,Metformin,Heart Failure
40086589,Advances in incretin therapies for targeting cardiovascular disease in diabetes.,Journal of molecular and cellular cardiology,2025,Metformin,Heart Failure
40068296,Mitochondrial dynamics and metabolism in macrophages for cardiovascular disease: A review.,Phytomedicine : international journal of phytotherapy and phytopharmacology,2025,Metformin,Heart Failure
40033492,Metformin: Its salutary effects beyond diabetes mellitus.,Journal of investigative medicine : the official publication of the American Federation for Clinical Research,2025,Metformin,Heart Failure
40019856,Efficacy and Safety of Finerenone in Type 2 Diabetes: A Pooled Analysis of Trials of Heart Failure and Chronic Kidney Disease.,Diabetes care,2025,Metformin,Heart Failure
40016854,"Past use of metformin is associated with increased risk of myelodysplastic syndrome development in diabetes mellitus patients: a cross-sectional study of 54,869 patients.",BMC pharmacology & toxicology,2025,Metformin,Heart Failure
39974248,Impact of SGLT2 Inhibitors on Preventing Heart Failure Hospitalizations in Colombian Patients With Uncontrolled Type 2 Diabetes Mellitus.,Cureus,2025,Metformin,Heart Failure
39861067,Glucose-Lowering Agents Developed in the Last Two Decades and Their Perioperative Implications.,"Pharmaceuticals (Basel, Switzerland)",2024,Metformin,Heart Failure
39840161,Management of Surgical Aortic Valve Replacement Degeneration With Transcatheter Aortic Valve Implantation (TAVI in SAVR): Experience in Nicaragua.,Cureus,2024,Metformin,Heart Failure
39835266,Emirates consensus recommendations on cardiovascular risk management in type 2 diabetes.,Frontiers in endocrinology,2024,Metformin,Heart Failure
39829685,"Metformin Improves Glycemic Control and Postprandial Metabolism and Enhances Postprandial Glucagon-Like Peptide 1 Secretion in Patients With Type 2 Diabetes and Heart Failure: A Randomized, Double-Blind, Placebo-Controlled Trial.",Clinical diabetes : a publication of the American Diabetes Association,2025,Metformin,Heart Failure
39788759,Cardiovascular risk associated with glucagon-like peptide-1 receptor agonists versus other conventional glucose-lowering drugs in patients with type-2 diabetes: protocol for a nationwide observational comparative study in routine care.,BMJ open,2025,Metformin,Heart Failure
39781722,Molecular and Functional Significance of Growth Differentiation Factor-15: A Review on Cardiovascular-Kidney-Metabolic Biomarker.,Current cardiology reviews,2025,Metformin,Heart Failure
39773332,Comparative efficacy of GLP-1 RAs/SGLT-2 inhibitors in reducing cardiovascular events in type 2 diabetes according to baseline use of metformin: a systematic review and meta-analysis of randomized controlled trials.,European journal of medical research,2025,Metformin,Heart Failure
39737272,"Clinical Profile, Comorbidities and Therapies in Type 2 Diabetes Patients on Sitagliptin-Based Therapy in Indian Outpatient Setting.",Cureus,2024,Metformin,Heart Failure
