pmid,title,journal,year,drug,disease
40884384,THE IMPACT OF SYSTEMIC DRUGS ON THE ORAL AND GUT MICROBIOME: A NARRATIVE REVIEW.,Georgian medical news,2025,Metformin,Inflammatory Bowel Disease
40867629,"Obesity-Mediated Inflammation and Its Influence on Inflammatory Bowel Disease: Pathophysiology, Clinical Impact, and Therapeutic Implications.",Biomolecules,2025,Metformin,Inflammatory Bowel Disease
40854873,High fructose consumption aggravates inflammation by promoting effector T cell generation via inducing metabolic reprogramming.,Signal transduction and targeted therapy,2025,Metformin,Inflammatory Bowel Disease
40849882,Orally Delivered Tolerogenic Nanotherapeutic for Targeted Colitis Therapy via ROS Scavenging and Treg/Th17 Modulation.,ACS applied materials & interfaces,2025,Metformin,Inflammatory Bowel Disease
40617384,Novel mechanisms of metformin-induced vasorelaxation of mesenteric arterioles via endothelium-dependent hyperpolarization to treat murine colitis.,European journal of pharmacology,2025,Metformin,Inflammatory Bowel Disease
40607383,"ER stress genes (COL1A1, LOXL2, VWF) predicts IKK-16 as a Candidate therapeutic target for colitis-related inflammation and fibrosis suppression.",Frontiers in immunology,2025,Metformin,Inflammatory Bowel Disease
40601368,"Metformin use and risk of colorectal cancer in patients with inflammatory bowel disease: a nationwide, population-based cohort study.",Journal of the National Cancer Institute,2025,Metformin,Inflammatory Bowel Disease
40232293,"Adverse events of concomitant use of immune checkpoint inhibitors and metformin or statin: an observational, retrospective disproportionality analysis.",Expert opinion on drug safety,2025,Metformin,Inflammatory Bowel Disease
40191419,The adjunctive role of metformin in patients with mild to moderate ulcerative colitis: a randomized controlled study.,Frontiers in pharmacology,2025,Metformin,Inflammatory Bowel Disease
39960958,"Diabetes mellitus, metformin's target gene AMPK, and inflammatory bowel disease: A Mendelian randomization study.",Medicine,2025,Metformin,Inflammatory Bowel Disease
39934569,Metformin suppresses gammadelta T17 cell differentiation alleviating DSS-induced colitis.,Immunologic research,2025,Metformin,Inflammatory Bowel Disease
39928255,Epidemiology of colorectal cancer: A review with special emphasis on India.,Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology,2025,Metformin,Inflammatory Bowel Disease
39886030,Mendelian randomization studies of risk and protective factors for osteoporosis: a systematic review and meta-analysis.,Frontiers in endocrinology,2024,Metformin,Inflammatory Bowel Disease
39710207,The inflammatory bowel disease and gut microbiome are restored by employing metformin-loaded alginate-shelled microcapsules.,Journal of controlled release : official journal of the Controlled Release Society,2025,Metformin,Inflammatory Bowel Disease
39281285,Gastrointestinal tract organoids as novel tools in drug discovery.,Frontiers in pharmacology,2024,Metformin,Inflammatory Bowel Disease
39001616,Metformin Is Associated With Improved Inflammatory Bowel Disease Outcomes in Patients With Type 2 Diabetes Mellitus: A Propensity-Matched Cohort Study.,Inflammatory bowel diseases,2025,Metformin,Inflammatory Bowel Disease
38917525,Repurposing metformin as adjuvant therapy in patients with ulcerative colitis treated with mesalamine: A randomized controlled double-blinded study.,International immunopharmacology,2024,Metformin,Inflammatory Bowel Disease
38904171,"A pharmacoepidemiological nested case-control study of risk factors for venous thromboembolism with the focus on diabetes, cancer, socioeconomic group, medications, and comorbidities.",Diabetes & vascular disease research,2024,Metformin,Inflammatory Bowel Disease
38006803,Protective effects of metformin in the pro-inflammatory cytokine induced intestinal organoids injury model.,Biochemical and biophysical research communications,2024,Metformin,Inflammatory Bowel Disease
37664383,Inflammatory Bowel Sugar Disease: A Pause From New Pharmacological Agents and an Embrace of Natural Therapy.,Cureus,2023,Metformin,Inflammatory Bowel Disease
37625135,Nanoprobiotics for Remolding the Pro-inflammatory Microenvironment and Microbiome in the Treatment of Colitis.,Nano letters,2023,Metformin,Inflammatory Bowel Disease
37242462,Rosiglitazone Does Not Affect the Risk of Inflammatory Bowel Disease: A Retrospective Cohort Study in Taiwanese Type 2 Diabetes Patients.,"Pharmaceuticals (Basel, Switzerland)",2023,Metformin,Inflammatory Bowel Disease
37210607,AMPK activation alleviated dextran sulfate sodium-induced colitis by inhibiting ferroptosis.,Journal of digestive diseases,2023,Metformin,Inflammatory Bowel Disease
36983040,Novel Biomarkers for Inflammatory Bowel Disease and Colorectal Cancer: An Interplay between Metabolic Dysregulation and Excessive Inflammation.,International journal of molecular sciences,2023,Metformin,Inflammatory Bowel Disease
36961556,Antidiabetic drugs for IBD: a long but promising road ahead for drug repositioning to target intestinal inflammation.,Journal of gastroenterology,2023,Metformin,Inflammatory Bowel Disease
36688438,A case of esophageal histoplasmosis mimicking carcinoma on endoscopy.,Revista espanola de enfermedades digestivas,2024,Metformin,Inflammatory Bowel Disease
36558989,Pioglitazone Has a Null Association with Inflammatory Bowel Disease in Patients with Type 2 Diabetes Mellitus.,"Pharmaceuticals (Basel, Switzerland)",2022,Metformin,Inflammatory Bowel Disease
36099786,Repurposing metformin as a potential treatment for inflammatory bowel disease: Evidence from cell to the clinic.,International immunopharmacology,2022,Metformin,Inflammatory Bowel Disease
35786379,Efficacy of platelet rich fibrin with and without metformin in the treatment of periodontal osseous defects: a systematic review and meta-analysis.,Acta odontologica Scandinavica,2023,Metformin,Inflammatory Bowel Disease
35780256,Metformin use is not associated with reduced risk of older onset inflammatory bowel disease: a Danish nationwide population-based study.,Journal of gastroenterology,2022,Metformin,Inflammatory Bowel Disease
35724510,Combining the HSP90 inhibitor TAS-116 with metformin effectively degrades the NLRP3 and attenuates inflammasome activation in rats: A new management paradigm for ulcerative colitis.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2022,Metformin,Inflammatory Bowel Disease
35645830,Metformin Ameliorates Chronic Colitis-Related Intestinal Fibrosis via Inhibiting TGF-beta1/Smad3 Signaling.,Frontiers in pharmacology,2022,Metformin,Inflammatory Bowel Disease
35419709,The role of AMPK-dependent pathways in cellular and molecular mechanisms of metformin: a new perspective for treatment and prevention of diseases.,Inflammopharmacology,2022,Metformin,Inflammatory Bowel Disease
35203241,Intestinal Epithelial AMPK Deficiency Causes Delayed Colonic Epithelial Repair in DSS-Induced Colitis.,Cells,2022,Metformin,Inflammatory Bowel Disease
