pmid,title,journal,year,drug,disease
40829042,"Downregulating Cdk5 reverses hippocampal neuron ferroptosis by regulating the AMP-activated protein kinase pathway and ""M1"" polarized microglia.",Journal of neuropathology and experimental neurology,2025,Metformin,Ischemic Stroke
40771927,Mechanisms of beneficial effects of DPP-4 inhibitors as a promising perspective for the prevention/treatment of the disruption of cardio-cerebrovascular homeostasis.,Frontiers in pharmacology,2025,Metformin,Ischemic Stroke
40705329,Cardiovascular Events in Individuals Treated With Sulfonylureas or Dipeptidyl Peptidase 4 Inhibitors.,JAMA network open,2025,Metformin,Ischemic Stroke
40698904,Sodium-glucose cotransporter 2 inhibitors and stroke risk in patients with diabetes and stroke risk factors: A real-world cohort study.,International journal of stroke : official journal of the International Stroke Society,2025,Metformin,Ischemic Stroke
40489027,The AMPK/GDF15 Axis: A Novel Target for the Neuroprotective Effects of Metformin in Ischemic Stroke.,Molecular neurobiology,2025,Metformin,Ischemic Stroke
40306606,AMPK mediates the anti-ferroptosis effect of acupuncture in cerebral ischemia-reperfusion rats.,Brain research,2025,Metformin,Ischemic Stroke
40072880,Neuroprotective Effects of Metformin in Stroke Patients: A Systematic Review and Meta-analysis of Cohort Studies.,Clinical neuropharmacology,2025,Metformin,Ischemic Stroke
40033492,Metformin: Its salutary effects beyond diabetes mellitus.,Journal of investigative medicine : the official publication of the American Federation for Clinical Research,2025,Metformin,Ischemic Stroke
39963690,Tractional Retinal Detachment in a Patient With a History of Methamphetamine Use.,Journal of vitreoretinal diseases,2025,Metformin,Ischemic Stroke
39902055,Semaglutide: Double-edged Sword with Risks and Benefits.,Archives of internal medicine research,2025,Metformin,Ischemic Stroke
39893000,Evaluation of systemic and brain pharmacokinetic parameters for repurposing metformin using intravenous bolus administration.,The Journal of pharmacology and experimental therapeutics,2025,Metformin,Ischemic Stroke
39604047,Repurposing metformin: A potential off-label indication for ischaemic stroke?,"Diabetes, obesity & metabolism",2025,Metformin,Ischemic Stroke
39603405,Protective effects of PIK3CG knockdown against OGD/R-induced neuronal damage via inhibition of autophagy through the AMPK/mTOR pathway.,Neuroscience,2025,Metformin,Ischemic Stroke
39502352,"Atherogenic Effect of Homocysteine, a Biomarker of Inflammation and Its Treatment.","The International journal of angiology : official publication of the International College of Angiology, Inc",2024,Metformin,Ischemic Stroke
39431007,Single-cell profiling of brain pericyte heterogeneity following ischemic stroke unveils distinct pericyte subtype-targeted neural reprogramming potential and its underlying mechanisms.,Theranostics,2024,Metformin,Ischemic Stroke
39407846,Antidiabetic Treatment and Prevention of Ischemic Stroke: A Systematic Review.,Journal of clinical medicine,2024,Metformin,Ischemic Stroke
39375240,Therapeutic Effects of Metformin on Central Nervous System Diseases: A Focus on Protection of Neurovascular Unit.,Pharmaceutical research,2024,Metformin,Ischemic Stroke
39169599,Effectiveness of metformin pretreatment for stroke severity: A propensity score matching study.,CNS neuroscience & therapeutics,2024,Metformin,Ischemic Stroke
39153984,Impact of canagliflozin combined with metformin therapy on reducing cardiovascular risk in type 2 diabetes patients.,Diabetology & metabolic syndrome,2024,Metformin,Ischemic Stroke
39101543,Role of blood-brain barrier dysfunction in the development of poststroke epilepsy.,Epilepsia,2024,Metformin,Ischemic Stroke
39094400,Metformin ameliorates neuroinflammatory environment for neurons and astrocytes during in vitro and in vivo stroke and tobacco smoke chemical exposure: Role of Nrf2 activation.,Redox biology,2024,Metformin,Ischemic Stroke
39092773,Pharmacological characterization of the antidiabetic drug metformin in atherosclerosis inhibition: A comprehensive insight.,"Immunity, inflammation and disease",2024,Metformin,Ischemic Stroke
38672100,Effects of Prior Metformin Use on Stroke Outcomes in Diabetes Patients with Acute Ischemic Stroke Receiving Endovascular Treatment.,Biomedicines,2024,Metformin,Ischemic Stroke
38648572,"Trends in the Use of Medications for Secondary Ischemic Stroke Prevention in Denmark, 2005-2021.",Neurology,2024,Metformin,Ischemic Stroke
38604350,The impact of pre-stroke metformin use on clinical outcomes after acute ischemic stroke: A systematic review and meta-analysis.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2024,Metformin,Ischemic Stroke
38469210,"4-Hydroxysesamin, a Modified Natural Compound, Attenuates Neuronal Apoptosis After Ischemic Stroke via Inhibiting MAPK Pathway.",Neuropsychiatric disease and treatment,2024,Metformin,Ischemic Stroke
38196460,Metformin versus sodium glucose co-transporters inhibitors as first-line for atherosclerotic cardiovascular disease: A meta-analysis.,Pakistan journal of medical sciences,2024,Metformin,Ischemic Stroke
38043334,Neuroprotective effects of oral metformin before stroke on cerebral small-vessel disease.,Journal of the neurological sciences,2024,Metformin,Ischemic Stroke
37777789,Genetically proxied antidiabetic drugs targets and stroke risk.,Journal of translational medicine,2023,Metformin,Ischemic Stroke
37554691,Korean Society of Heart Failure Guidelines for the Management of Heart Failure: Management of the Underlying Etiologies and Comorbidities of Heart Failure.,International journal of heart failure,2023,Metformin,Ischemic Stroke
37525389,Korean Society of Heart Failure Guidelines for the Management of Heart Failure: Management of the Underlying Etiologies and Comorbidities of Heart Failure.,Korean circulation journal,2023,Metformin,Ischemic Stroke
37291921,[Metformin use and risk of ischemic stroke in patients with type 2 diabetes: A cohort study].,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,2023,Metformin,Ischemic Stroke
37282373,"The Impact of Genetically Proxied AMPK Activation, the Target of Metformin, on Functional Outcome Following Ischemic Stroke.",Journal of stroke,2023,Metformin,Ischemic Stroke
37242599,Permeability of Metformin across an In Vitro Blood-Brain Barrier Model during Normoxia and Oxygen-Glucose Deprivation Conditions: Role of Organic Cation Transporters (Octs).,Pharmaceutics,2023,Metformin,Ischemic Stroke
37051071,Metformin adherence and the risk of cardiovascular disease: a population-based cohort study.,Therapeutic advances in chronic disease,2023,Metformin,Ischemic Stroke
36944118,Cardiovascular Safety in Type 2 Diabetes With Sulfonylureas as Second-line Drugs: A Nationwide Population-Based Comparative Safety Study.,Diabetes care,2023,Metformin,Ischemic Stroke
36841981,The Effect of Metformin on Vitamin B12 Deficiency and Stroke.,The Israel Medical Association journal : IMAJ,2023,Metformin,Ischemic Stroke
36644057,Hypoglycemia-Induced Basal Ganglia Infarct: A Rare Case of Metformin Toxicity in a Hemodialysis Patient.,Cureus,2022,Metformin,Ischemic Stroke
36611122,Metformin enhances neural precursor cells migration and functional recovery after ischemic stroke in mice.,Experimental brain research,2023,Metformin,Ischemic Stroke
36596641,Cardiovascular and renal outcomes among patients with type 2 diabetes using SGLT2 inhibitors added to metformin: a population-based cohort study from the UK.,BMJ open diabetes research & care,2023,Metformin,Ischemic Stroke
36484988,Comparison of Mitochondrial Adenosine Triphosphate-Sensitive Potassium Channel High- vs Low-Affinity Sulfonylureas and Cardiovascular Outcomes in Patients With Type 2 Diabetes Treated With Metformin.,JAMA network open,2022,Metformin,Ischemic Stroke
36445542,Metformin treatment and acute ischemic stroke outcomes in patients with type 2 diabetes: a retrospective cohort study.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2023,Metformin,Ischemic Stroke
36408248,Neuropharmacological efficacy of metformin for stroke in rodents: A meta-analysis of preclinical trials.,Frontiers in pharmacology,2022,Metformin,Ischemic Stroke
36398362,Pharmacotherapy for stroke prevention in nonvalvular atrial fibrillation: current strategies and future directions.,Expert opinion on pharmacotherapy,2022,Metformin,Ischemic Stroke
36383328,The Dialogue Between Neuroinflammation and Adult Neurogenesis: Mechanisms Involved and Alterations in Neurological Diseases.,Molecular neurobiology,2023,Metformin,Ischemic Stroke
36191315,First-Line Therapy for Type 2 Diabetes With Sodium-Glucose Cotransporter-2 Inhibitors and Glucagon-Like Peptide-1 Receptor Agonists : A Cost-Effectiveness Study.,Annals of internal medicine,2022,Metformin,Ischemic Stroke
35933524,Association of glucose-lowering drugs with incident stroke and transient ischaemic attacks in primary care patients with type 2 diabetes: disease analyzer database.,Acta diabetologica,2022,Metformin,Ischemic Stroke
35863262,Effect of metformin on outcome after acute ischemic stroke in patients with type 2 diabetes mellitus.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2022,Metformin,Ischemic Stroke
35800435,Development and Evaluation of Novel Metformin Derivative Metformin Threonate for Brain Ischemia Treatment.,Frontiers in pharmacology,2022,Metformin,Ischemic Stroke
35792967,The effect of chronic exposure to metformin in a new type-2 diabetic NONcNZO10/LtJ mouse model of stroke.,Pharmacological reports : PR,2022,Metformin,Ischemic Stroke
