pmid,title,journal,year,drug,disease
40885740,Metformin alters mitochondria-related metabolism and enhances human oligodendrocyte function.,Nature communications,2025,Metformin,Multiple Sclerosis
40706658,Exploring the complex interplay: insulin resistance and gut microbiome dysbiosis in multiple sclerosis.,Neuroscience,2025,Metformin,Multiple Sclerosis
40632178,Retraction Note: Oligoprotective effect of metformin through the AMPK-dependent on restoration of mitochondrial hemostasis in the cuprizone-induced multiple sclerosis model.,Journal of molecular histology,2025,Metformin,Multiple Sclerosis
40457477,Hampered AMPK-ULK1 cascade in Alzheimer's disease (AD) instigates mitochondria dysfunctions and AD-related alterations which are alleviated by metformin.,Alzheimer's research & therapy,2025,Metformin,Multiple Sclerosis
40403503,cGAS-STING and neurodegenerative diseases: A molecular crosstalk and therapeutic perspective.,International immunopharmacology,2025,Metformin,Multiple Sclerosis
40283923,Overview of Metformin and Neurodegeneration: A Comprehensive Review.,"Pharmaceuticals (Basel, Switzerland)",2025,Metformin,Multiple Sclerosis
40172524,The Possible Role of Metformin and Fibroblast Growth Factor-21 in Multiple Sclerosis Neuropathology: Birds of a Feather Flock Together.,The European journal of neuroscience,2025,Metformin,Multiple Sclerosis
40066580,Comorbidities of hypothyroidism.,Current medical research and opinion,2025,Metformin,Multiple Sclerosis
39928815,Causal association of metformin treatment with diverse immune-mediated inflammatory diseases: A Mendelian randomization analysis.,Medicine,2025,Metformin,Multiple Sclerosis
39910414,Metformin-Loaded Tannic Acid Nanoparticles Attenuate Osteoarthritis by Promoting Chondrocyte Mitochondria Homeostasis Based on Mitocytosis.,Biomacromolecules,2025,Metformin,Multiple Sclerosis
39841474,Cerebral Microbleeds and Amyloid Pathology Estimates From the Amyloid Biomarker Study.,JAMA network open,2025,Metformin,Multiple Sclerosis
39301360,The Role of Glucagon-Like Peptide-1 Agonists in the Treatment of Multiple Sclerosis: A Narrative Review.,Cureus,2024,Metformin,Multiple Sclerosis
38991923,"Retraction notice to ""Evaluation of the effects of metformin as adenosine monophosphate-activated protein kinase activator on spatial learning and memory in a rat model of multiple sclerosis disease"" [Biomed. Pharmacother. 141 (2021) 111932].",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024,Metformin,Multiple Sclerosis
38871078,Metformin-induced changes in the gut microbiome and plasma metabolome are associated with cognition in men.,Metabolism: clinical and experimental,2024,Metformin,Multiple Sclerosis
38680485,A metformin add-on clinical study in multiple sclerosis to evaluate brain remyelination and neurodegeneration (MACSiMiSE-BRAIN): study protocol for a multi-center randomized placebo controlled clinical trial.,Frontiers in immunology,2024,Metformin,Multiple Sclerosis
38566910,Exploring the association between weight loss-inducing medications and multiple sclerosis: insights from the FDA adverse event reporting system database.,Therapeutic advances in neurological disorders,2024,Metformin,Multiple Sclerosis
38498119,Correction to: The impact of metformin use on the outcomes of relapse‑remitting multiple sclerosis patients receiving interferon beta 1a: an exploratory prospective phase II open‑label randomized controlled trial.,Journal of neurology,2024,Metformin,Multiple Sclerosis
38374232,Clemastine and metformin extend the window of NMDA receptor surface expression in ageing oligodendrocyte precursor cells.,Scientific reports,2024,Metformin,Multiple Sclerosis
38244807,Potential effects of the most prescribed drugs on the microbiota-gut-brain-axis: A review.,Brain research bulletin,2024,Metformin,Multiple Sclerosis
38070031,The impact of metformin use on the outcomes of relapse-remitting multiple sclerosis patients receiving interferon beta 1a: an exploratory prospective phase II open-label randomized controlled trial.,Journal of neurology,2024,Metformin,Multiple Sclerosis
38028250,Complications and Treatment of Early-Onset Type 2 Diabetes.,International journal of endocrinology and metabolism,2023,Metformin,Multiple Sclerosis
37904733,The AMPK activator metformin improves recovery from demyelination by shifting oligodendrocyte bioenergetics and accelerating OPC differentiation.,Frontiers in cellular neuroscience,2023,Metformin,Multiple Sclerosis
37890574,"Metformin treatment reduces inflammation, dysmyelination and disease severity in a mouse model of multiple sclerosis, experimental autoimmune encephalomyelitis.",Brain research,2024,Metformin,Multiple Sclerosis
37862207,Promising use of metformin in treating neurological disorders: biomarker-guided therapies.,Neural regeneration research,2024,Metformin,Multiple Sclerosis
37486609,Primary Hyperparathyroidism overlapping with Multiple Sclerosis: a catastrophic marriage.,Acta bio-medica : Atenei Parmensis,2023,Metformin,Multiple Sclerosis
