pmid,title,journal,year,drug,disease
40862396,Anti-tumor potential of combinatory GSK3 inhibition in human 3D models of pancreatic neuroendocrine tumors and patient-derived GEP-NET primary cultures.,Endocrine-related cancer,2025,Metformin,Pancreatic Cancer
40860032,Mitochondria-Targeting Biquaternary Ammonium Compounds: Pancreatic Anticancer Activity and Synergistic Interaction with Metformin.,ACS bio & med chem Au,2025,Metformin,Pancreatic Cancer
40854873,High fructose consumption aggravates inflammation by promoting effector T cell generation via inducing metabolic reprogramming.,Signal transduction and targeted therapy,2025,Metformin,Pancreatic Cancer
40701453,Cancer prevention and interception with antidiabetic and anti-obesity drugs: Current and future perspectives.,Seminars in cancer biology,2025,Metformin,Pancreatic Cancer
40645547,Mechanisms and clinical perspectives on imeglimin for insulin resistance in obese patients.,European journal of pharmacology,2025,Metformin,Pancreatic Cancer
40542925,The metformin administration on pancreatic tissue damage in metastatic rat prostate cancer and STZ induced diabetes model.,Journal of molecular histology,2025,Metformin,Pancreatic Cancer
40442985,Pathological Glucose Levels Enhance Entry Factor Expression and Hepatic SARS-CoV-2 Infection.,Journal of cellular and molecular medicine,2025,Metformin,Pancreatic Cancer
40434511,Phase-Ib dose-finding and pharmacokinetic trial of metformin combined with nivolumab for refractory/recurrent solid tumors.,International journal of clinical oncology,2025,Metformin,Pancreatic Cancer
40368260,"The exposome and pancreatic cancer, lifestyle and environmental risk factors for PDAC.",Seminars in cancer biology,2025,Metformin,Pancreatic Cancer
40364115,Risk Factors and Prevention of Cancer and CVDs: A Chicken and Egg Situation.,Journal of clinical medicine,2025,Metformin,Pancreatic Cancer
40277890,Increased Risk of Cancer-An Integral Component of the Cardio-Renal-Metabolic Disease Cluster and Its Management.,Cells,2025,Metformin,Pancreatic Cancer
40243881,Effects of Prebiotic Phytocompound Administration in Gestational Diabetic Dams and Its Influence on Offspring Cognitive Outcomes.,International journal of molecular sciences,2025,Metformin,Pancreatic Cancer
22379635,PRSS1-Related Hereditary Pancreatitis.,,1993,Metformin,Pancreatic Cancer
40092004,Durable Response to Nivolumab Combined With Metformin in Advanced Pancreatic Cancer: A Case Report With Seven Years of Follow-Up.,Cureus,2025,Metformin,Pancreatic Cancer
40091035,Investigation of the synergistic effect of metformin and FX11 on PANC-1 cell lines.,Biological research,2025,Metformin,Pancreatic Cancer
40049721,Drug-associated pancreatic cancer: insights from real-world pharmacovigilance and network pharmacology.,Expert opinion on drug safety,2025,Metformin,Pancreatic Cancer
40037943,"Recommendations of the Spanish Society of Endocrinology and Nutrition (SEEN) on ""what not to do"" in clinical practice.","Endocrinologia, diabetes y nutricion",2025,Metformin,Pancreatic Cancer
39888917,Transferrin promotes fatty acid oxidation and liver tumor growth through PHD2-mediated PPARalpha hydroxylation in an iron-dependent manner.,Proceedings of the National Academy of Sciences of the United States of America,2025,Metformin,Pancreatic Cancer
39840695,Metformin use and pancreatic ductal adenocarcinoma outcomes: a narrative review.,ANZ journal of surgery,2025,Metformin,Pancreatic Cancer
39834076,Risk factors for hepatocellular carcinoma: an umbrella review of systematic review and meta-analysis.,Annals of medicine,2025,Metformin,Pancreatic Cancer
39773528,Metformin and the risk of malignant tumors of digestive system: a mendelian randomization study.,Diabetology & metabolic syndrome,2025,Metformin,Pancreatic Cancer
39762966,Treatment outcomes with oral anti-hyperglycaemic therapies in people with diabetes secondary to a pancreatic condition (type 3c diabetes): A population-based cohort study.,"Diabetes, obesity & metabolism",2025,Metformin,Pancreatic Cancer
39679307,Limitations and suggestions for type 2 diabetes mellitus and pancreatic neuroendocrine tumors based on meta-analysis.,World journal of gastroenterology,2024,Metformin,Pancreatic Cancer
39654602,Effects of Oltipraz on the Glycolipid Metabolism and the Nrf2/HO-1 Pathway in Type 2 Diabetic Mice.,"Drug design, development and therapy",2024,Metformin,Pancreatic Cancer
39606802,Metformin Inhibits the Progression of Pancreatic Cancer Through Regulating miR-378a-3p/VEGFA/RGC-32 Axis.,Cancer medicine,2024,Metformin,Pancreatic Cancer
39464498,Cervical carcinoma and diabetes mellitus among women in Southern India.,Przeglad menopauzalny = Menopause review,2024,Metformin,Pancreatic Cancer
39347851,PPAR-gamma agonist pioglitazone and the risks of malignancy among type2 diabetes mellitus patients.,Acta diabetologica,2025,Metformin,Pancreatic Cancer
39340700,Synergistic effects of calcium channel blockers and renin-angiotensin inhibitors with gemcitabine-based chemotherapy on the survival of patients with pancreatic cancer.,Journal of cancer research and clinical oncology,2024,Metformin,Pancreatic Cancer
39337420,Effect of Sodium-Glucose Co-Transporter 2 Inhibitors Combined with Metformin on Pancreatic Cancer Cell Lines.,International journal of molecular sciences,2024,Metformin,Pancreatic Cancer
39309109,Non-functional alpha-cell hyperplasia with glucagon-producing NET: a case report.,Frontiers in endocrinology,2024,Metformin,Pancreatic Cancer
39215927,Metformin protects against small intestine damage induced by diabetes and dunning's prostate cancer: A biochemical and histological study.,Journal of molecular histology,2024,Metformin,Pancreatic Cancer
39193327,Knowledge mapping of metformin use on cancers: a bibliometric analysis (2013-2023).,Frontiers in pharmacology,2024,Metformin,Pancreatic Cancer
39135791,Prognostic impact of metformin in solid cancer patients receiving immune checkpoint inhibitors: novel evidences from a multicenter retrospective study.,Frontiers in pharmacology,2024,Metformin,Pancreatic Cancer
38967919,Glucagon-Like Peptide 1 Receptor Agonists and 13 Obesity-Associated Cancers in Patients With Type 2 Diabetes.,JAMA network open,2024,Metformin,Pancreatic Cancer
38954353,Diabetes Driven Oncogenesis and Anticancer Potential of Repurposed Antidiabetic Drug: A Systemic Review.,Cell biochemistry and biophysics,2024,Metformin,Pancreatic Cancer
38951376,In Vitro Studies of Pumpkin (Cucurbita moschata var. Kashi Harit) Seed Protein Fraction(s) to Evaluate Anticancer and Antidiabetic Properties.,"Plant foods for human nutrition (Dordrecht, Netherlands)",2024,Metformin,Pancreatic Cancer
38949295,"The synergistic impact of type 2 diabetes and MASLD on cardiovascular, liver, diabetes-related and cancer outcomes.",Liver international : official journal of the International Association for the Study of the Liver,2024,Metformin,Pancreatic Cancer
38904171,"A pharmacoepidemiological nested case-control study of risk factors for venous thromboembolism with the focus on diabetes, cancer, socioeconomic group, medications, and comorbidities.",Diabetes & vascular disease research,2024,Metformin,Pancreatic Cancer
38884575,"Association between nonalcholic fatty liver disease and pancreatic cancer: Epidemiology, mechanisms, and antidiabetic medication.",Hepatology research : the official journal of the Japan Society of Hepatology,2024,Metformin,Pancreatic Cancer
38863255,Effects of metformin on cancers in experimental and clinical studies: Focusing on autophagy and AMPK/mTOR signaling pathways.,Cell biochemistry and function,2024,Metformin,Pancreatic Cancer
38846873,Bidirectional relationship between pancreatic cancer and diabetes mellitus: a comprehensive literature review.,Annals of medicine and surgery (2012),2024,Metformin,Pancreatic Cancer
38838902,Dual-molecular targeting nanomedicine upregulates synergistic therapeutic efficacy in preclinical hepatoma models.,Acta biomaterialia,2024,Metformin,Pancreatic Cancer
38835644,Diabetes and Cancer: A Twisted Bond.,Oncology reviews,2024,Metformin,Pancreatic Cancer
38611003,"Role of SGLT2 Inhibitors, DPP-4 Inhibitors, and Metformin in Pancreatic Cancer Prevention.",Cancers,2024,Metformin,Pancreatic Cancer
38530777,Metformin boosts antitumor immunity and improves prognosis in upfront resected pancreatic cancer: an observational study.,Journal of the National Cancer Institute,2024,Metformin,Pancreatic Cancer
38515954,Metformin and pancreatic neuroendocrine tumors: A systematic review and meta-analysis.,World journal of gastroenterology,2024,Metformin,Pancreatic Cancer
38292173,Regulation of AMPK activation by extracellular matrix stiffness in pancreatic cancer.,Genes & diseases,2024,Metformin,Pancreatic Cancer
38161049,Decoding the role of microRNA dysregulation in the interplay of pancreatic cancer and type 2 diabetes.,Molecular and cellular endocrinology,2024,Metformin,Pancreatic Cancer
38098114,Safety and antitumor activity of metformin plus lanreotide in patients with advanced gastro-intestinal or lung neuroendocrine tumors: the phase Ib trial MetNET2.,Journal of hematology & oncology,2023,Metformin,Pancreatic Cancer
37997519,Metformin reduces hepatocarcinogenesis by inducing downregulation of Cyp26a1 and CD8(+) T cells.,Clinical and translational medicine,2023,Metformin,Pancreatic Cancer
