pmid,title,journal,year,drug,disease
40618587,Metformin induces iron deprivation and enhances mitochondrial ROS in macrophages creating a hostile environment for survival of intracellular Mycobacterium tuberculosis.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2025,Metformin,Tuberculosis
40518225,The effect of glycated hemoglobin trajectories on outcomes in patients with pulmonary tuberculosis in India.,The Indian journal of tuberculosis,2025,Metformin,Tuberculosis
40518222,Navigating the dual burden of diabetes mellitus and tuberculosis: A comprehensive review of clinical and public health strategies.,The Indian journal of tuberculosis,2025,Metformin,Tuberculosis
40483737,Host-Directed Therapeutic for the treatment of Mycobacterium tuberculosis.,Microbiological research,2025,Metformin,Tuberculosis
40437360,DRTB-HDT: a randomized controlled trial of two adjunctive host-directed therapies in rifampin-resistant tuberculosis.,BMC infectious diseases,2025,Metformin,Tuberculosis
40430224,Glycemic Control in Patients with Diabetes on Peritoneal Dialysis: From Glucose Sparing Approach to Glucose Monitoring.,"Life (Basel, Switzerland)",2025,Metformin,Tuberculosis
40351311,The role of metformin in tuberculosis control among TB and diabetes mellitus comorbid individuals.,Frontiers in microbiology,2025,Metformin,Tuberculosis
40255406,Bibliometric analysis and knowledge mapping of diabetes mellitus combined with tuberculosis research: trends from 1995 to 2023.,Frontiers in immunology,2025,Metformin,Tuberculosis
40023541,Pharmacokinetic drug-drug interaction between first-line anti-TB and anti-diabetic drugs in patients with tuberculosis and diabetes mellitus.,The Indian journal of tuberculosis,2025,Metformin,Tuberculosis
39845945,Bibliometric analysis of metformin as an immunomodulator (2013-2024).,Frontiers in immunology,2024,Metformin,Tuberculosis
39770852,Association Between Diabetes Mellitus-Tuberculosis and the Generation of Drug Resistance.,Microorganisms,2024,Metformin,Tuberculosis
39667968,Therapeutic Strategies for Tuberculosis: Progress and Lessons Learned.,Biomedical and environmental sciences : BES,2024,Metformin,Tuberculosis
39649935,COVID-19 is associated with high blood glucose levels: diabetic neuropathy during the SARS-CoV-2 pandemic: a case report.,Annals of medicine and surgery (2012),2024,Metformin,Tuberculosis
39348545,TCA metabolism regulates DNA hypermethylation in LPS and Mycobacterium tuberculosis-induced immune tolerance.,Proceedings of the National Academy of Sciences of the United States of America,2024,Metformin,Tuberculosis
39341387,Development of inhaled moxifloxacin-metformin formulation as an alternative for pulmonary tuberculosis treatment.,International journal of pharmaceutics,2024,Metformin,Tuberculosis
39068772,Metformin modulates corticosteroids hormones in adrenals cells promoting Mycobacterium tuberculosis elimination in human macrophages.,"Tuberculosis (Edinburgh, Scotland)",2024,Metformin,Tuberculosis
39040177,Metformin reduces the risk of poor treatment outcomes among individuals with rifampicin-resistant tuberculosis and type-2 diabetes mellitus.,medRxiv : the preprint server for health sciences,2024,Metformin,Tuberculosis
38850838,Effect of Metformin on systemic chemokine responses during anti-tuberculosis chemotherapy.,"Tuberculosis (Edinburgh, Scotland)",2024,Metformin,Tuberculosis
38808319,"Metformin as adjunctive therapy in combination with multidrug treatment for multibacillary leprosy: A protocol for a randomized double-blind, controlled Phase 2 trial in Indonesia (MetLep Trial).",Wellcome open research,2023,Metformin,Tuberculosis
38764064,NGEF is a potential prognostic biomarker and could serve as an indicator for immunotherapy and chemotherapy in lung adenocarcinoma.,BMC pulmonary medicine,2024,Metformin,Tuberculosis
38444063,Metformin and tuberculosis: extraordinary stories of ordinary co-prevalent patients.,The Korean journal of internal medicine,2024,Metformin,Tuberculosis
38317270,Relationship between metformin use and mortality in tuberculosis patients with diabetes: a nationwide cohort study.,The Korean journal of internal medicine,2024,Metformin,Tuberculosis
38296396,Metformin has immunomodulatory effects which support its potential use as adjunctive therapy in tuberculosis.,The Indian journal of tuberculosis,2024,Metformin,Tuberculosis
38032920,Interactive effect of oral anti-hyperglycaemic or anti-hypertensive drugs on the inhibitory and bactericidal activity of first line anti-TB drugs against M. tuberculosis.,PloS one,2023,Metformin,Tuberculosis
38019456,"Effect of Metformin on Plasma Exposure of Rifampicin, Isoniazid, and Pyrazinamide in Patients on Treatment for Pulmonary Tuberculosis.",Therapeutic drug monitoring,2024,Metformin,Tuberculosis
37953605,NCoR1: a key player regulating mycobacterium tuberculosis pathogenesis.,Autophagy,2024,Metformin,Tuberculosis
37701721,Effect of Hypoglycemic Drugs on Kisspeptin Expression in the Hypothalamic Arcuate Nucleus of PCOS Rats.,"Diabetes, metabolic syndrome and obesity : targets and therapy",2023,Metformin,Tuberculosis
37646067,Long and Short-term Metformin Consumption as a Potential Therapy to Prevent Complications of COVID-19.,Advanced pharmaceutical bulletin,2023,Metformin,Tuberculosis
37590294,NCoR1 controls Mycobacterium tuberculosis growth in myeloid cells by regulating the AMPK-mTOR-TFEB axis.,PLoS biology,2023,Metformin,Tuberculosis
