PMID,Title,Journal,Year
39845887,Case report: Looking for relationship between type 1 diabetes and chronic recurrent osteomyelitis: short literature review and case presentation.,Frontiers in endocrinology,2024
39783775,Approach to anaemia in gastrointestinal disease: A position paper by the ESPGHAN Gastroenterology Committee.,Journal of pediatric gastroenterology and nutrition,2025
39407743,Microscopic Colitis: An Underestimated Disease of Growing Importance.,Journal of clinical medicine,2024
38933629,"Unravelling a Triad: A Rare Case of Takayasu Arteritis, Hashimoto's Thyroiditis, and Psoriasis in a Young Female With Heart Failure.",Cureus,2024
37905415,Single-Cell Meta-Analysis of Neutrophil Activation in Kawasaki Disease and Multisystem Inflammatory Syndrome in Children Reveals Potential Shared Immunological Drivers.,Circulation,2023
37476878,Screening of antigliadin and antitissue transglutaminase antibodies in patients with chronic plaque psoriasis: a case-control study.,Turkish journal of medical sciences,2023
36788908,Polyarteritis Nodosa Following mRNA-1273 COVID-19 Vaccination: Case Study and Review of Immunological Mechanisms.,Cureus,2023
36405733,A broad cuproptosis landscape in inflammatory bowel disease.,Frontiers in immunology,2022
34159026,A Rare Presentation of Acute Respiratory Distress Due to Diffuse Large B-Cell Lymphoma of the Tongue Base.,Cureus,2021
33384556,Multiple cerebral lesions in a patient with refractory celiac disease: A case report.,World journal of gastroenterology,2020
32101812,Cardiac Arrhythmias in Autoimmune Diseases.,Circulation journal : official journal of the Japanese Circulation Society,2020
29072309,HLA-Cw6 and psoriasis.,The British journal of dermatology,2018
28479483,Coffee and autoimmunity: More than a mere hot beverage!,Autoimmunity reviews,2017
27803799,Approach to patients with refractory coeliac disease.,F1000Research,2016
26633478,Recognising and Managing Refractory Coeliac Disease: A Tertiary Centre Experience.,Nutrients,2015
25144777,The liver in pediatric gastrointestinal disease.,Journal of pediatric gastroenterology and nutrition,2014
23842704,Orbital myositis associated with celiac disease.,International ophthalmology,2014
23448357,Celiac disease and juvenile idiopathic arthritis: a still enigmatic crossover.,Scandinavian journal of gastroenterology,2013
22922421,Large granular lymphocytic leukemia: a treatable form of refractory celiac disease.,Gastroenterology,2012
22215336,[Erdhei-Chester disease: report of one case].,Revista medica de Chile,2011
