PMID,Title,Journal,Year
40657814,Immunomodulatory therapy of chikungunya arthritis: systematic review and meta-analysis.,Journal of travel medicine,2025
40638451,Methotrexate-Induced Pneumonitis in a Patient with Chronic Chikungunya Arthritis.,Revista da Sociedade Brasileira de Medicina Tropical,2025
40510870,"Infection, Relapses, and Pseudo-Relapses in Individuals With Multiple Sclerosis.",Neurology. Clinical practice,2025
40225230,Current and future advances in practice: arboviral arthritides.,Rheumatology advances in practice,2025
40138115,The caregiver burden of idiopathic inflammatory myopathies.,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",2025
39838053,Intermittent documentation of blood pressure values does not provide comprehensive evaluation of the hemodynamic response during continuous intravenous medication administration.,Scientific reports,2025
39749575,Post-acute sequela of COVID-19 infection in individuals with multiple sclerosis.,"Multiple sclerosis (Houndmills, Basingstoke, England)",2025
39550335,Does intracranial pressure vary based on external ventricular drainage? A real-world clinical observation study.,Australian critical care : official journal of the Confederation of Australian Critical Care Nurses,2025
39450270,[Evidence map of chikungunya treatmentsMapa de la evidencia sobre el tratamiento del chikunguna].,Revista panamericana de salud publica = Pan American journal of public health,2024
39287694,[Acute polyarthritis after a stay in the Caribbean].,"Innere Medizin (Heidelberg, Germany)",2024
39158496,Evaluation of the impact of neurology electronic consults (e-consults): Experiences of a neurology resident clinic in a safety-net hospital.,Journal of telemedicine and telecare,2025
39137977,Randomised controlled trial of intermittent calorie restriction in people with multiple sclerosis.,"Journal of neurology, neurosurgery, and psychiatry",2025
38851212,"Autochtonal case of chronic, unifocal, pulmonary paracoccidioidomycosis with methotrexate use, in Salvador ‒ Brazil.",The Brazilian journal of infectious diseases : an official publication of the Brazilian Society of Infectious Diseases,2024
38715244,Polygenic liability for anxiety in association with comorbid anxiety in multiple sclerosis.,Annals of clinical and translational neurology,2024
38440114,Priority setting: women's health topics in multiple sclerosis.,Frontiers in neurology,2024
38173199,"Chikungunya Arthritis Treatment with Methotrexate and Dexamethasone: A Randomized, Double-blind, Placebo-controlled Trial.",Current rheumatology reviews,2024
37549898,Therapy for Chikungunya Arthritis: A Study of 133 Brazilian Patients.,The American journal of tropical medicine and hygiene,2023
37078888,"Building an Infectious Disease Diversity, Equity, and Antiracism (ID2EA) Curriculum: A Single Center's Experience and Reflections.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023
36561535,Development and Application of Treatment for Chikungunya Fever.,Research and reports in tropical medicine,2022
35666998,Treatment of chikungunya-associated joint pain: a systematic review of controlled clinical trials.,Transactions of the Royal Society of Tropical Medicine and Hygiene,2022
