PMID,Title,Journal,Year
39838053,Intermittent documentation of blood pressure values does not provide comprehensive evaluation of the hemodynamic response during continuous intravenous medication administration.,Scientific reports,2025
39749575,Post-acute sequela of COVID-19 infection in individuals with multiple sclerosis.,"Multiple sclerosis (Houndmills, Basingstoke, England)",2025
38578019,Analysis of network expression and immune infiltration of disulfidptosis-related genes in chronic obstructive pulmonary disease.,"Immunity, inflammation and disease",2024
38470502,Breakthrough SARS-CoV-2 infection and disease flares in patients with rheumatoid arthritis: result from COVAD e-survey study.,Rheumatology international,2024
38277521,Delayed low-dose methotrexate excretion in a rheumatoid arthritis patient: A case report and literature review.,Medicine,2024
37675163,COVID-19 in patients with rheumatological diseases in the Eastern Province of Saudi Arabia.,Journal of medicine and life,2023
36632072,"l-carnitine: Nutrition, pathology, and health benefits.",Saudi journal of biological sciences,2023
36325200,Identification of Drugs Associated with Lower Risk of Parkinson's Disease Using a Systematic Screening Approach in a Nationwide Nested Case-Control Study.,Clinical epidemiology,2022
35831185,[Primary cutaneous anaplastic large cell lymphoma with systemic progression responding to low-dose methotrexate therapy].,[Rinsho ketsueki] The Japanese journal of clinical hematology,2022
35784975,Acute Respiratory Distress Syndrome Secondary to Enterovirus-Human-Rhinovirus Infection in an Adult.,Cureus,2022
35195716,Incidence and Predictors of Community-Acquired Pneumonia in Patients With Hematological Cancers Between 2016 and 2019.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2022
34471426,"Factors associated with risk of major adverse cardiovascular events in patients with rheumatoid arthritis: a nationwide, population-based, case-control study.",Therapeutic advances in musculoskeletal disease,2021
34073252,"Risk of Chronic Obstructive Pulmonary Disease Exacerbation in Patients Who Use Methotrexate-A Nationwide Study of 58,580 Outpatients.",Biomedicines,2021
34060006,Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization and Mortality in Patients with Psoriasis: A Population-Based Study.,American journal of clinical dermatology,2021
34041953,Capnocytophaga gingivalis Bacteremia After Upper Gastrointestinal Bleeding in Immunocompromised Patient.,Journal of investigative medicine high impact case reports,2021
32911531,Epidemiologic study of patients with psoriatic arthritis in a real-world analysis: a cohort study of the French health insurance database.,"Rheumatology (Oxford, England)",2021
32778025,Self-Assemble Amphiphilic PEO-PPO-PEO Tri-Block Co-Polymeric Methotrexate Nanomicelles to Combat MCF7 Cancer Cells.,Current drug delivery,2021
32198218,Delphi consensus recommendations for a treatment algorithm in pulmonary sarcoidosis.,European respiratory review : an official journal of the European Respiratory Society,2020
31852268,Infection risk in patients undergoing treatment for inflammatory arthritis: non-biologics versus biologics.,Expert review of clinical immunology,2020
31651292,Diffuse alveolar haemorrhage associated with subsequent development of ANCA positivity and emphysema in three young adults.,BMC pulmonary medicine,2019
