PMID,Title,Journal,Year
40777707,Interstitial Lung Disease as a Herald of P-ANCA Vasculitis: A Case of Evolving Multisystem Disease.,Cureus,2025
40754287,A high-throughput microphysiological system to quantify key events leading to liver fibrosis.,Toxicology,2025
40740295,"Letter to the Editor on ""Risk of Liver Fibrosis in Patients With Psoriasis on Long-term Methotrexate: Role of Cumulative Dose and Comorbidities in 483 Patients"".",Journal of clinical and experimental hepatology,2025
40689367,Risk of Liver Fibrosis in Patients With Psoriasis on Long-term Methotrexate: Role of Cumulative Dose and Comorbidities in 483 Patients.,Journal of clinical and experimental hepatology,2025
40634211,"Methotrexate induced liver fibrosis is over estimated as assessed by transient elastography, acoustic radiation force impulse and serum markers.",Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology,2025
40572724,Ivermectin Attenuates Methotrexate-Induced Liver Fibrosis by Reducing TGF-beta and Syndecan-1 Expression.,"Medicina (Kaunas, Lithuania)",2025
40564221,"Pyridostigmine Mitigates Methotrexate-Induced Liver Fibrosis in Rats: Association with Changes in BMP-9, SIRT1, and Endoglin Expression.",Biomedicines,2025
40531491,Methotrexate improves left ventricle systolic and diastolic function in induced Takotsubo myocardiopathy rats.,Journal of cardiovascular pharmacology,2025
40529986,Karyomegalic interstitial nephritis: A case series and review of the literature on genetic insights and clinical challenges.,Clinical nephrology. Case studies,2025
40491463,Real-life characteristics and management of patients with fibrosing interstitial lung disease: INSIGHTS-ILD registry.,ERJ open research,2025
40472896,Local and Systemic Methotrexate Administration Along With Hysteroscopic Treatment of Cesarean Scar Pregnancy.,Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC,2025
40428815,Baricitinib Mitigates Methotrexate-Induced Liver Fibrosis Model via YAP Pathway.,"Medicina (Kaunas, Lithuania)",2025
40428776,Management of Myomectomy Scar Pregnancy: A Scoping Review.,"Medicina (Kaunas, Lithuania)",2025
40408226,The lack of association between cumulative MTX dose and liver fibrosis in PsA: a cohort study.,"Rheumatology (Oxford, England)",2025
40392765,Ocular Mucous Membrane Pemphigoid: Immunomodulation in a Patient with Human Immunodeficiency Virus Infection.,Ocular immunology and inflammation,2025
40376268,Unveiling the heritability of selected unexplored pharmacogenetic markers in the Saudi population.,Frontiers in pharmacology,2025
40355381,Standardized algorithm for cesarean scar pregnancy management: single-center outcomes.,"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",2025
40316198,The association between familial Mediterranean fever and incident cirrhosis: A population-based matched cohort study.,Joint bone spine,2025
40308817,"Psoriasis, metabolic syndrome and methotrexate: Is this association suitable for a new subcategory in steatotic liver disease?",World journal of hepatology,2025
40293264,Systemic Treatments for Lichen Planopilaris and Frontal Fibrosing Alopecia: A Retrospective Study of 315 Patients.,Acta dermato-venereologica,2025
