PMID,Title,Journal,Year
40936116,[Construction and Evaluation of Risk Prediction Model of Delayed Excretion in Adult Acute Lymphoblastic Leukemia Patients Treated with High-Dose Methotrexate].,Zhongguo shi yan xue ye xue za zhi,2025
40895526,"Golidocitinib was used for the first time to treat refractory NK-Large Granular lymphocytic leukemia with a STAT3 mutation, accompanied by hemolytic anemia: a case report.",Frontiers in immunology,2025
40879841,"Coenzyme Q10 may protect ovarian tissue against by the nearly century-old drug methotrexate caused gonadotoxicity: a biochemical, flow cytometric, and histopathological study.",Journal of molecular histology,2025
40822081,Bone mineral density in childhood acute lymphoblastic leukaemia survivors and factors affecting it.,"Medical journal, Armed Forces India",2025
40811598,SLC19A1-Related Folate Transport Deficiency.,,1993
40781892,Intrathecal methotrexate for meningeal acute lymphoblastic leukemia in a hemodialysis patient.,Leukemia & lymphoma,2025
40775764,Analysis of the therapeutic effect of online haemodiafiltration on delayed methotrexate excretion combined with acute kidney injury in children: a real-world study.,BMC pediatrics,2025
40771073,Effectiveness of prophylactic intrathecal chemotherapy and risk factors of central nervous system relapse after allogeneic hematopoietic cell transplantation in acute myeloid leukemia.,Leukemia & lymphoma,2025
40746920,Expression of ADAM10 and CD58 in Acute and Chronic Lymphocytic Leukemia: Influence of Disease Stage and Chemotherapy.,Iranian journal of pathology,2025
40739908,Metabolite Levels Measured Using Magnetic Resonance Spectroscopy in Pediatric Methotrexate-Induced Leukoencephalopathy.,Pediatric blood & cancer,2025
40707416,"Green Synchronous Spectrofluorimetric Analysis of Methotrxate, With 6-Mercaptopurine as Add-On Therapy of Childhood Acute Lymphoblastic Leukemia: Application in Laboratory Prepared Mixtures, Spiked Human Plasma, and Dosage Forms.",Luminescence : the journal of biological and chemical luminescence,2025
40695511,[Effects of MTHFR and GGH gene polymorphisms on plasma concentrations and toxicity following high-dose methotrexate therapy in children with acute lymphoblastic leukemia].,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,2025
40678020,Methotrexate-induced neurotoxicity: Diagnostic challenges and the role of neurophysiological testing.,Clinical neurophysiology practice,2025
40668416,DNA-incorporated thioguanine to detect potential non-adherence to maintenance therapy in acute lymphoblastic leukemia.,Cancer chemotherapy and pharmacology,2025
40664263,Effect of Anti-Thymocyte Globulin and Post-Transplant Cyclophosphamide on Graft-Versus-Host Disease Outcomes in Female Donor-to-Male Recipient Matched Unrelated Donor Allogeneic Stem Cell Transplantation for Acute Leukemia.,Transplantation and cellular therapy,2025
40652061,"Rituximab, high-dose methotrexate plus orelabrutinib as induction therapy in newly diagnosed primary central nervous system lymphoma.",Leukemia,2025
40635183,Results of a Randomized Augmented Intensification Phase in Acute Lymphoblastic Leukemia in Children in Argentina: GATLA 2010 ALL IC Trial.,Pediatric blood & cancer,2025
40621521,Assessment of the feasibility and safety of totally implantable venous access port to collect blood samples in pediatric patients with acute lymphoblastic leukemia.,Pakistan journal of medical sciences,2025
40612021,Tagraxofusp maintenance post-hematopoietic stem cell transplantation provides long-term survival and manageable safety for a patient with blastic plasmacytoid dendritic cell neoplasm.,Leukemia research reports,2025
40578533,Dynamics of monocytic myeloid-derived suppressor cell recovery and interleukin-10 production on graft-versus-host disease and cytomegalovirus reactivation after allogeneic hematopoietic cell transplantation.,Transplant immunology,2025
