PMID,Title,Journal,Year
40893823,Methotrexate-Induced Leukocytoclastic Vasculitis: A Case Report and Literature Review.,"Clinical, cosmetic and investigational dermatology",2025
40795260,Coexistence of eosinophilic fasciitis and systemic lupus erythematosus: a case-based review.,Modern rheumatology case reports,2025
40787733,Non-targeted immunosuppressive and immunomodulatory therapies for idiopathic inflammatory myopathies.,The Cochrane database of systematic reviews,2025
40654218,A Case of Rowell Syndrome: Excellent Response to Oral Cyclosporine.,Acta dermatovenerologica Croatica : ADC,2024
40648952,Challenging Clinical Therapeutic Approach to Urticarial Vasculitis: A Case Series.,Journal of clinical medicine,2025
40630120,Gene polymorphisms associated with immunosuppressant adverse effects in systemic lupus erythematosus: a narrative review.,Frontiers in genetics,2025
40586251,Coexistence of Mycosis Fungoides and Photosensitive or Autoimmune Diseases. The Therapeutic Challenge: A retrospective Case Series from a Tertiary Referral Center.,The Israel Medical Association journal : IMAJ,2025
40473266,Comorbid psoriasis in systemic lupus erythematosus: a cohort study from a tertiary referral centre and the National Patient Register in Sweden.,Lupus science & medicine,2025
40455606,Alternation of anti-NMDA receptor subunit GluN2 antibody in a patient with SLE who promptly developed anxiety after belimumab.,Immunological medicine,2025
40405395,Tofacitinib Versus Methotrexate in Treating Mucocutaneous and Musculoskeletal Lesions of Systemic Lupus Erythematosus: Real-World Results From the CSTAR Cohort XXXII.,International journal of rheumatic diseases,2025
40401342,Clinical characteristics and efficacy of intrathecal therapy in pediatric lupus encephalopathy.,Lupus,2025
40395511,Oral ulcer in systemic lupus erythematosus: a case of methotrexate-induced Epstein-Barr virus infection.,Rheumatology advances in practice,2025
40388750,Anifrolumab for refractory discoid lupus: Two case reports of successful outcomes in Saudi Arabia.,Medicine,2025
40314052,Oral Deucravacitinib for Treatment-Refractory Cutaneous Lupus Erythematosus.,Cureus,2025
40256995,Recommendations for the Use of Disease-Modifying Antirheumatic Drugs in Pregnancy and Reproductive Health for Patients With Rheumatic Disease: A Scoping Review.,Arthritis care & research,2025
40213173,Acute spontaneous hemorrhagic cholecystitis with systemic lupus erythematosus and antiphospholipid antibody syndrome: a case report and literature review.,Annals of medicine and surgery (2012),2025
39955099,Characteristics of Overlap Syndrome in a Large Cohort of Brazilian Patients With Systemic Sclerosis: A Retrospective Analysis.,The Journal of rheumatology,2025
39934822,Blood-CSF barrier clearance of ABC transporter substrates is suppressed by interleukin-6 in lupus choroid plexus spheroids.,Fluids and barriers of the CNS,2025
39759646,Evolving Treatment Strategies for Systemic Lupus Erythematosus in Clinical Practice: A Narrative Review.,Cureus,2024
39675778,A review on toxic epidermal necrolysis-like superficial wound lesions: Issue and challenge on 10 clinical entities.,International wound journal,2024
