pmid,title,journal,year,drug,disease
37479802,Concentration of low-density lipoproteins (LDL) is significantly reduced after nilotinib discontinuation.,Scientific reports,2023,Nilotinib,Arteriosclerosis Cardiovascular disease
34090174,Nilotinib-Associated Atherosclerosis Presenting as Multifocal Intracranial Stenosis and Acute Stroke.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2021,Nilotinib,Arteriosclerosis Cardiovascular disease
32348984,Cardiovascular Toxicity in Cancer Patients Treated with Tyrosine Kinase Inhibitors: A Real-World Single-Center Experience.,Oncology,2020,Nilotinib,Arteriosclerosis Cardiovascular disease
31280877,Progressive cardiovascular disease in a patient under treatment with nilotinib.,Clinica e investigacion en arteriosclerosis : publicacion oficial de la Sociedad Espanola de Arteriosclerosis,2020,Nilotinib,Arteriosclerosis Cardiovascular disease
31029618,"Influence of Tyrosine Kinase Inhibitor, Nilotinib, on Delayed Healing of Bare-Metal Stents in Superficial Femoral Arteries: Insights From Angioscopic Findings.",JACC. Cardiovascular interventions,2019,Nilotinib,Arteriosclerosis Cardiovascular disease
30861282,Tyrosine kinase inhibitor toxicity manifesting as comorbid Moyamoya syndrome and obstructive coronary artery disease: A case report and review of the literature.,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,2019,Nilotinib,Arteriosclerosis Cardiovascular disease
29946911,Features of vascular adverse events in Japanese patients with chronic myeloid leukemia treated with tyrosine kinase inhibitors: a retrospective study of the CML Cooperative Study Group database.,Annals of hematology,2018,Nilotinib,Arteriosclerosis Cardiovascular disease
29515064,[Clinical characteristics of vascular adverse events and significance of peripheral artery disease as a risk factor in chronic myeloid leukemia patients treated with nilotinib].,[Rinsho ketsueki] The Japanese journal of clinical hematology,2018,Nilotinib,Arteriosclerosis Cardiovascular disease
28803825,Cardiovascular Events After Exposure to Nilotinib in Chronic Myeloid Leukemia: Long-term Follow-up.,"Clinical lymphoma, myeloma & leukemia",2017,Nilotinib,Arteriosclerosis Cardiovascular disease
28757617,Nilotinib-induced vasculopathy: identification of vascular endothelial cells as a primary target site.,Leukemia,2017,Nilotinib,Arteriosclerosis Cardiovascular disease
27941169,Nilotinib attenuates endothelial dysfunction and liver damage in high-cholesterol-fed rabbits.,Human & experimental toxicology,2017,Nilotinib,Arteriosclerosis Cardiovascular disease
27527867,Genetic predisposition and induced pro-inflammatory/pro-oxidative status may play a role in increased atherothrombotic events in nilotinib treated chronic myeloid leukemia patients.,Oncotarget,2016,Nilotinib,Arteriosclerosis Cardiovascular disease
26778735,Nilotinib as a risk factor for ischaemic stroke: A series of three cases.,"Neurologia (Barcelona, Spain)",2017,Nilotinib,Arteriosclerosis Cardiovascular disease
26635034,Hyperhomocysteinemia and high doses of nilotinib favor cardiovascular events in chronic phase Chronic Myelogenous Leukemia patients.,Haematologica,2016,Nilotinib,Arteriosclerosis Cardiovascular disease
26139550,[Peripheral artery occlusive disease of the lower limbs: Rapid aggravation in a patient taking nilotinib for chronic myeloid leukemia].,Journal des maladies vasculaires,2015,Nilotinib,Arteriosclerosis Cardiovascular disease
25619238,Are nilotinib-associated vascular adverse events an under-estimated problem?,Fundamental & clinical pharmacology,2015,Nilotinib,Arteriosclerosis Cardiovascular disease
25238138,Rapid clinical improvement of peripheral artery occlusive disease symptoms after nilotinib discontinuation despite persisting vascular occlusion.,Blood cancer journal,2014,Nilotinib,Arteriosclerosis Cardiovascular disease
24797802,Rapid onset of peripheral artery disease in a chronic myeloid leukemia patient without prior arterial disorder: direct relationship with nilotinib exposure and clinical outcome.,European journal of haematology,2015,Nilotinib,Arteriosclerosis Cardiovascular disease
23604230,Nilotinib treatment-associated accelerated atherosclerosis: when is the risk justified?,Leukemia,2013,Nilotinib,Arteriosclerosis Cardiovascular disease
23506097,Progressive peripheral arterial occlusive disease and other vascular events during nilotinib therapy in chronic myeloid leukemia: a single institution study.,European journal of haematology,2013,Nilotinib,Arteriosclerosis Cardiovascular disease
23459450,"Rates of peripheral arterial occlusive disease in patients with chronic myeloid leukemia in the chronic phase treated with imatinib, nilotinib, or non-tyrosine kinase therapy: a retrospective cohort analysis.",Leukemia,2013,Nilotinib,Arteriosclerosis Cardiovascular disease
23459449,Peripheral artery occlusive disease in chronic phase chronic myeloid leukemia patients treated with nilotinib or imatinib.,Leukemia,2013,Nilotinib,Arteriosclerosis Cardiovascular disease
22271904,Clinical cardiac safety profile of nilotinib.,Haematologica,2012,Nilotinib,Arteriosclerosis Cardiovascular disease
21813414,Severe peripheral arterial disease during nilotinib therapy.,Journal of the National Cancer Institute,2011,Nilotinib,Arteriosclerosis Cardiovascular disease
21674581,"Choosing the right TKI for chronic myeloid leukemia: when the truth lies in ""long-term"" safety and efficacy.",American journal of hematology,2011,Nilotinib,Arteriosclerosis Cardiovascular disease
21630307,Nilotinib treatment-associated peripheral artery disease and sudden death: yet another reason to stick to imatinib as front-line therapy for chronic myelogenous leukemia.,American journal of hematology,2011,Nilotinib,Arteriosclerosis Cardiovascular disease
21538470,Progressive peripheral arterial occlusive disease and other vascular events during nilotinib therapy in CML.,American journal of hematology,2011,Nilotinib,Arteriosclerosis Cardiovascular disease
20307244,Fatal myocardial infarction during nilotinib treatment in a 60-year-old male patient.,"Acta oncologica (Stockholm, Sweden)",2010,Nilotinib,Arteriosclerosis Cardiovascular disease
