pmid,title,journal,year,drug,disease
39145083,Comparative efficacy and safety of first-line tyrosine kinase inhibitors in chronic myeloid leukemia: a systematic review and network meta-analysis.,Translational cancer research,2024,Nilotinib,Chronic Liver Disease
38388466,Cirrhotic-extracellular matrix attenuates aPD-1 treatment response by initiating immunosuppressive neutrophil extracellular traps formation in hepatocellular carcinoma.,Experimental hematology & oncology,2024,Nilotinib,Chronic Liver Disease
37464887,Imatinib mesylate-induced acute hepatotoxicity.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2023,Nilotinib,Chronic Liver Disease
37460041,Inhibition of Abelson Tyrosine-Protein Kinase 2 Suppresses the Development of Alcohol-Associated Liver Disease by Decreasing PPARgamma Expression.,Cellular and molecular gastroenterology and hepatology,2023,Nilotinib,Chronic Liver Disease
37031398,"Kinetic of liver enzymes and serum electrolytes in HCV, HBV, and HIV negative chronic phase chronic myeloid leukemia patients treated with imatinib or nilotinib.",The Egyptian journal of immunology,2023,Nilotinib,Chronic Liver Disease
35664044,The effect of comorbidities on the choice of tyrosine kinase inhibitors in patients with chronic myeloid leukemia.,International journal of hematologic oncology,2022,Nilotinib,Chronic Liver Disease
35651314,Life threatening hepatotoxicity induced by Nilotinib.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2023,Nilotinib,Chronic Liver Disease
34292334,Comparison of Hepatotoxicity Associated With New BCR-ABL Tyrosine Kinase Inhibitors vs Imatinib Among Patients With Chronic Myeloid Leukemia: A Systematic Review and Meta-analysis.,JAMA network open,2021,Nilotinib,Chronic Liver Disease
33634241,Tyrosine kinase inhibitor resistance: a case report on chronic myeloid leukemia and Gilbert's syndrome.,AME case reports,2021,Nilotinib,Chronic Liver Disease
33050924,Home Treatment of Older People with Symptomatic SARS-CoV-2 Infection (COVID-19): A structured Summary of a Study Protocol for a Multi-Arm Multi-Stage (MAMS) Randomized Trial to Evaluate the Efficacy and Tolerability of Several Experimental Treatments to Reduce the Risk of Hospitalisation or Death in outpatients aged 65 years or older (COVERAGE trial).,Trials,2020,Nilotinib,Chronic Liver Disease
32899072,Nilotinib-induced liver injury: A case report.,Medicine,2020,Nilotinib,Chronic Liver Disease
32557125,Pathological findings suggesting vascular endothelial damage in multiple organs in chronic myelogenous leukemia patients on long-term tyrosine kinase inhibitor therapy.,International journal of hematology,2020,Nilotinib,Chronic Liver Disease
31643762,Nilotinib.,,2012,Nilotinib,Chronic Liver Disease
32089708,Antifibrotic Effect of Combination of Nilotinib and Stem Cell-Conditioned Media on CCl(4)-Induced Liver Fibrosis.,Stem cells international,2020,Nilotinib,Chronic Liver Disease
31245199,Novel Score-based Decision Approach in Chronic Myeloid Leukemia Patients After Acute Toxic Imatinib-induced Liver Injury.,Cureus,2019,Nilotinib,Chronic Liver Disease
30180449,[Hepatic adverse events associated with tyrosine kinase inhibitors in patients with chronic myeloid leukemia].,Zhonghua nei ke za zhi,2018,Nilotinib,Chronic Liver Disease
29946549,"The BCR-ABL1 Inhibitors Imatinib and Ponatinib Decrease Plasma Cholesterol and Atherosclerosis, and Nilotinib and Ponatinib Activate Coagulation in a Translational Mouse Model.",Frontiers in cardiovascular medicine,2018,Nilotinib,Chronic Liver Disease
29337310,OATP1B2 deficiency protects against paclitaxel-induced neurotoxicity.,The Journal of clinical investigation,2018,Nilotinib,Chronic Liver Disease
27491883,Nilotinib reverses ABCB1/P-glycoprotein-mediated multidrug resistance but increases cardiotoxicity of doxorubicin in a MDR xenograft model.,Toxicology letters,2016,Nilotinib,Chronic Liver Disease
