pmid,title,journal,year,drug,disease
40920588,Histopathologic and Clinical Characteristics of Cutaneous Toxicities of Tyrosine Kinase Inhibitors: Insights Into Pathologic Mechanisms From a Retrospective Cohort.,The American Journal of dermatopathology,2025,Nilotinib,Cirrhosis
40732226,Computational Insights into the Polypharmacological Landscape of BCR-ABL Inhibitors: Emphasis on Imatinib and Nilotinib.,"Pharmaceuticals (Basel, Switzerland)",2025,Nilotinib,Cirrhosis
39647393,Chemotherapeutic potential of radotinib against blood and solid tumors: A beacon of hope in drug repurposing.,Bioorganic chemistry,2025,Nilotinib,Cirrhosis
39580714,Computational approach towards repurposing of FDA approved drug molecules: strategy to combat antibiotic resistance conferred by Pseudomonas aeruginosa.,Journal of biomolecular structure & dynamics,2024,Nilotinib,Cirrhosis
39024368,"In-silico discovery of common molecular signatures for which SARS-CoV-2 infections and lung diseases stimulate each other, and drug repurposing.",PloS one,2024,Nilotinib,Cirrhosis
38388466,Cirrhotic-extracellular matrix attenuates aPD-1 treatment response by initiating immunosuppressive neutrophil extracellular traps formation in hepatocellular carcinoma.,Experimental hematology & oncology,2024,Nilotinib,Cirrhosis
38045041,Remodeling of the liver fibrosis microenvironment based on nilotinib-loaded multicatalytic nanozymes with boosted antifibrogenic activity.,Acta pharmaceutica Sinica. B,2023,Nilotinib,Cirrhosis
37879930,[Nilotinib-loaded gelatin methacryloyl microneedles patch for the treatment of cardiac dysfunction after myocardial infarction].,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,2023,Nilotinib,Cirrhosis
37469867,Myelofibrosis at diagnosis is associated with the failure of treatment-free remission in CML patients.,Frontiers in pharmacology,2023,Nilotinib,Cirrhosis
37452432,Chloroquine Intervenes Nephrotoxicity of Nilotinib through Deubiquitinase USP13-Mediated Stabilization of Bcl-XL.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2023,Nilotinib,Cirrhosis
37194065,Inhibition of discoidin domain receptor (DDR)-1 with nilotinib alters CSF miRNAs and is associated with reduced inflammation and vascular fibrosis in Alzheimer's disease.,Journal of neuroinflammation,2023,Nilotinib,Cirrhosis
36949176,"Bioinformatics-based investigation on the genetic influence between SARS-CoV-2 infections and idiopathic pulmonary fibrosis (IPF) diseases, and drug repurposing.",Scientific reports,2023,Nilotinib,Cirrhosis
35268401,Future Treatment Options in Systemic Sclerosis-Potential Targets and Ongoing Clinical Trials.,Journal of clinical medicine,2022,Nilotinib,Cirrhosis
34152210,Unexpected pancytopenia: Dasatinib induced aplastic anemia in chronic myeloid leukemia.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2022,Nilotinib,Cirrhosis
33855079,The Potential Safe Antifibrotic Effect of Stem Cell Conditioned Medium and Nilotinib Combined Therapy by Selective Elimination of Rat Activated HSCs.,BioMed research international,2021,Nilotinib,Cirrhosis
32566462,Peripheral Artery Disease and Stroke.,Journal of cardiovascular echography,2020,Nilotinib,Cirrhosis
32089708,Antifibrotic Effect of Combination of Nilotinib and Stem Cell-Conditioned Media on CCl(4)-Induced Liver Fibrosis.,Stem cells international,2020,Nilotinib,Cirrhosis
32006713,Nilotinib Treatment of Patients Affected by Chronic Graft-versus-Host Disease Reduces Collagen Production and Skin Fibrosis by Downmodulating the TGF-beta and p-SMAD Pathway.,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,2020,Nilotinib,Cirrhosis
31978365,Pathogenic Potential of Hic1-Expressing Cardiac Stromal Progenitors.,Cell stem cell,2020,Nilotinib,Cirrhosis
31837823,Extracellular matrix-penetrating nanodrill micelles for liver fibrosis therapy.,Biomaterials,2020,Nilotinib,Cirrhosis
31396972,Increasing the effectiveness of tyrosine kinase inhibitor (TKI) in combination with a statin in reducing liver fibrosis.,Clinical and experimental pharmacology & physiology,2019,Nilotinib,Cirrhosis
31245199,Novel Score-based Decision Approach in Chronic Myeloid Leukemia Patients After Acute Toxic Imatinib-induced Liver Injury.,Cureus,2019,Nilotinib,Cirrhosis
33543006,Adherent muscle connective tissue fibroblasts are phenotypically and biochemically equivalent to stromal fibro/adipogenic progenitors.,Matrix biology plus,2019,Nilotinib,Cirrhosis
30813141,Imatinib-induced irreversible interstitial lung disease: A case report.,Medicine,2019,Nilotinib,Cirrhosis
30207194,Protective effects of combined Losartan and Nilotinib on carbon tetrachloride (CCl(4))-induced liver fibrosis in rats.,Drug and chemical toxicology,2020,Nilotinib,Cirrhosis
29508628,Drug-associated pulmonary arterial hypertension.,"Clinical toxicology (Philadelphia, Pa.)",2018,Nilotinib,Cirrhosis
29408302,The role of small molecule platelet-derived growth factor receptor (PDGFR) inhibitors in the treatment of neoplastic disorders.,Pharmacological research,2018,Nilotinib,Cirrhosis
28698448,[A Case of Chronic Myelogenous Leukemia That Developed Fibrous Pericarditis Owing to Nilotinib Use].,Gan to kagaku ryoho. Cancer & chemotherapy,2017,Nilotinib,Cirrhosis
28584790,Ameliorative Effects of Nilotinib on CCl4 Induced Liver Fibrosis Via Attenuation of RAGE/HMGB1 Gene Expression and Oxidative Stress in Rat.,Chonnam medical journal,2017,Nilotinib,Cirrhosis
28416739,TKI rotation-induced persistent deep molecular response in multi-resistant blast crisis of Ph+ CML.,Oncotarget,2017,Nilotinib,Cirrhosis
27764539,Different anti-remodeling effect of nilotinib and fluticasone in a chronic asthma model.,The Korean journal of internal medicine,2016,Nilotinib,Cirrhosis
27376715,Pharmacological blockage of fibro/adipogenic progenitor expansion and suppression of regenerative fibrogenesis is associated with impaired skeletal muscle regeneration.,Stem cell research,2016,Nilotinib,Cirrhosis
27111463,Induction of Scleroderma Fibrosis in Skin-Humanized Mice by Administration of Anti-Platelet-Derived Growth Factor Receptor Agonistic Autoantibodies.,"Arthritis & rheumatology (Hoboken, N.J.)",2016,Nilotinib,Cirrhosis
26844915,"Beneficial effects of nilotinib, tyrosine kinase inhibitor on cyclosporine-A induced renal damage in rats.",International immunopharmacology,2016,Nilotinib,Cirrhosis
26834633,New Insight into the Anti-liver Fibrosis Effect of Multitargeted Tyrosine Kinase Inhibitors: From Molecular Target to Clinical Trials.,Frontiers in pharmacology,2015,Nilotinib,Cirrhosis
26414960,Diversity of Interstitial Lung Fibroblasts Is Regulated by Platelet-Derived Growth Factor Receptor alpha Kinase Activity.,American journal of respiratory cell and molecular biology,2016,Nilotinib,Cirrhosis
26293752,Amelioration of experimentally induced diabetic nephropathy and renal damage by nilotinib.,Journal of physiology and biochemistry,2015,Nilotinib,Cirrhosis
26283632,"Nilotinib (Tasigna) in the treatment of early diffuse systemic sclerosis: an open-label, pilot clinical trial.",Arthritis research & therapy,2015,Nilotinib,Cirrhosis
26250053,Macrophages decide between regeneration and fibrosis in muscle.,Trends in endocrinology and metabolism: TEM,2015,Nilotinib,Cirrhosis
26053624,Nilotinib reduces muscle fibrosis in chronic muscle injury by promoting TNF-mediated apoptosis of fibro/adipogenic progenitors.,Nature medicine,2015,Nilotinib,Cirrhosis
25517484,Bone marrow fibrosis may be an effective independent predictor of the 'TKI drug response level' in chronic myeloid leukemia.,"Hematology (Amsterdam, Netherlands)",2015,Nilotinib,Cirrhosis
25284748,Discoidin domain receptor 1 (DDR1) kinase as target for structure-based drug discovery.,Drug discovery today,2015,Nilotinib,Cirrhosis
25115651,Tracking anti-fibrotic pathways of nilotinib and imatinib in experimentally induced liver fibrosis: an insight.,Clinical and experimental pharmacology & physiology,2014,Nilotinib,Cirrhosis
24351780,Off-Target Effects of BCR-ABL and JAK2 Inhibitors.,American journal of clinical oncology,2016,Nilotinib,Cirrhosis
24013728,Levels of target activation predict antifibrotic responses to tyrosine kinase inhibitors.,Annals of the rheumatic diseases,2013,Nilotinib,Cirrhosis
23499874,Nilotinib induces apoptosis and autophagic cell death of activated hepatic stellate cells via inhibition of histone deacetylases.,Biochimica et biophysica acta,2013,Nilotinib,Cirrhosis
22940072,Combined inhibition of c-Abl and PDGF receptors for prevention and treatment of murine sclerodermatous chronic graft-versus-host disease.,The American journal of pathology,2012,Nilotinib,Cirrhosis
22523431,Fra-2 transgenic mice as a novel model of pulmonary hypertension associated with systemic sclerosis.,Annals of the rheumatic diseases,2012,Nilotinib,Cirrhosis
21925495,"Comparison of early treatment with low doses of nilotinib, imatinib and a clinically relevant dose of silymarin in thioacetamide-induced liver fibrosis.",European journal of pharmacology,2011,Nilotinib,Cirrhosis
21757767,"Fibrosis, regeneration, and aging: playing chess with evolution.",Journal of the American Society of Nephrology : JASN,2011,Nilotinib,Cirrhosis
