PMID,Title,Journal,Year
36113328,Acid suppressants use and risk of atherosclerotic cardiovascular disease in middle-aged and older adults.,Atherosclerosis,2022
33346428,"[Upper gastrointestinal bleeding in patients with stable coronary artery disease (registry of antithrombotic therapy ""REGATcapital TE, CyrillicA"" results)].",Terapevticheskii arkhiv,2020
29900874,"Dabigatran in patients with myocardial injury after non-cardiac surgery (MANAGE): an international, randomised, placebo-controlled trial.","Lancet (London, England)",2018
29425645,"Repeated administration of Sailuotong, a fixed combination of Panax ginseng, Ginkgo biloba, and Crocus sativus extracts for vascular dementia, alters CYP450 activities in rats.",Phytomedicine : international journal of phytotherapy and phytopharmacology,2018
28803655,Usefulness of PA32540 in Protecting the Gastric Layer While Providing Secondary Prevention for Coronary Artery Disease.,The American journal of cardiology,2017
27937054,Efficacy of aspirin (325 mg) + omeprazole (40 mg) in treating coronary artery disease.,Expert opinion on pharmacotherapy,2017
27289472,"Drug Interaction Between Clopidogrel and Ranitidine or Omeprazole in Stable Coronary Artery Disease: A Double-Blind, Double Dummy, Randomized Study.","American journal of cardiovascular drugs : drugs, devices, and other interventions",2016
27092494,Asymmetric Dimethylarginine versus Proton Pump Inhibitors Usage in Patients with Stable Coronary Artery Disease: A Cross-Sectional Study.,International journal of molecular sciences,2016
26514161,Individual Proton Pump Inhibitors and Outcomes in Patients With Coronary Artery Disease on Dual Antiplatelet Therapy: A Systematic Review.,Journal of the American Heart Association,2015
26071277,"Omeprazole, pantoprazole, and CYP2C19 effects on clopidogrel pharmacokinetic-pharmacodynamic relationships in stable coronary artery disease patients.",European journal of clinical pharmacology,2015
23728549,Acid reflux in patients with coronary artery disease and refractory chest pain.,"Internal medicine (Tokyo, Japan)",2013
22886368,Impact of proton pump inhibitors or famotidine on the antiplatelet actions during dual-antiplatelet therapy in Japanese patients.,Cardiovascular intervention and therapeutics,2013
22472213,Effects of PPIs and an H2 blocker on the antiplatelet function of clopidogrel in Japanese patients under dual antiplatelet therapy.,Journal of atherosclerosis and thrombosis,2012
21939510,"Improvement in health-related quality of life after therapy with omeprazole in patients with coronary artery disease and recurrent angina-like chest pain. A double-blind, placebo-controlled trial of the SF-36 survey.",Health and quality of life outcomes,2011
21646646,"Prospective, randomized, placebo-controlled evaluation of esomeprazole in coronary artery disease patients. EPAC: esomeprazole prevention of atypical chest pains.",The Journal of invasive cardiology,2011
21358542,Safety of clopidogrel and proton pump inhibitors in patients undergoing drug-eluting stent implantation.,Coronary artery disease,2011
21323549,Clopidogrel with or without omeprazole in coronary disease.,The New England journal of medicine,2011
21323548,Clopidogrel with or without omeprazole in coronary disease.,The New England journal of medicine,2011
21266209,Proton pump inhibitor co-therapy with clopidogrel: is there GI benefit or cardiovascular harm?,Gastroenterology,2011
21144850,"Esomeprazole with clopidogrel reduces peptic ulcer recurrence, compared with clopidogrel alone, in patients with atherosclerosis.",Gastroenterology,2011
