PMID,Title,Journal,Year
40035552,Comparative Analysis of the Efficacy of Esomeprazole and Ilaprazole in Patients With Neurological Disorders Using the Gastroesophageal Reflux Disease Questionnaire.,Clinical neuropharmacology,2025
39202728,The Role of the Pharmacist in a Patient's Care for Individuals Undergoing Anticoagulant Therapy: A Case Report.,"Life (Basel, Switzerland)",2024
38594198,Severe DRESS with myocarditis secondary to naproxen/esomeprazole.,BMJ case reports,2024
40729260,Suspected Hematuria: Adverse Effects of Rivaroxaban in Older Adult Treated for Atrial Fibrillation.,Reports (MDPI),2024
36426345,A 98-Year-Old Male With Paroxysmal Atrial Fibrillation Treated for COVID-19 at Home.,Cureus,2022
35697453,Association of direct oral anticoagulant-proton pump inhibitor cotherapy with adverse outcomes: protocol for a population-based cohort study.,BMJ open,2022
34285841,Abdominal Pain Caused by Occlusion of the Celiac Trunk and Superior Mesenteric Artery in Addition to Irritable Bowel Syndrome: Case Series and Literature Review.,Cureus,2021
33151969,Current status of proton pump inhibitor use in Japanese elderly patients with non-valvular atrial fibrillation: A subanalysis of the ANAFIE Registry.,PloS one,2020
31975993,"Ranolazine Induced Bradycardia, Renal Failure, and Hyperkalemia: A BRASH Syndrome Variant.",Case reports in medicine,2019
31895873,The Effect of Proton Pump Inhibitor Withdrawal on Dabigatran Etexilate Plasma Levels in Patients With Atrial Fibrillation: A Washout Study.,Journal of cardiovascular pharmacology,2020
31250945,Proton pump inhibitors co-prescribed with warfarin reduce warfarin control as measured by time in therapeutic range.,International journal of clinical practice,2019
30951424,Digoxin toxicity precipitated by Helicobacter pylori eradication therapy.,"British journal of hospital medicine (London, England : 2005)",2019
30747244,Dabigatran levels in omeprazole versus pantoprazole-treated patients with atrial fibrillation: is there a difference?,European journal of clinical pharmacology,2019
30182626,[Severe hypomagnesaemia due to proton pump inhibitor use].,Nederlands tijdschrift voor geneeskunde,2018
29025777,Oesophageal ischaemia: an uncommon cause of chest pain.,BMJ case reports,2017
28452843,The Impact of Proton Pump Inhibition on Dabigatran Levels in Patients With Atrial Fibrillation.,American journal of therapeutics,2019
22018015,Clinical update on nursing home medicine: 2011.,Journal of the American Medical Directors Association,2011
19091282,Successful treatment of gastric perforation with thyrotoxic crisis.,The American journal of emergency medicine,2008
18402952,Esophageal ulceration from high-intensity focused US catheter ablation for pulmonary vein isolation: a novel complication in the treatment of symptomatic refractory atrial fibrillation.,Gastrointestinal endoscopy,2008
17458401,Omeprazole-associated digoxin toxicity.,Southern medical journal,2007
