PMID,Title,Journal,Year
37746961,A review of the long-term use of proton pump inhibitors and risk of celiac disease in the context of HLA-DQ2 and HLA-DQ8 genetic predisposition.,Medicine,2023
36909030,Collagenous Gastritis: An Atypical Presentation of a Rare Disease.,Cureus,2023
36687454,Pancreatic enzyme supplementation versus placebo for improvement of gastrointestinal symptoms in non-responsive celiac disease: A cross-over randomized controlled trial.,Frontiers in medicine,2022
33555324,Association Between Proton Pump Inhibitor Use and Risk of Asthma in Children.,JAMA pediatrics,2021
32871870,Celiac disease serology and gut microbiome following proton pump inhibitor treatment.,Medicine,2020
32799423,Effect of Common Medications on the Expression of SARS-CoV-2 Entry Receptors in Kidney Tissue.,Clinical and translational science,2020
31383006,A case of checkpoint inhibitor-induced celiac disease.,Journal for immunotherapy of cancer,2019
29938442,Low hba1c; Is It Dapsone?,"Journal of Ayub Medical College, Abbottabad : JAMC",2018
25138901,"Effect of omeprazole dose, nonsteroidal anti-inflammatory agents, and smoking on repair mechanisms in acute peptic ulcer bleeding.",Digestive diseases and sciences,2014
23078989,"An unusual referral for epigastric pain, nausea, abdominal bloating, diarrhea, and weight loss.",Gastroenterology,2012
21969282,Duodenal ulceration in a patient with celiac disease and plasminogen I deficiency: coincidence or cofactors?,Pediatrics,2011
15921373,"Role of autoimmune gastritis, Helicobacter pylori and celiac disease in refractory or unexplained iron deficiency anemia.",Haematologica,2005
12631661,Reflux oesophagitis in adult coeliac disease: beneficial effect of a gluten free diet.,Gut,2003
11083372,Gastroduodenal ulcers in the Helicobacter pylori era.,"Acta paediatrica (Oslo, Norway : 1992)",2000
10856459,Role of gastric acid secretion in progression of acute gastric erosions induced by ischemia-reperfusion into gastric ulcers.,European journal of pharmacology,2000
10486354,Effects of Helicobacter pylori eradication on the natural history of lymphocytic gastritis.,Gut,1999
9641739,Effects of a proton-pump inhibitor in cystic fibrosis.,"Acta paediatrica (Oslo, Norway : 1992)",1998
9450509,The role of endogenous acid in the development of acute gastric ulcer induced by ischemia-reperfusion in the rat.,Life sciences,1998
8913334,A new gastric ulcer model induced by ischemia-reperfusion in the rat: role of leukocytes on ulceration in rat stomach.,Life sciences,1996
7774757,"Effects of pancreatic digestive enzymes, sodium bicarbonate, and a proton pump inhibitor on steatorrhoea caused by pancreatic diseases.",The Journal of international medical research,1995
