PMID,Title,Journal,Year
40834017,Updating understanding of real-world adverse events associated with omeprazole.,PloS one,2025
40568292,"Dermatomyositis, Rhabdomyolysis, and Statin-Induced Myopathy: A Case Report Illustrating the Spectrum of Myopathy.",Cureus,2025
39716090,Accelerated risk of renal disease progression in pre-ESRD patients with proton pump inhibitors use: a nationwide population-based study.,BMC nephrology,2024
39627545,"Proton Pump Inhibitor Use and Worsening Kidney Function: A Retrospective Cohort Study Including 122,606 Acid-Suppressing Users.",Journal of general internal medicine,2025
39252259,A case report of Stevens-Johnson syndrome caused by omeprazole.,Medicine,2024
39229932,Effects of Prolonged Proton-Pump Inhibitor Use on Renal Dysfunction and Bone Fragility.,The Annals of pharmacotherapy,2025
39148544,Association between PCSK9 inhibitors and acute kidney injury: a pharmacovigilance study.,Frontiers in pharmacology,2024
39138312,Proton pump inhibitors may increase the risk of cisplatin-induced acute kidney injury in patients with nasopharyngeal carcinoma: a prospective cohort study.,Scientific reports,2024
39061988,Association between Proton Pump Inhibitor Use and Risk of Incident Chronic Kidney Disease: Systematic Review and Meta-Analysis.,Biomedicines,2024
38453697,Blockade of aryl hydrocarbon receptor restricts omeprazole-induced chronic kidney disease.,"Journal of molecular medicine (Berlin, Germany)",2024
38393922,Assessment of drug utilization and potentially inappropriate medications in hemodialysis patients with end-stage renal dysfunction: A study in a tertiary care hospital in Bahrain.,The International journal of risk & safety in medicine,2024
37874019,Gastric pH and serum gastrin concentration in age-matched healthy dogs and dogs with chronic kidney disease.,Journal of veterinary internal medicine,2023
39206650,Prescribing Practices of QT Interval Prolonging Drugs in Critically Ill Older Adults in South India.,Kathmandu University medical journal (KUMJ),2023
36794273,Proton-pump inhibitor use amongst patients with severe hypomagnesemia.,Frontiers in pharmacology,2023
36243147,Proton pump inhibitor-induced risk of chronic kidney disease is associated with increase of indoxyl sulfate synthesis via inhibition of CYP2E1 protein degradation.,Chemico-biological interactions,2022
35612708,Results From Phase I Studies Investigating the Dose Linearity of Finerenone Tablets and the Influence of Food or pH-Modifying Comedications on its Pharmacokinetics in Healthy Male Volunteers.,European journal of drug metabolism and pharmacokinetics,2022
35096333,Effects of the Long-term Treatment of Proton Pump Inhibitors on the Function of Kidney and Liver in Laboratory Female Rats.,Archives of Razi Institute,2021
35014666,Helicobacter pylori eradication in renal transplant candidates.,Jornal brasileiro de nefrologia,2022
34590746,"Appetite-stimulating effects of once-daily omeprazole in cats with chronic kidney disease: Double-blind, placebo-controlled, randomized, crossover trial.",Journal of veterinary internal medicine,2021
34301322,"Abrupt-onset, profound erectile dysfunction in a healthy young man after initiating over-the-counter omeprazole: a case report.",Journal of medical case reports,2021
