PMID,Title,Journal,Year
39611473,[Corrigendum] Anti‑carcinogenic properties of omeprazole against human colon cancer cells and azoxymethane‑induced colonic aberrant crypt foci formation in rats.,International journal of oncology,2025
36243147,Proton pump inhibitor-induced risk of chronic kidney disease is associated with increase of indoxyl sulfate synthesis via inhibition of CYP2E1 protein degradation.,Chemico-biological interactions,2022
34341012,Proton Pump Inhibitor Omeprazole Suppresses Carcinogen-induced Colonic Adenoma Progression to Adenocarcinoma in F344 Rat.,"Cancer prevention research (Philadelphia, Pa.)",2021
34251045,"No association between chronic use of ranitidine, compared with omeprazole or famotidine, and gastrointestinal malignancies.",Alimentary pharmacology & therapeutics,2021
33355212,"Evaluation of Tissue Stem Cell-Derived Human Intestinal Organoids, a Physiologically Relevant Model to Evaluate Cytochrome P450 Induction in Gut.",Drug metabolism and disposition: the biological fate of chemicals,2021
31550863,[Effect of omeprazole on plasma concentration and adverse reactions of capecitabine in patients with colon cancer].,Zhonghua zhong liu za zhi [Chinese journal of oncology],2019
29245331,When omeprazole met with asymptomatic Clostridium difficile colonization in a postoperative colon cancer patient: A case report.,Medicine,2017
27622015,Ranitidine modifies myeloid cell populations and inhibits breast tumor development and spread in mice.,Oncoimmunology,2016
25762530,Prevention of chemically induced urinary bladder cancers by naproxen: protocols to reduce gastric toxicity in humans do not alter preventive efficacy.,"Cancer prevention research (Philadelphia, Pa.)",2015
22758658,COX-2 mRNA is increased in oesophageal mucosal cells by a proton pump inhibitor.,ANZ journal of surgery,2012
22740984,Cotreatment with dichloroacetate and omeprazole exhibits a synergistic antiproliferative effect on malignant tumors.,Oncology letters,2012
23754925,"Rhabdomyolysis secondary to drug interaction between atorvastatin, omeprazole, and dexamethasone.",International medical case reports journal,2012
21956158,Anti-carcinogenic properties of omeprazole against human colon cancer cells and azoxymethane-induced colonic aberrant crypt foci formation in rats.,International journal of oncology,2012
21051525,In vivo analysis of mouse gastrin gene regulation in enhanced GFP-BAC transgenic mice.,American journal of physiology. Gastrointestinal and liver physiology,2011
20804740,A novel xenobiotic responsive element regulated by aryl hydrocarbon receptor is involved in the induction of BCRP/ABCG2 in LS174T cells.,Biochemical pharmacology,2010
20628001,Novel application of proton pump inhibitor for the prevention of colitis-induced colorectal carcinogenesis beyond acid suppression.,"Cancer prevention research (Philadelphia, Pa.)",2010
19548355,"Effect of feeding nitrite, ascorbate, hemin, and omeprazole on excretion of fecal total apparent N-nitroso compounds in mice.",Chemical research in toxicology,2008
19149410,Helicobacter typhlonius and Helicobacter rodentium differentially affect the severity of colon inflammation and inflammation-associated neoplasia in IL10-deficient mice.,Comparative medicine,2008
18438287,[Medicamentous bezoar following pancreaticoduodenectomy: the combined use of cholestyramine and antisecretory medications as a risk factor in pancreatic surgery].,Journal de chirurgie,2008
18307280,Preoperative treatment with a non-steroidal anti-inflammatory drug (NSAID) increases tumor tissue infiltration of seemingly activated immune cells in colorectal cancer.,Cancer immunity,2008
