PMID,Title,Journal,Year
39707077,Evaluation of the Effect of Risankizumab on the Pharmacokinetics of Cytochrome P450 Substrates in Patients with Moderately to Severely Active Ulcerative Colitis or Crohn's Disease.,Clinical pharmacokinetics,2025
39446592,S3260 An Interesting Case of Lymphocytic Esophagitis In Association With Pityriasis LichenoidesChronica and Rheumatoid Arthritis.,The American journal of gastroenterology,2024
34581012,Utilization of physiologically-based pharmacokinetic model to assess disease-mediated therapeutic protein-disease-drug interaction in immune-mediated inflammatory diseases.,Clinical and translational science,2022
33050205,Rifabutin-Containing Triple Therapy (RHB-105) for Eradication of Helicobacter pylori: Randomized ERADICATE Hp Trial.,"Antibiotics (Basel, Switzerland)",2020
33031494,Infusion-related angioedema associated with infliximab-abda: Case report.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2021
31718712,Pyloric stenosis as a manifestation of isolated gastric Crohn's disease responding to intralesional steroid injection and balloon dilation: a case report.,Journal of medical case reports,2019
31677072,It's What's Up Front That Counts-Part Two: Esophageal Crohn's Disease Complicated by Recurrent Upper Gastrointestinal Bleeding.,Digestive diseases and sciences,2019
31523279,Susceptibility-guided therapy for Helicobacter pylori infection treatment failures.,Therapeutic advances in gastroenterology,2019
30846003,Crohn's disease in a developing African mission hospital: a case report.,Journal of medical case reports,2019
30238199,Optimal PPI Dosing for Improving GERD Symptoms: Is Timing Everything?,Digestive diseases and sciences,2019
28746225,Ulcerative colitis with acute pleurisy: A case report and review of the literature.,Medicine,2017
27079249,Role of Quantitative Clinical Pharmacology in Pediatric Approval and Labeling.,Drug metabolism and disposition: the biological fate of chemicals,2016
24100471,"Effects of vercirnon on the activity of CYP3A4, CYP2C19 and CYP2C8 enzymes and BCRP and OATP1B1 transporters using probe substrates.",European journal of clinical pharmacology,2014
18279653,[Esophageal Crohn's disease].,Gastroenterologia y hepatologia,2008
17591314,Successful treatment of severe gastrointestinal bleeding secondary to Crohn disease with recombinant factor VIIa.,Southern medical journal,2007
16327840,High-output stoma after small-bowel resections for Crohn's disease.,Nature clinical practice. Gastroenterology & hepatology,2005
15756097,Idiopathic gastric acid hypersecretion presenting as a diarrheal disorder and mimicking both Zollinger-Ellison syndrome and Crohn's disease.,European journal of gastroenterology & hepatology,2005
15492922,Crohn's disease with isolated esophagus and gastric involvement.,The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology,2004
15355126,Pharmacokinetics of budesonide (Entocort EC) capsules for Crohn's disease.,Clinical pharmacokinetics,2004
14725575,Review article: epidemiology and management of gastro-oesophageal reflux in children.,Alimentary pharmacology & therapeutics,2004
