PMID,Title,Journal,Year
40726554,Olmesartan-Induced Gastropathy: An Important Cause to Think about in Refractory Peptic Ulcer Disease.,GE Portuguese journal of gastroenterology,2025
40596836,Combining endoscopic variceal ligation and omeprazole sodium in treating upper gastrointestinal hemorrhage combined with liver cirrhosis.,BMC gastroenterology,2025
40551611,Prescription-based association of P-glycoprotein substrates with Alzheimer's disease risk: A nested case-control study.,Journal of Alzheimer's disease : JAD,2025
40425613,Postpartum administration of eplerenone to mitigate vascular dysfunction in mice following a preeclampsia-like pregnancy.,Scientific reports,2025
40296472,Preliminary Analysis of Drug-Induced Ototoxicity in South Korea: Trends From a National Sample Dataset.,Journal of audiology & otology,2025
40200464,Minimizing STOPP and Beers Criteria Risks in PIM Treatments Using PM-TOM and ChatGPT: A Case Study.,Studies in health technology and informatics,2025
39222843,The effects of proton pump inhibitors during pregnancy on treatment of preeclampsia and related outcomes: a systematic review and meta-analysis.,American journal of obstetrics & gynecology MFM,2024
39214665,Effects of Compound Probiotics on Pharmacokinetics of Cytochrome 450 Probe Drugs in Rats.,Drug metabolism and disposition: the biological fate of chemicals,2024
39180642,Correction to: Omeprazole and Risk of Hypertension: Analysis of Existing Literature and the WHO Global Pharmacovigilance Database.,Drugs - real world outcomes,2024
39167119,"Proton Pump Inhibitors in Patients with Cirrhosis: Pharmacokinetics, Benefits and Drawbacks.",Current gastroenterology reports,2024
38907158,Omeprazole and Risk of Hypertension: Analysis of Existing Literature and the WHO Global Pharmacovigilance Database.,Drugs - real world outcomes,2024
38258325,Relationships of Proton Pump Inhibitor-Induced Renal Injury with CYP2C19 Polymorphism: A Retrospective Cohort Study.,Clinical pharmacology and therapeutics,2024
38058776,Paradox inflammatory reaction such as appendicitis epiploica and diverticulitis of the sigmoid colon under ongoing immunosuppression after previous liver transplantation (LTx).,Innovative surgical sciences,2023
38045597,A point-prevalence study of off-label medication use in an Australian adult tertiary intensive care unit.,Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine,2022
38039033,Assessing the hypolipidemic and gastro-liver protective activity of herbal combination with emphasis on PPI amid selected multiple antihypertensive drug combination in experimental animal models.,European review for medical and pharmacological sciences,2023
37971596,Challenges in Conducting Clinical Trials for Preeclampsia.,Current hypertension reports,2024
37197113,A Case Report of Cardiac Failure in a Patient on Teduglutide for High-Output Ileostomy Stoma.,Cureus,2023
36847598,"NLRP3 inhibition improves maternal hypertension, inflammation, and vascular dysfunction in response to placental ischemia.","American journal of physiology. Regulatory, integrative and comparative physiology",2023
36506733,Hypomagnesaemia - One Cause To Remember!,European journal of case reports in internal medicine,2022
36329468,"Systematic evaluation of the pre-eclampsia drugs, dietary supplements and biologicals pipeline using target product profiles.",BMC medicine,2022
