PMID,Title,Journal,Year
39726232,Severe Impact of Omeprazole Timing on pH-Sensitive Dasatinib Absorption: Unveiling Substantial Drug-Drug Interaction.,Journal of clinical pharmacology,2025
38563070,Assessment of CYP-Mediated Drug Interactions for Enasidenib Based on a Cocktail Study in Patients with Relapse or Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome.,Journal of clinical pharmacology,2024
37789147,Dasatinib anhydrate containing oral formulation improves variability and bioavailability in humans.,Leukemia,2023
37537590,"Predicting delayed methotrexate elimination in pediatric acute lymphoblastic leukemia patients: an innovative web-based machine learning tool developed through a multicenter, retrospective analysis.",BMC medical informatics and decision making,2023
37503797,"Despite warnings, co-medication with proton pump inhibitors and dasatinib is common in chronic myeloid leukemia, but XS004, a novel oral dasatinib formulation, provides reduced pH-dependence, minimizing undesirable drug-drug interactions.",European journal of haematology,2023
35100805,"Upper gastrointestinal bleeding secondary to toxicity by anthracyclines, cytarabine and methotrexate in a patient with acute lymphoblastic leukemia.",Revista espanola de enfermedades digestivas,2022
33942541,Pleomorphicskin eruptions in a COVID-19 affected patient: Case report and review of the literature.,"Immunity, inflammation and disease",2021
33407740,Targeting oncogenic Notch signaling with SERCA inhibitors.,Journal of hematology & oncology,2021
31943302,Selected pharmacotherapy agents as antiproliferative and anti-inflammatory compounds.,Drug development research,2020
29952299,Predisposition to multi-drug hypersensitivity after administration of mogamulizumab.,European journal of dermatology : EJD,2018
29880031,Ontology-based literature mining and class effect analysis of adverse drug reactions associated with neuropathy-inducing drugs.,Journal of biomedical semantics,2018
28679982,[Pseudomelanosis duodeni:a case report].,Nihon Shokakibyo Gakkai zasshi = The Japanese journal of gastro-enterology,2017
26833554,Effect of esomeprazole on the oral absorption of dasatinib in a patient with Philadelphia-positive acute lymphoblastic leukemia.,British journal of clinical pharmacology,2016
23071426,Decitabine induced transient cardiomyopathy: a case report.,Clinical Medicine Insights. Oncology,2012
22108788,"Ventricular bigeminy associated with voriconazole, methadone and esomeprazole.",International journal of clinical pharmacy,2011
19864087,[Prophylaxis use of posaconazole (P) in an hemato-oncology unit: a retrospective study].,Pathologie-biologie,2010
19740393,Effect of a proton pump inhibitor on the pharmacokinetics of imatinib.,British journal of clinical pharmacology,2009
19617305,Hemifacial paralysis in a child treated for leukemia: unusual side effect of omeprazole?,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2010
18386155,Interaction between methotrexate and omeprazole in an adolescent with leukemia: a case report.,Pharmacy world & science : PWS,2008
17545622,Proton pump inhibitors induce apoptosis of human B-cell tumors through a caspase-independent mechanism involving reactive oxygen species.,Cancer research,2007
