PMID,Title,Journal,Year
40771914,"Pharmacodynamics, pharmacokinetics, interactions with other drugs, toxicity and clinical effectiveness of proton pump inhibitors.",Frontiers in pharmacology,2025
39918677,Network Analysis and Machine Learning for Signal Detection and Prioritization Using Electronic Healthcare Records and Administrative Databases: A Proof of Concept in Drug-Induced Acute Myocardial Infarction.,Drug safety,2025
39587648,The risk of upper gastrointestinal bleeding associated with concomitant proton pump inhibitor administration during dual antiplatelet therapy with aspirin and prasugrel: a retrospective single-center study.,Journal of pharmaceutical health care and sciences,2024
39141126,Short-term usage of proton pump inhibitors during admission was associated with increased risk of rehospitalization in critically ill patients with myocardial infarction: a cohort study.,European journal of clinical pharmacology,2024
38258325,Relationships of Proton Pump Inhibitor-Induced Renal Injury with CYP2C19 Polymorphism: A Retrospective Cohort Study.,Clinical pharmacology and therapeutics,2024
37551775,CYP2C19 loss-of-function alleles and use of omeprazole or esomeprazole increase the risk of cardiovascular outcomes in patients using clopidogrel.,Clinical and translational science,2023
36133817,Unprescribed and unnoticed: Retrospective chart review of adverse events of interactions between antidepressants and over-the-counter drugs.,Frontiers in pharmacology,2022
36113328,Acid suppressants use and risk of atherosclerotic cardiovascular disease in middle-aged and older adults.,Atherosclerosis,2022
36065676,Clinical pharmacology of antiplatelet drugs.,Expert review of clinical pharmacology,2022
34670024,The efficacy and safety of the short-term combination therapy with ticagrelor and PPIs or H2RA in patients with acute STEMI who underwent emergency PCI.,Clinical and translational science,2022
34527614,Cost-Effectiveness and Cost-Utility Analysis of the Use of Clopidogrel and Pantoprazole in Comparison with Clopidogrel and Omeprazole for the Secondary Prevention of Myocardial Infarction in Iran.,Journal of research in pharmacy practice,2021
34217146,Application of different spectrofluorimetric approaches for quantitative determination of acetylsalicylic acid and omeprazole in recently approved pharmaceutical preparation and human plasma.,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",2021
34085115,Effect of a proton-pump inhibitor on intestinal microbiota in patients taking low-dose aspirin.,European journal of clinical pharmacology,2021
33959860,"Outcomes of a multi-ethnic Asian population on combined treatment with clopidogrel and omeprazole in 12,440 patients.",Journal of thrombosis and thrombolysis,2021
33625647,Proton Pump Inhibitor Exposure and Acute Myocardial Infarction Risk: A Nested Cohort Study.,Cardiovascular toxicology,2021
33181277,Ticagrelor and omeprazole: A desirable combination in post MI patients?,Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese,2020
32724912,Does concurrent use of clopidogrel and PPIs increase CV risk in patients with ACS?,The Journal of family practice,2020
34752510,Yosprala: Coordinated Delivery of a Proton Pump Inhibitor and Aspirin.,The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians,2020
31773191,Concomitant use of drugs known to cause interactions with oral antiplatelets-polypharmacy in acute coronary syndrome outpatients in Finland.,European journal of clinical pharmacology,2020
31728342,The Association between Proton Pump Inhibitors and Myocardial Infarction: What Do Food and Drug Administration Data Tell Us?,Journal of research in pharmacy practice,2019
